113.68.255.66, cGluIDEwODMgcGlncw==, OK
104.58.96.37, cGluIDI2NDM3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
178.42.139.2, ZGVzdHJveSAxMDM0OSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
43.85.183.77, YXJ0aWN1bGF0ZSAyODM1NyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
91.124.190.109, Y29uY2VhbCAxNDQ3NSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
194.63.91.226, cGluIDEwMTcxIGFuZ3J5LWdlZXNl, OK
157.176.97.9, cGx1Y2sgMjU1NjAgcGlncw==, OK
83.175.198.242, ZGVtb2xpc2ggMTI1MDIgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
63.42.81.91, ZGVzdHJveSAzMjQxNyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
207.88.140.131, cGljayAyODEyIGZsaWVz, OK
7.89.147.240, Y29uY2VhbCAzMTgzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
117.204.20.171, ZGVzdHJveSAzMDYyOSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
101.203.121.109, cmVpdGVyYXRlIDIwNDM0IGFuZ3J5LWdlZXNl, OK
21.160.202.54, cGx1Y2sgMTYxMTQgY2hpY2tlbnM=, OK
154.79.115.97, Y29udnVsc2UgMzIxMzUgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
22.59.35.195, ZGVtb2xpc2ggMTg5NTEgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
126.205.155.227, Y29uY2VhbCAxMTcyNSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
62.139.79.237, Y29udnVsc2UgMjI5MCBjaGlja2Vucw==, OK
57.176.134.170, cGluIDUyOTYgZmxpZXM=, OK
87.187.70.176, cmVpdGVyYXRlIDI2NjE0IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
166.205.21.142, ZGVtb2xpc2ggMjIzODQgbWVkaXVtLXNpemVkLWJpcmRz, OK
51.123.105.13, YXJ0aWN1bGF0ZSAyNjQ0MCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
