92.111.49.117, ZGVzdHJveSAyNzgzNiBkdWNrcw==, OK
98.199.198.28, ZGVzdHJveSAyNDIwMyBkdWNrcw==, OK
190.185.233.63, ZGVtb2xpc2ggNDM5MCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
221.145.151.20, cGluIDEzNjcyIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
131.43.202.222, cGluIDUyMTAgYmlnLWJpcmRz, OK
177.29.34.133, Y29udnVsc2UgMzI3MzEgY2hpY2tlbnM=, OK
61.2.126.216, cmVpdGVyYXRlIDE5NDQ0IGZsaWVz, OK
88.233.226.191, YXJ0aWN1bGF0ZSAxNzYxNiBmbGllcw==, OK
166.145.170.121, cGljayAyODQwMyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
86.218.17.15, Y29udnVsc2UgMjgxMjAgZHVja3M=, OK
1.102.54.93, cmVpdGVyYXRlIDY4MTQgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
84.36.78.65, cmVpdGVyYXRlIDMxOTU0IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
2.168.43.74, cmVpdGVyYXRlIDQxMzQgbWVkaXVtLXNpemVkLWJpcmRz, OK
99.114.207.121, cmVpdGVyYXRlIDE0MjQwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
142.169.23.93, ZGVtb2xpc2ggNTU1NCBiaWctYmlyZHM=, OK
102.89.93.74, YXJ0aWN1bGF0ZSAxNDU1MCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
201.2.101.130, Y29udnVsc2UgMzMyOCBwaWdz, OK
139.166.23.156, cGluIDIwOTI2IGNoaWNrZW5z, OK
16.133.233.120, Y29uY2VhbCA5MzUzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
161.164.189.123, ZGVzdHJveSAyODc2IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
78.31.150.75, cGx1Y2sgMjczNjEgZmxpZXM=, OK
141.146.107.30, ZGVzdHJveSA4MDg4IGZsaWVz, OK
181.40.121.156, ZGVzdHJveSAyODYyOSBmbGllcw==, OK
21.160.202.54, Y29uY2VhbCAyMjEyMCBhbmdyeS1nZWVzZQ==, OK
120.2.5.125, cmVpdGVyYXRlIDIyNTI5IGdlZXNl, OK
96.221.253.172, cGx1Y2sgMTAwMzIgZHVja3M=, OK
28.38.110.118, cGljayA3NjEgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
164.131.134.217, cmVpdGVyYXRlIDE3MTM2IGdlZXNl, OK
152.86.175.152, ZGVzdHJveSAyNjMxMiBnZWVzZQ==, OK
188.205.12.225, cGx1Y2sgMjA2MjcgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
87.69.250.11, cmV0cmVhdCAzMTY5NyBnZWVzZQ==, OK
63.213.255.41, cmVpdGVyYXRlIDE3MTEwIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
14.101.252.40, ZGVzdHJveSAyOTI2NSBjaGlja2Vucw==, OK
62.136.98.60, ZGVtb2xpc2ggMjc0OTIgc21hbGwtYmlyZHM=, OK
222.220.54.229, YXJ0aWN1bGF0ZSAyOTE5NCBkdWNrcw==, OK
121.239.14.214, Y29uY2VhbCA5ODQyIGNoaWNrZW5z, OK
95.23.17.175, Y29udnVsc2UgODg0OSBmbGllcw==, OK
66.186.105.210, cGluIDc0NzUgY2hpY2tlbnM=, OK
55.25.215.34, Y29udnVsc2UgMjA2OTkgc21hbGwtYmlyZHM=, OK
146.49.113.60, cGljayAxNDI5OCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
86.157.141.109, cGljayAxOTYwMSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
211.136.24.17, cmVpdGVyYXRlIDI1NDU2IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
44.186.88.18, Y29uY2VhbCAzMTA3MSBkdWNrcw==, OK
110.3.171.167, cmV0cmVhdCAyNDYxOCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
135.94.212.64, Y29uY2VhbCAxNjgxOCBzbWFsbC1iaXJkcw==, OK
174.190.224.216, cmV2ZWFsIDIwMzk2IGNoaWNrZW5z, OK
170.50.205.24, cmV2ZWFsIDIyMzkwIGZsaWVz, OK
33.33.127.73, ZGVzdHJveSAyNDUwNCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
57.248.30.63, cGljayAyNTI5MSBiaWctYmlyZHM=, OK
148.236.124.217, cGx1Y2sgMjAyMTAgc21hbGwtYmlyZHM=, OK
157.152.248.114, cGljayAyODk3MyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
69.49.70.155, cmV0cmVhdCAxMTgwMCBiaWctYmlyZHM=, OK
38.143.9.126, cmV0cmVhdCAxMjkzMCBkdWNrcw==, OK
200.209.238.241, cmVpdGVyYXRlIDIzNDk4IGNoaWNrZW5z, OK
104.14.74.44, cmV2ZWFsIDE4Mzk3IGFuZ3J5LWdlZXNl, OK
147.108.12.194, cGljayAyNzYyOCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
173.195.88.193, cmV2ZWFsIDE0NzAwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
162.201.109.83, cmVpdGVyYXRlIDE4NzU2IGNoaWNrZW5z, OK
148.236.124.217, cmVpdGVyYXRlIDE1NDgzIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
170.212.132.239, cGx1Y2sgMTI3MjUgbWVkaXVtLXNpemVkLWJpcmRz, OK
46.124.61.188, YXJ0aWN1bGF0ZSAzMTE5OCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
4.73.166.72, ZGVtb2xpc2ggMTU0MDEgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
150.227.34.71, cmV0cmVhdCAyNTIxNCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
123.245.42.67, cmV0cmVhdCAxMjU5OCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
206.36.183.27, cmV2ZWFsIDE5MjIgc21hbGwtYmlyZHM=, OK
77.248.111.76, cGluIDI4MTMxIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
68.141.123.191, ZGVtb2xpc2ggMTg1NzggYmlnLWJpcmRz, OK
181.224.76.210, Y29uY2VhbCA5ODMyIHBpZ3M=, OK
48.47.163.88, cGluIDUzMzkgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
161.234.217.106, ZGVzdHJveSAyNTM2MiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
212.199.79.147, cmV0cmVhdCA3OTU2IGNoaWNrZW5z, OK
218.179.133.14, ZGVzdHJveSAyNzk3OSBzbWFsbC1iaXJkcw==, OK
222.18.101.245, YXJ0aWN1bGF0ZSAxNTM1NCBmbGllcw==, OK
133.78.35.156, ZGVzdHJveSAxMjM1MCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
102.69.214.96, Y29uY2VhbCAxMzQwNiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
52.73.189.64, cGljayAyMDk2OSBiaWctYmlyZHM=, OK
124.39.251.232, Y29uY2VhbCA3OTU3IGR1Y2tz, OK
5.150.87.93, Y29udnVsc2UgMjQ0NDYgZHVja3M=, OK
9.157.41.233, cmV2ZWFsIDExMTMzIHBpZ3M=, OK
