42.81.73.43, cGluIDIwMCBiaWctYmlyZHM=, OK
54.219.20.106, cmV2ZWFsIDI2ODYgZmxpZXM=, OK
79.219.208.224, Y29uY2VhbCAxMzc3MyBkdWNrcw==, OK
102.89.93.74, Y29udnVsc2UgMjc4MzkgYW5ncnktZ2Vlc2U=, OK
169.64.253.192, ZGVzdHJveSA3MjE0IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
16.133.233.120, cGx1Y2sgMjkyNDMgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
41.237.57.137, cGluIDk5ODAgZHVja3M=, OK
175.186.225.135, cGx1Y2sgMjUzOTAgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
92.111.49.117, cmV2ZWFsIDEyODI4IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
202.134.172.48, Y29udnVsc2UgMjYwMTcgYmlnLWJpcmRz, OK
110.29.38.145, Y29udnVsc2UgMjc1NjkgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
117.15.93.64, cmV2ZWFsIDEzMjUyIHBpZ3M=, OK
62.182.175.148, cGx1Y2sgMzA2MjQgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
14.255.254.212, cmV0cmVhdCAyNTYxNSBzbWFsbC1iaXJkcw==, OK
153.98.193.155, Y29uY2VhbCAyMjM1MiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
139.160.25.10, cGluIDIxMjIgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
89.98.201.70, ZGVtb2xpc2ggMjU4MjMgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
125.34.6.39, aW50ZWdyYXRlIDIwMzE1IG1pbm90YXVycw==, i-can't-even-comprehend-what-you-are-saying
181.78.43.85, cmV0cmVhdCAyNzUxOSBmbGllcw==, OK
163.249.181.55, ZGVtb2xpc2ggMTAyMTggY2hpY2tlbnM=, OK
140.189.112.178, cmV2ZWFsIDc1NDYgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
130.65.15.183, cmV0cmVhdCAxMDUyMSBiaWctYmlyZHM=, OK
14.173.189.49, cGx1Y2sgMTc4NzcgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
77.238.23.103, cmV2ZWFsIDEzMzk2IGZsaWVz, OK
145.141.241.88, Y29uY2VhbCA2MzEgbWVkaXVtLXNpemVkLWJpcmRz, OK
12.248.76.29, YXJ0aWN1bGF0ZSAyNTQ2MyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
165.251.5.108, Y29uY2VhbCAxODc5MiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
142.5.234.13, cGluIDI0MzUzIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
55.7.124.110, Y29uY2VhbCA1MDIzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
138.50.103.173, Y29udnVsc2UgMjE0OTEgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
143.238.143.123, cmVpdGVyYXRlIDI5NTY3IGZsaWVz, OK
103.237.123.40, cmVpdGVyYXRlIDI5OTgwIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
74.66.250.251, cGx1Y2sgOTY3IGZsaWVz, OK
130.26.220.191, Y29udnVsc2UgODYyMSBhbmdyeS1nZWVzZQ==, OK
64.154.46.58, Y29udnVsc2UgMTY4MDkgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
131.255.185.165, Y29udnVsc2UgMjgzNTQgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
160.187.242.47, cGljayAyOTg0NSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
75.58.202.188, ZXhwbGFpbiAxNjI0MCBtaW5vdGF1cnM=, why-did-this-have-to-happen
97.227.93.173, Y29udnVsc2UgNjA3OCBjaGlja2Vucw==, OK
14.173.189.49, cGx1Y2sgMzIxNzUgZmxpZXM=, OK
151.175.243.48, ZGVzdHJveSA5MjkwIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
92.187.240.82, cGluIDIzNTA3IGdlZXNl, OK
58.30.69.74, cmV2ZWFsIDI2MjE1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
148.250.46.230, cmVpdGVyYXRlIDE0MzQ3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
12.220.73.92, Y29udnVsc2UgMTgzMDMgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
108.184.235.241, cmV2ZWFsIDY2MzUgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
166.20.228.12, Y29udnVsc2UgMzE1MDggcGlncw==, OK
184.192.56.23, ZGVtb2xpc2ggMTUyMjUgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
157.176.97.9, Y29udnVsc2UgNDk1NyBmbGllcw==, OK
83.217.104.213, cmVpdGVyYXRlIDI5NzAyIGFuZ3J5LWdlZXNl, OK
207.112.82.74, cGx1Y2sgMjQ0NDQgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
81.230.172.49, YXJ0aWN1bGF0ZSAyODIyNCBwaWdz, OK
38.143.9.126, ZGVzdHJveSAxNjY4OSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
98.159.136.149, ZGVzdHJveSAyOTY2NSBkdWNrcw==, OK
113.125.203.149, cmVpdGVyYXRlIDI4MTY5IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
41.20.200.48, cmV0cmVhdCAxMzU0NSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
87.187.70.176, Y29udnVsc2UgMTk3MzYgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
147.108.12.194, dW5waW4gMjcyOTIgbWlub3RhdXJz, ouch-that-hurt!
