139.166.23.156, cGljayAyODMwNyBnZWVzZQ==, OK
55.165.2.49, ZGVtb2xpc2ggODgxNiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
26.194.46.241, cGluIDI0OTgzIGR1Y2tz, OK
28.21.194.128, ZGVzdHJveSAzMTY0MyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
149.122.58.252, Y29udnVsc2UgMTQyNiBjaGlja2Vucw==, OK
179.117.113.215, cmV2ZWFsIDI2OTcwIGR1Y2tz, OK
150.227.34.71, Y29uY2VhbCAyMDMzIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
215.72.153.2, cmV2ZWFsIDIwNjYyIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
88.150.156.49, cGljayAyMTkzMSBwaWdz, OK
32.167.214.50, Y29udnVsc2UgMjQxNDEgY2hpY2tlbnM=, OK
174.15.144.46, Y29uY2VhbCAzMTMxMiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
212.199.79.147, cmV0cmVhdCAxNzA3MSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
148.153.164.44, cGluIDEyMzMwIHNtYWxsLWJpcmRz, OK
181.69.169.14, cGx1Y2sgMTg5MjcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
202.82.241.179, ZGVzdHJveSAxNDM3OSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
148.250.46.230, Y29uY2VhbCAxMzQwOCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
112.116.176.70, cmVpdGVyYXRlIDEyMTE0IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
103.9.195.150, cmVpdGVyYXRlIDEzMjkgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
177.89.56.237, cGluIDI2MjM2IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
177.89.56.237, YXJ0aWN1bGF0ZSAxODExMyBjaGlja2Vucw==, OK
91.115.216.159, cGljayAyNDU5NiBnZWVzZQ==, OK
208.217.176.191, cmV2ZWFsIDI3MTkxIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
49.75.126.90, ZGVtb2xpc2ggMTM4MTAgZHVja3M=, OK
103.237.123.40, cGx1Y2sgMjEzODUgY2hpY2tlbnM=, OK
102.89.93.74, cmV0cmVhdCAzMTE5NCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
148.153.164.44, ZGVtb2xpc2ggMjM4MTggbWVkaXVtLXNpemVkLWJpcmRz, OK
71.119.124.63, cmVpdGVyYXRlIDY2MzQgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
166.215.144.58, cGljayAxNTY0NCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
57.135.21.110, ZGVtb2xpc2ggMjcwOTQgZHVja3M=, OK
156.99.52.119, cmVpdGVyYXRlIDE4NTA2IGZsaWVz, OK
7.137.31.5, cGx1Y2sgMzA3MjkgZmxpZXM=, OK
115.32.254.117, cGljayAxMDkxOSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
2.168.43.74, cGx1Y2sgMTE0NDMgY2hpY2tlbnM=, OK
134.133.26.189, cGljayAzNTAyIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
74.35.34.135, cGluIDEyNTcwIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
96.221.253.172, cmV2ZWFsIDI0OTMzIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
115.66.122.198, YXJ0aWN1bGF0ZSAxMzQ3OCBnZWVzZQ==, OK
43.146.252.33, ZXhwbGFpbiA2NDMyIHJhbXM=, my-socket-is-on-fire!
91.206.217.101, cmV0cmVhdCAxOTQ2NiBmbGllcw==, OK
216.155.137.94, ZGVzdHJveSAxODUzMCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
75.58.202.188, cmV0cmVhdCAzMTQ1NyBhbmdyeS1nZWVzZQ==, OK
97.227.93.173, YXJ0aWN1bGF0ZSAxODk1MiBiaWctYmlyZHM=, OK
5.147.5.175, ZGVtb2xpc2ggMTM0MDAgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
178.98.153.174, YXJ0aWN1bGF0ZSAyNTc1IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
95.23.17.175, ZGVzdHJveSAyNzMzOCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
27.160.163.224, cmV2ZWFsIDIzOTk3IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
211.23.26.61, cmV0cmVhdCAyMTM2NyBhbmdyeS1nZWVzZQ==, OK
177.221.116.240, YXJ0aWN1bGF0ZSAyNjU4MSBzbWFsbC1iaXJkcw==, OK
216.169.157.143, cmVpdGVyYXRlIDY4MDkgY2hpY2tlbnM=, OK
122.9.31.214, Y29uY2VhbCAyOTIyNiBhbmdyeS1nZWVzZQ==, OK
45.112.153.234, Y29uY2VhbCAxNTQzNSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
221.234.176.73, ZGVtb2xpc2ggMjA4NDYgY2hpY2tlbnM=, OK
200.142.178.161, YXJ0aWN1bGF0ZSA3Mjc5IGFuZ3J5LWdlZXNl, OK
35.90.132.245, Y29uY2VhbCA1MTI4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
21.170.254.65, Y29udnVsc2UgMTA5NCBkdWNrcw==, OK
205.172.120.159, cmV0cmVhdCAxODU4MyBwaWdz, OK
46.124.61.188, cmV0cmVhdCA3NDYxIHNtYWxsLWJpcmRz, OK
147.108.12.194, cGx1Y2sgMzA4OCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
