72.105.145.138, cGluIDMwNTQwIGZsaWVz, OK
205.172.120.159, cGljayAyNTM5NiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
22.177.40.26, cmV0cmVhdCAyMDE4MiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
136.53.203.233, Y29udnVsc2UgMjU2MjAgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
34.10.85.86, cmVpdGVyYXRlIDgwNjAgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
28.38.110.118, ZGVtb2xpc2ggMTE2MDkgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
86.218.17.15, cmV0cmVhdCAxOTY0IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
32.193.213.148, cmVpdGVyYXRlIDIzMjkwIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
130.26.220.191, Y29uY2VhbCAxNjU5IGJpZy1iaXJkcw==, OK
164.8.189.44, cmV2ZWFsIDk3MCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
78.31.150.75, cGx1Y2sgMjc3MjkgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
94.22.152.124, cGx1Y2sgMjAxNDEgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
114.26.27.218, Y29udnVsc2UgNjcyNiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
137.252.49.77, ZGVtb2xpc2ggMTUyMDAgcGlncw==, OK
63.162.107.54, cGljayAzMDY5NyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
2.187.254.76, Y29udnVsc2UgOTAxMyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
182.63.34.138, ZGVzdHJveSAzMDI0NCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
209.20.179.144, ZGVzdHJveSA1OTUwIGJpZy1iaXJkcw==, OK
34.10.85.86, ZXhwbGFpbiA3MzEwIHBlYWNlLWxvdmluZy1nZWVzZQ==, please-make-it-stop
86.227.74.249, cmV0cmVhdCAyMjcyNCBkdWNrcw==, OK
109.203.1.158, Y29udnVsc2UgMjUwODQgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
103.9.195.150, Y29udnVsc2UgMjQxODIgZ2Vlc2U=, OK
104.182.67.87, ZGVtb2xpc2ggMTI3NSBjaGlja2Vucw==, OK
59.240.21.88, cGljayAxOTg5NSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
166.20.228.12, cGljayAxNjM5MSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
186.42.178.12, cmV0cmVhdCAxMjI1IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
184.37.94.136, cGx1Y2sgMjI4NyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
58.43.141.197, ZGVtb2xpc2ggMzEwNTYgYmlnLWJpcmRz, OK
53.167.113.171, cGluIDU0MTQgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
211.112.192.227, Y29udnVsc2UgMjYyMzkgc21hbGwtYmlyZHM=, OK
96.237.50.30, cGx1Y2sgODQ3NSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
45.34.234.145, Y29uY2VhbCA5NzAzIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
26.241.177.205, YXJ0aWN1bGF0ZSAyNzI0OCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
148.250.46.230, cmVpdGVyYXRlIDE4MzQgYmlnLWJpcmRz, OK
150.227.34.71, cmV2ZWFsIDk5MjAgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
147.108.12.194, ZGVzdHJveSAyOTU5NCBkdWNrcw==, OK
204.233.20.124, Y29uY2VhbCAyODEwOSBnZWVzZQ==, OK
145.134.33.91, ZGVtb2xpc2ggOTM5IGdlZXNl, OK
48.61.180.178, Y29uY2VhbCA2ODQwIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
133.13.240.200, cmV0cmVhdCAxMjkzMiBjaGlja2Vucw==, OK
14.199.143.192, cmV0cmVhdCAyMjI5MSBiaWctYmlyZHM=, OK
181.187.128.124, YXJ0aWN1bGF0ZSAyMzc5NiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
107.246.29.240, cGljayAxNjk1OCBhbmdyeS1nZWVzZQ==, OK
41.53.254.97, Y29udnVsc2UgMjY1NCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
208.121.247.230, ZGVtb2xpc2ggNDcyMCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
194.84.7.254, ZGVzdHJveSAxNzYyMiBzbWFsbC1iaXJkcw==, OK
178.79.100.120, ZGVtb2xpc2ggMTcwODAgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
14.74.242.160, cmV2ZWFsIDEwMDkwIGJpZy1iaXJkcw==, OK
63.69.169.175, cGljayAxMDQwNCBzbWFsbC1iaXJkcw==, OK
20.16.112.47, cGluIDI3OTQ0IGJpZy1iaXJkcw==, OK
113.172.153.51, cmV0cmVhdCAyNTQ4NCBiaWctYmlyZHM=, OK
174.15.144.46, cmVpdGVyYXRlIDYwNzkgZ2Vlc2U=, OK
144.153.99.195, cGljayAxNTI4NiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
194.33.75.65, YXJ0aWN1bGF0ZSAyNDgxIGR1Y2tz, OK
65.31.71.65, cmV0cmVhdCAyOTcwMyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
81.230.172.49, cGluIDE0NjkwIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
44.187.69.122, YXJ0aWN1bGF0ZSA0MDQ0IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
23.53.254.89, Y29uY2VhbCAxMDU3OCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
214.40.145.219, cmV0cmVhdCAxMjk4OCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
84.36.78.65, cmVpdGVyYXRlIDE0NjEyIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
149.122.58.252, cmVpdGVyYXRlIDIzMjg4IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
5.147.5.175, cmVpdGVyYXRlIDg5ODUgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
109.19.42.48, YXJ0aWN1bGF0ZSAyOTM4NiBmbGllcw==, OK
123.190.87.137, YXJ0aWN1bGF0ZSAyMDUxNCBiaWctYmlyZHM=, OK
186.179.1.8, cGluIDUwODMgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
156.75.44.78, ZGVzdHJveSAyNzEwMyBnZWVzZQ==, OK
188.119.196.244, cGljayA4MTY2IHNtYWxsLWJpcmRz, OK
191.52.203.199, ZGVzdHJveSAzMjczOCBhbmdyeS1nZWVzZQ==, OK
144.71.169.219, aW50ZWdyYXRlIDEwNjM1IHBlYWNlLWxvdmluZy1nZWVzZQ==, ouch-that-hurt!
