121.134.42.101, ZGVzdHJveSAxOTgyMyBnZWVzZQ==, OK
32.167.214.50, cGx1Y2sgMTg4NDQgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
110.29.38.145, cmV0cmVhdCAyMzkzNSBjaGlja2Vucw==, OK
195.217.255.132, cmV2ZWFsIDE3ODI4IGFuZ3J5LWdlZXNl, OK
59.240.21.88, cmVpdGVyYXRlIDE2ODkwIGZsaWVz, OK
118.64.72.33, cmV0cmVhdCAyNjI2MCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
42.81.73.43, cGluIDMwMTExIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
155.174.251.221, Y29udnVsc2UgMTA5NDQgc21hbGwtYmlyZHM=, OK
164.8.189.44, Y29udnVsc2UgMzc3NCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
103.105.226.142, cmV2ZWFsIDMwMDMzIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
91.206.217.101, cGluIDY0MDQgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
213.174.3.18, cGluIDExNjQ3IGdlZXNl, OK
93.210.194.87, ZGVtb2xpc2ggMjUxNjggZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
201.2.101.130, ZGVzdHJveSAxOTE5OSBiaWctYmlyZHM=, OK
164.97.199.127, cGljayAxNjg5MCBnZWVzZQ==, OK
173.169.194.107, YXJ0aWN1bGF0ZSAyODI3OCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
115.32.254.117, ZXhwbGFpbiA2MDcyIG1pbm90YXVycw==, why-did-this-have-to-happen
178.42.139.2, cmV0cmVhdCAzMDg5NiBkdWNrcw==, OK
178.13.180.171, Y29udnVsc2UgMjI1MTcgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
28.38.110.118, ZGVzdHJveSAzMTM5NCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
12.176.204.152, YXJ0aWN1bGF0ZSAzMjA0NCBiaWctYmlyZHM=, OK
123.81.80.160, ZGVtb2xpc2ggNzQ5NCBnZWVzZQ==, OK
28.160.225.55, cGluIDE4NjQzIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
35.3.107.248, cmVpdGVyYXRlIDE2NDAgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
26.62.22.221, cGx1Y2sgMjI1ODIgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
41.20.200.48, YXJ0aWN1bGF0ZSAyMDI2OSBkdWNrcw==, OK
94.207.15.249, cmVpdGVyYXRlIDE2NDQxIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
66.106.115.46, YXJ0aWN1bGF0ZSAyMDY2OSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
168.93.12.26, ZGVtb2xpc2ggMTYxNDggZ2Vlc2U=, OK
161.164.189.123, Y29uY2VhbCAyNDU1NCBjaGlja2Vucw==, OK
3.165.13.240, cmV2ZWFsIDIwOTU0IHBpZ3M=, OK
148.236.124.217, cGx1Y2sgMTc3MzIgZmxpZXM=, OK
1.0.169.69, cmVpdGVyYXRlIDI5ODQ1IHBpZ3M=, OK
84.130.208.220, cGluIDI0NDIyIGZsaWVz, OK
153.91.199.15, Y29uY2VhbCAyMDUyOSBiaWctYmlyZHM=, OK
172.94.13.185, ZGVzdHJveSAyMjU0MSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
111.107.111.92, cmV0cmVhdCAxMDEzNCBzbWFsbC1iaXJkcw==, OK
181.78.43.85, ZGVzdHJveSAzMTc1OCBmbGllcw==, OK
21.79.191.172, cGljayA4MjgwIGR1Y2tz, OK
66.147.133.216, ZGVtb2xpc2ggNzE3NCBnZWVzZQ==, OK
213.174.3.18, cGljayAyMjg2OSBzbWFsbC1iaXJkcw==, OK
125.232.68.51, aW50ZWdyYXRlIDE2MTU2IHBlYWNlLWxvdmluZy1nZWVzZQ==, i-can't-even-comprehend-what-you-are-saying
161.234.217.106, Y29uY2VhbCAyMzE2MSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
62.139.79.237, ZGVtb2xpc2ggOTg0OSBjaGlja2Vucw==, OK
184.192.56.23, cGluIDI3NTIzIGdlZXNl, OK
174.15.144.46, Y29uY2VhbCAyNzcyNCBhbmdyeS1nZWVzZQ==, OK
166.20.228.12, cmVpdGVyYXRlIDMyMzA0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
108.224.71.8, ZGVtb2xpc2ggMjIyNDYgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
164.131.134.217, cmVpdGVyYXRlIDE3MjkzIGZsaWVz, OK
166.139.136.252, cGljayAyMzIxOCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
43.193.231.160, Y29udnVsc2UgMjQzOSBjaGlja2Vucw==, OK
24.71.40.187, YXJ0aWN1bGF0ZSAyMjM0OCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
90.143.115.215, cmVpdGVyYXRlIDIzNTYgcGlncw==, OK
59.200.84.254, cmVpdGVyYXRlIDI2MTQ2IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
75.58.202.188, cmVpdGVyYXRlIDIwMTg0IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
1.174.54.80, YXJ0aWN1bGF0ZSAxODE4MCBmbGllcw==, OK
155.174.251.221, cGx1Y2sgNzMxMyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
55.19.10.106, cGx1Y2sgMjYwMTIgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
119.30.16.224, ZGVzdHJveSAzOTYwIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
70.194.149.33, Y29uY2VhbCAzMTY3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
77.27.36.163, Y29uY2VhbCAyODUwMSBwaWdz, OK
43.193.231.160, Y29udnVsc2UgMzcxOCBiaWctYmlyZHM=, OK
73.149.109.44, Y29udnVsc2UgMjI0NjMgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
107.232.94.170, Y29uY2VhbCAyMDIzNiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
7.100.217.47, Y29uY2VhbCAxNjcyNCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
24.229.6.71, YXJ0aWN1bGF0ZSAxNDg3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
106.239.239.226, dW5kZXJzdGFuZCAyOTcxMCByYW1z, i-can't-even-comprehend-what-you-are-saying
