8.96.140.117, cGljayAxMzUzMSBnZWVzZQ==, OK
161.123.142.23, cmV0cmVhdCAxNjM5NiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
38.143.9.126, YXJ0aWN1bGF0ZSAyNjI0MiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
126.205.155.227, ZXhwbGFpbiA3NzIyIG1pbm90YXVycw==, ouch-that-hurt!
147.171.254.20, cmV0cmVhdCAyOTE2NyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
110.29.38.145, ZGVzdHJveSAzMDE5OCBhbmdyeS1nZWVzZQ==, OK
42.81.73.43, cGluIDE1MTAyIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
166.205.21.142, aW50ZWdyYXRlIDg1NTcgcmFtcw==, my-socket-is-on-fire!
177.29.34.133, cGljayAyNzU5NCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
217.124.192.49, cmV0cmVhdCAyOTMwNCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
196.20.191.194, Y29udnVsc2UgMjE0NDEgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
155.237.212.159, dW5kZXJzdGFuZCAyODkyNiBtaW5vdGF1cnM=, ouch-that-hurt!
15.41.161.186, YXJ0aWN1bGF0ZSA4NzI1IGJpZy1iaXJkcw==, OK
26.241.177.205, cGluIDI2MDk1IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
165.251.5.108, Y29udnVsc2UgMTQ0MDcgbWVkaXVtLXNpemVkLWJpcmRz, OK
121.108.153.63, ZXhwbGFpbiAxOTE1MSByYW1z, my-socket-is-on-fire!
14.199.143.192, ZGVzdHJveSAzMzExIGFuZ3J5LWdlZXNl, OK
42.81.73.43, cmV2ZWFsIDI2OTI3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
209.38.238.81, cmVpdGVyYXRlIDEwMDE0IGNoaWNrZW5z, OK
103.67.118.23, dW5waW4gMjcwNTUgZGlub3NhdXJz, ouch-that-hurt!
220.66.102.80, Y29uY2VhbCAyODM5NCBnZWVzZQ==, OK
111.107.111.92, Y29udnVsc2UgMzAzMTcgZHVja3M=, OK
17.248.248.252, YXJ0aWN1bGF0ZSAxMDM1MSBnZWVzZQ==, OK
108.224.71.8, ZXhwbGFpbiAxNDMwMiBwZWFjZS1sb3ZpbmctZ2Vlc2U=, please-make-it-stop
41.123.15.11, Y29udnVsc2UgMjc2OTcgcGlncw==, OK
143.39.8.178, ZGVtb2xpc2ggMzg4NSBiaWctYmlyZHM=, OK
102.215.173.86, cGluIDExNTU3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
123.81.80.160, dW5kZXJzdGFuZCAxNTYxIGRpbm9zYXVycw==, my-socket-is-on-fire!
23.53.254.89, cmV0cmVhdCA5MTUgc21hbGwtYmlyZHM=, OK
154.203.85.148, YXJ0aWN1bGF0ZSAyNTk3NyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
36.228.177.188, cmV2ZWFsIDIzNDU5IHNtYWxsLWJpcmRz, OK
138.68.57.102, aW50ZWdyYXRlIDEwNTgxIG1pbm90YXVycw==, please-make-it-stop
128.118.29.181, cGx1Y2sgMjA2OTYgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
194.84.7.254, YXJ0aWN1bGF0ZSAxMDIwNSBiaWctYmlyZHM=, OK
39.252.132.115, Y29uY2VhbCAxMDQ5NSBkdWNrcw==, OK
108.184.235.241, dW5waW4gODMwNyBtaW5vdGF1cnM=, please-make-it-stop
169.175.48.245, cGljayAyMjYzNCBwaWdz, OK
109.203.1.158, Y29udnVsc2UgNDk2IGZsaWVz, OK
102.215.173.86, cGluIDEzNDc5IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
168.17.134.37, dW5waW4gMjM0OTkgcGVhY2UtbG92aW5nLWdlZXNl, why-did-this-have-to-happen
49.185.31.71, YXJ0aWN1bGF0ZSAyMzc3OCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
101.4.199.42, ZGVzdHJveSA2MDAwIHNtYWxsLWJpcmRz, OK
70.140.187.114, cmV0cmVhdCAyMzMyMCBmbGllcw==, OK
155.159.11.151, dW5waW4gNDIzOCBwZWFjZS1sb3ZpbmctZ2Vlc2U=, please-make-it-stop
21.160.202.54, ZGVtb2xpc2ggMjI5NjMgYW5ncnktZ2Vlc2U=, OK
194.236.252.197, ZGVzdHJveSA5Mjc4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
191.64.227.252, cmV0cmVhdCAzMDkxNyBjaGlja2Vucw==, OK
83.55.22.244, dW5waW4gMjk0MjkgZGlub3NhdXJz, my-socket-is-on-fire!
144.71.169.219, cGljayAxNjExNSBkdWNrcw==, OK
181.187.128.124, ZGVtb2xpc2ggNzk2OCBhbmdyeS1nZWVzZQ==, OK
73.106.30.204, Y29uY2VhbCAyNzY3NCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
147.108.12.194, aW50ZWdyYXRlIDM1MDIgcmFtcw==, my-socket-is-on-fire!
