181.40.121.156, cGljayAzMTUyOCBmbGllcw==, OK
190.250.246.216, cGljayAzMTkxMCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
71.48.84.6, cGx1Y2sgNTE0NCBjaGlja2Vucw==, OK
137.252.49.77, Y29udnVsc2UgMTc2NTcgYW5ncnktZ2Vlc2U=, OK
129.59.27.187, ZGVtb2xpc2ggNjIxMSBhbmdyeS1nZWVzZQ==, OK
170.212.132.239, cGluIDI5MDQ5IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
163.249.181.55, cGluIDI2ODkwIGFuZ3J5LWdlZXNl, OK
88.233.226.191, Y29udnVsc2UgMTM1OCBzbWFsbC1iaXJkcw==, OK
90.104.161.151, cmV0cmVhdCAzMzk4IGNoaWNrZW5z, OK
188.207.175.131, cmV0cmVhdCAxNzczMyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
169.175.48.245, ZGVtb2xpc2ggMzEwODUgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
211.23.26.61, Y29uY2VhbCA2MjE1IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
173.195.88.193, cmV2ZWFsIDY1MzkgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
186.31.175.77, cmVpdGVyYXRlIDIyMDcgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
78.31.150.75, ZGVtb2xpc2ggOTA5NiBhbmdyeS1nZWVzZQ==, OK
