69.61.212.135, cmVpdGVyYXRlIDEyMjcyIHNtYWxsLWJpcmRz, OK
63.162.107.54, YXJ0aWN1bGF0ZSAyMDc4NiBkdWNrcw==, OK
90.139.220.113, YXJ0aWN1bGF0ZSAxNjY3NSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
130.26.220.191, ZXhwbGFpbiA2NDQ4IGRpbm9zYXVycw==, please-make-it-stop
178.131.217.4, cmVpdGVyYXRlIDQyMDYgZHVja3M=, OK
4.73.166.72, cGluIDY2MjUgc21hbGwtYmlyZHM=, OK
86.221.146.42, cmV0cmVhdCAxNDQzMSBwaWdz, OK
69.61.212.135, cmV2ZWFsIDExMjAgZHVja3M=, OK
155.237.212.159, cGluIDI4NTA0IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
191.241.150.115, cmV2ZWFsIDM3MDYgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
164.131.134.217, Y29udnVsc2UgMjY3OTkgYW5ncnktZ2Vlc2U=, OK
99.114.207.121, Y29udnVsc2UgMTI4ODYgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
113.172.153.51, YXJ0aWN1bGF0ZSA5NDMxIHBpZ3M=, OK
86.157.141.109, cGx1Y2sgMTE2NDUgbWVkaXVtLXNpemVkLWJpcmRz, OK
66.106.115.46, cGx1Y2sgMjg0MDAgYmlnLWJpcmRz, OK
205.192.24.230, cGluIDcyMjQgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
1.102.54.93, cGluIDI5NjE4IGFuZ3J5LWdlZXNl, OK
11.74.142.72, cmV2ZWFsIDE1Mjg5IGZsaWVz, OK
54.117.196.173, cmVpdGVyYXRlIDIwOTA3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
142.55.4.190, cmV2ZWFsIDI0Njg2IGJpZy1iaXJkcw==, OK
210.74.24.17, Y29uY2VhbCAyMjc0NSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
194.63.91.226, ZGVzdHJveSA3NzU0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
32.193.213.148, Y29udnVsc2UgMzY3MiBzbWFsbC1iaXJkcw==, OK
128.118.29.181, ZGVzdHJveSAxOTYgcGlncw==, OK
35.90.132.245, cmVpdGVyYXRlIDIyMzM2IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
35.83.29.145, ZGVzdHJveSAzMTMwNiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
168.235.122.245, Y29uY2VhbCAxMTA5OSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
140.174.216.40, cmV2ZWFsIDc5OSBkdWNrcw==, OK
171.206.82.125, ZXhwbGFpbiA4NzM1IG1pbm90YXVycw==, i-can't-even-comprehend-what-you-are-saying
218.177.89.116, Y29uY2VhbCAzMTg2NyBmbGllcw==, OK
63.69.169.175, ZGVtb2xpc2ggMTAwNzggY2hpY2tlbnM=, OK
188.207.175.131, ZGVtb2xpc2ggNDAxIGZsaWVz, OK
175.83.206.13, YXJ0aWN1bGF0ZSAyOTU5IGdlZXNl, OK
28.21.194.128, Y29uY2VhbCA5MzU1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
27.160.163.224, cmV2ZWFsIDI0Nzg2IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
48.47.163.88, cmV0cmVhdCAyNzM3NSBzbWFsbC1iaXJkcw==, OK
204.233.20.124, cGluIDE2MjQyIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
101.28.185.133, cGluIDI3MzYgZ2Vlc2U=, OK
202.134.172.48, ZGVzdHJveSAyMjY3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
161.164.189.123, cGljayAyNjQwNyBnZWVzZQ==, OK
171.206.82.125, Y29uY2VhbCAyNDk4NCBmbGllcw==, OK
123.81.80.160, cGljayAxODg0OCBnZWVzZQ==, OK
178.13.180.171, cGx1Y2sgMTI1ODggZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
27.116.58.49, cGluIDEyOTk0IGFuZ3J5LWdlZXNl, OK
107.232.94.170, cmV0cmVhdCAxMzc0MSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
109.233.194.150, ZGVtb2xpc2ggMjcyOSBjaGlja2Vucw==, OK
88.150.156.49, cmVpdGVyYXRlIDM0NzggY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
81.218.143.157, cGluIDI4NTQ4IGFuZ3J5LWdlZXNl, OK
191.52.203.199, cmV0cmVhdCAyMzk5NyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
79.219.208.224, cmVpdGVyYXRlIDI4MzYzIHBpZ3M=, OK
166.139.136.252, YXJ0aWN1bGF0ZSAyNzAzMSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
69.61.212.135, cGx1Y2sgMzA5MjkgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
103.9.195.150, Y29uY2VhbCA5Njc0IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
35.83.29.145, dW5kZXJzdGFuZCA4NDc1IG1pbm90YXVycw==, why-did-this-have-to-happen
83.57.49.118, cmV0cmVhdCAzMTk2OCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
63.184.127.127, cGljayAxNTY3MyBnZWVzZQ==, OK
7.131.74.141, cmV2ZWFsIDEwMzQ0IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
19.244.227.170, cmV2ZWFsIDkxNDUgZHVja3M=, OK
187.87.217.237, Y29uY2VhbCAzMDg0MCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
123.142.33.85, cGx1Y2sgMjA4OTYgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
147.123.69.97, cGljayAyMjAzMiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
22.133.173.111, YXJ0aWN1bGF0ZSAyNzI2MSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
11.193.244.225, ZGVtb2xpc2ggMTA3NzIgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
73.106.30.204, cmVpdGVyYXRlIDMwMzE1IGZsaWVz, OK
32.32.196.247, cGx1Y2sgNDIyOSBmbGllcw==, OK
26.18.139.162, cmV2ZWFsIDE0NjAxIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
4.40.197.109, cmV0cmVhdCAxNTQ3NyBzbWFsbC1iaXJkcw==, OK
13.141.4.30, cmV0cmVhdCAyMTAxOCBkdWNrcw==, OK
162.201.109.83, ZGVzdHJveSAyMDgxOSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
4.195.138.100, cmVpdGVyYXRlIDI1NzE3IGFuZ3J5LWdlZXNl, OK
3.254.161.211, cGx1Y2sgMzA5MDcgYW5ncnktZ2Vlc2U=, OK
69.49.70.155, ZGVzdHJveSA2NTQxIHNtYWxsLWJpcmRz, OK
213.174.3.18, cmVpdGVyYXRlIDI1NTk1IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
126.23.255.218, YXJ0aWN1bGF0ZSA0NTEwIGNoaWNrZW5z, OK
41.20.200.48, cmVpdGVyYXRlIDI0OTM2IGdlZXNl, OK
40.123.179.185, ZGVzdHJveSAyMDQxOCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
115.34.235.155, cmV2ZWFsIDIwMDIzIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
26.241.177.205, cmVpdGVyYXRlIDE2MDMwIHBpZ3M=, OK
221.26.187.104, ZXhwbGFpbiAyMDg0NiBkaW5vc2F1cnM=, i-can't-even-comprehend-what-you-are-saying
