164.131.134.217, cGljayAzMTAzMCBmbGllcw==, OK
32.193.213.148, cmVpdGVyYXRlIDk2NzUgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
94.22.152.124, ZGVzdHJveSAxNjk1NSBmbGllcw==, OK
91.74.8.103, cGljayAzMDk1MyBhbmdyeS1nZWVzZQ==, OK
105.85.211.6, dW5waW4gMzE3NjEgZGlub3NhdXJz, my-socket-is-on-fire!
37.189.60.21, ZGVzdHJveSA2NDc5IGFuZ3J5LWdlZXNl, OK
52.73.189.64, ZGVtb2xpc2ggOTY2NSBiaWctYmlyZHM=, OK
52.73.189.64, cGluIDE0NDEwIGNoaWNrZW5z, OK
200.209.238.241, cmVpdGVyYXRlIDE5MTU3IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
62.182.175.148, ZGVzdHJveSAyMDU4MCBiaWctYmlyZHM=, OK
12.17.53.194, cGx1Y2sgMjU1OTcgZHVja3M=, OK
87.75.155.245, cmVpdGVyYXRlIDMyNDMzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
173.170.121.190, dW5waW4gMTY1ODEgcmFtcw==, please-make-it-stop
12.176.204.152, cGluIDExIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
63.69.169.175, cmVpdGVyYXRlIDI4MDQ5IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
194.33.101.29, cmV0cmVhdCAxMjMxOSBhbmdyeS1nZWVzZQ==, OK
159.23.228.154, cGluIDI5MzU1IHBpZ3M=, OK
30.19.1.172, cGljayAyMTk4OSBjaGlja2Vucw==, OK
155.81.182.228, cmVpdGVyYXRlIDE5MDY4IGNoaWNrZW5z, OK
166.235.172.246, YXJ0aWN1bGF0ZSAxNTY5NSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
158.69.20.32, aW50ZWdyYXRlIDEzMzQwIGRpbm9zYXVycw==, i-can't-even-comprehend-what-you-are-saying
166.139.136.252, cmVpdGVyYXRlIDE3NTU3IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
208.217.176.191, Y29udnVsc2UgMTg2MzQgc21hbGwtYmlyZHM=, OK
98.159.136.149, Y29uY2VhbCAyNjY4OCBjaGlja2Vucw==, OK
115.230.210.139, Y29uY2VhbCAxMjc5MyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
111.107.111.92, YXJ0aWN1bGF0ZSAxNDAyMiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
42.81.73.43, ZGVtb2xpc2ggMjI5NTEgc21hbGwtYmlyZHM=, OK
9.157.41.233, ZGVzdHJveSA5NjgyIHNtYWxsLWJpcmRz, OK
70.194.149.33, dW5kZXJzdGFuZCA4NDc5IHJhbXM=, my-socket-is-on-fire!
187.197.228.76, ZGVzdHJveSA3MzE3IGJpZy1iaXJkcw==, OK
111.107.111.92, Y29uY2VhbCAxNTE2MiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
115.32.254.117, cGx1Y2sgMTM1OCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
134.133.26.189, Y29udnVsc2UgMzIzMTkgbWVkaXVtLXNpemVkLWJpcmRz, OK
217.93.54.204, cGljayAyOTEzMyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
46.124.61.188, Y29udnVsc2UgOTYxOCBnZWVzZQ==, OK
59.200.84.254, YXJ0aWN1bGF0ZSAyOTMzMCBmbGllcw==, OK
196.20.191.194, dW5waW4gODE3IHJhbXM=, my-socket-is-on-fire!
122.219.102.179, Y29uY2VhbCAyNzgyOCBkdWNrcw==, OK
148.204.235.218, YXJ0aWN1bGF0ZSAxOTQwMyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
219.75.94.127, ZGVtb2xpc2ggMjk0OTMgZHVja3M=, OK
9.157.41.233, cmV0cmVhdCAyOTI3MiBhbmdyeS1nZWVzZQ==, OK
168.193.161.178, cGluIDEzMDM5IGR1Y2tz, OK
161.123.142.23, Y29udnVsc2UgMTc3MDEgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
4.195.138.100, cmV0cmVhdCAyMDA1OCBwaWdz, OK
124.32.23.26, ZXhwbGFpbiAyOTkxIG1pbm90YXVycw==, ouch-that-hurt!
216.127.16.202, cmV0cmVhdCA3MzAzIHBpZ3M=, OK
50.127.209.0, Y29uY2VhbCAyNzQ4NyBnZWVzZQ==, OK
89.98.201.70, Y29udnVsc2UgMjEzNzggZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
71.119.124.63, cmV2ZWFsIDYyOTUgYW5ncnktZ2Vlc2U=, OK
141.110.216.217, cGluIDE1ODU0IHNtYWxsLWJpcmRz, OK
177.89.56.237, ZGVtb2xpc2ggMjA4NDMgYW5ncnktZ2Vlc2U=, OK
66.210.170.112, cGljayAyNzgxMyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
102.215.173.86, ZXhwbGFpbiAyMTQ5OSBkaW5vc2F1cnM=, my-socket-is-on-fire!
178.42.139.2, cmVpdGVyYXRlIDE4Mzg4IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
200.142.178.161, cGluIDM3MDcgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
18.44.139.138, cGx1Y2sgMTE2OTIgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
4.94.81.50, ZGVtb2xpc2ggMjQ4ODcgY2hpY2tlbnM=, OK
63.42.81.91, cmV2ZWFsIDIxOTI2IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
32.133.149.99, cGluIDI3OTIwIGR1Y2tz, OK
98.159.136.149, cGx1Y2sgMjMwNzYgZmxpZXM=, OK
136.53.203.233, dW5waW4gNTk0IG1pbm90YXVycw==, ouch-that-hurt!
11.156.239.75, Y29uY2VhbCAyODkzNiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
4.73.166.72, cmVpdGVyYXRlIDI2NTYyIGR1Y2tz, OK
126.205.155.227, ZGVzdHJveSAxMTA1NiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
52.73.189.64, Y29uY2VhbCA0MjkgY2hpY2tlbnM=, OK
143.150.138.122, ZGVtb2xpc2ggMjY0MTkgc21hbGwtYmlyZHM=, OK
143.47.86.16, ZGVzdHJveSAxNzQwNSBwaWdz, OK
155.237.212.159, cGluIDE5NzI1IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
164.8.189.44, aW50ZWdyYXRlIDE0NDkwIHJhbXM=, ouch-that-hurt!
39.252.132.115, cGljayA0Mzg0IGJpZy1iaXJkcw==, OK
103.193.207.104, cmV0cmVhdCAxNzI4MiBzbWFsbC1iaXJkcw==, OK
90.143.115.215, cmV0cmVhdCAyNzcwIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
142.179.243.165, ZGVtb2xpc2ggMTYxNDAgYW5ncnktZ2Vlc2U=, OK
