104.251.246.127, cGluIDIzNDEgbWVkaXVtLXNpemVkLWJpcmRz, OK
66.251.74.113, Y29udnVsc2UgMjUzOTMgYmlnLWJpcmRz, OK
175.83.206.13, cmVpdGVyYXRlIDMwNDIzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
83.175.198.242, ZGVzdHJveSAyMTU1MyBhbmdyeS1nZWVzZQ==, OK
45.112.153.234, Y29uY2VhbCAyMjc0MCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
88.150.156.49, cGluIDE4MDI4IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
129.59.27.187, Y29uY2VhbCAyNjc3MiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
85.235.230.238, cGluIDE3MjE0IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
131.255.185.165, ZGVtb2xpc2ggMTY2MjEgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
108.38.251.104, ZGVtb2xpc2ggMzkxMCBhbmdyeS1nZWVzZQ==, OK
184.37.94.136, ZGVzdHJveSAzMjEwNiBmbGllcw==, OK
99.95.169.57, cmVpdGVyYXRlIDE5MDMgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
47.43.97.11, ZGVzdHJveSA3OTg3IGNoaWNrZW5z, OK
222.136.131.236, YXJ0aWN1bGF0ZSAxODQyMyBhbmdyeS1nZWVzZQ==, OK
200.142.178.161, Y29uY2VhbCAzMDU5MiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
158.171.131.147, Y29uY2VhbCAzMDY0MSBjaGlja2Vucw==, OK
159.206.139.232, cGluIDE0Njk0IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
172.153.224.112, cGx1Y2sgMTkyNzQgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
28.38.110.118, cmVpdGVyYXRlIDEyODM2IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
42.104.122.3, cGljayAxMTQyNSBmbGllcw==, OK
103.193.207.104, ZXhwbGFpbiAyMjY4MCBkaW5vc2F1cnM=, my-socket-is-on-fire!
124.64.54.232, ZGVtb2xpc2ggNzI0IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
57.238.42.249, cGluIDI4MjMgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
75.58.202.188, cmV2ZWFsIDUzNzUgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
149.122.58.252, Y29udnVsc2UgMTAyNzQgZmxpZXM=, OK
173.17.13.115, ZGVzdHJveSAyMjMxMyBwaWdz, OK
1.174.54.80, cmVpdGVyYXRlIDEzNDI0IGJpZy1iaXJkcw==, OK
125.232.68.51, YXJ0aWN1bGF0ZSAyMjY1NiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
70.140.187.114, cGljayA1MDQxIGNoaWNrZW5z, OK
76.171.74.40, cmVpdGVyYXRlIDM5OTMgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
203.24.97.180, YXJ0aWN1bGF0ZSAzMTI2NiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
46.248.231.222, cmV0cmVhdCAyODA1NiBzbWFsbC1iaXJkcw==, OK
77.27.36.163, cGx1Y2sgMTc3NzAgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
75.229.157.125, cmV2ZWFsIDUwMjIgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
126.205.155.227, cGx1Y2sgMzAzNiBhbmdyeS1nZWVzZQ==, OK
154.203.85.148, cmV0cmVhdCAyMDgwMyBiaWctYmlyZHM=, OK
101.4.199.42, Y29uY2VhbCAyMTAyIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
4.73.166.72, cGljayA5NTI3IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
112.147.201.117, YXJ0aWN1bGF0ZSAxMTc0OCBjaGlja2Vucw==, OK
178.42.139.2, cmV2ZWFsIDY5MDcgY2hpY2tlbnM=, OK
41.123.15.11, cGljayAxNjY4MSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
121.16.193.21, cGx1Y2sgNzU4MyBjaGlja2Vucw==, OK
187.197.175.73, cGluIDEyOTU0IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
90.50.6.174, cmVpdGVyYXRlIDE3MTE0IGdlZXNl, OK
210.152.56.48, cmV2ZWFsIDI3MzA2IGJpZy1iaXJkcw==, OK
112.147.201.117, aW50ZWdyYXRlIDMwNjM0IHJhbXM=, ouch-that-hurt!
110.182.121.81, ZGVtb2xpc2ggMzEzNyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
51.221.20.145, Y29uY2VhbCAyOTg3NSBiaWctYmlyZHM=, OK
174.216.79.0, cmV2ZWFsIDEzMzMyIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
57.248.30.63, Y29uY2VhbCAyNTcxNSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
89.59.227.195, YXJ0aWN1bGF0ZSA5MjA1IHNtYWxsLWJpcmRz, OK
133.78.35.156, cmV2ZWFsIDI1ODg1IGZsaWVz, OK
215.72.153.2, cmV0cmVhdCA4NjMyIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
148.204.235.218, ZGVzdHJveSAxNjM5OSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
43.233.192.233, ZGVzdHJveSA5ODI1IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
68.223.17.224, cmV2ZWFsIDg0ODIgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
143.39.8.178, cGx1Y2sgMjc1MDUgY2hpY2tlbnM=, OK
115.214.210.138, YXJ0aWN1bGF0ZSA1NTQ0IGR1Y2tz, OK
21.3.112.225, ZGVtb2xpc2ggMjUxODIgcGlncw==, OK
13.166.245.92, YXJ0aWN1bGF0ZSAyMDI1MyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
41.23.239.113, cGx1Y2sgMTQ5ODIgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
150.227.34.71, Y29uY2VhbCAyODk4NiBkdWNrcw==, OK
151.192.64.196, cGluIDEzODE5IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
86.221.146.42, Y29udnVsc2UgMjc5Mjggc21hbGwtYmlyZHM=, OK
216.169.157.143, ZGVzdHJveSAyNDA1MCBhbmdyeS1nZWVzZQ==, OK
53.195.216.149, cGx1Y2sgMTg3NCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
196.186.131.106, ZGVtb2xpc2ggNzI5MSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
135.94.212.64, YXJ0aWN1bGF0ZSAxMjAyNCBnZWVzZQ==, OK
198.35.38.88, YXJ0aWN1bGF0ZSAyNjkxNyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
194.33.75.65, YXJ0aWN1bGF0ZSA3NjY3IGNoaWNrZW5z, OK
148.204.235.218, dW5kZXJzdGFuZCAxNTYzMiByYW1z, ouch-that-hurt!
