145.178.26.187, ZGVzdHJveSAzMTcwNSBkdWNrcw==, OK
44.186.88.18, cGluIDU1MCBwaWdz, OK
24.229.6.71, ZGVtb2xpc2ggMTQxODYgZmxpZXM=, OK
170.50.205.24, cGx1Y2sgMjI5MzEgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
132.181.16.212, Y29uY2VhbCAzMDk4MiBmbGllcw==, OK
51.221.20.145, YXJ0aWN1bGF0ZSAxMTQxNyBnZWVzZQ==, OK
80.113.205.197, cmV0cmVhdCA4MzMxIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
2.168.43.74, cmV0cmVhdCAzMTE0MyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
122.9.31.214, cGluIDE3NDQ2IGNoaWNrZW5z, OK
145.134.33.91, cmV2ZWFsIDI2Mzc1IHBpZ3M=, OK
203.14.64.195, ZGVtb2xpc2ggMTYwMyBiaWctYmlyZHM=, OK
147.123.69.97, YXJ0aWN1bGF0ZSAxMjg0NSBkdWNrcw==, OK
122.137.158.78, cGluIDI4NDY2IGZsaWVz, OK
139.36.156.243, cGx1Y2sgMzEwMzUgZmxpZXM=, OK
190.170.121.219, ZGVtb2xpc2ggMjM1MzAgYmlnLWJpcmRz, OK
222.136.32.209, cmVpdGVyYXRlIDI0NjE4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
125.34.6.39, cmVpdGVyYXRlIDcwOSBiaWctYmlyZHM=, OK
28.185.7.103, Y29udnVsc2UgMjkzMTYgc21hbGwtYmlyZHM=, OK
121.16.193.21, cmV2ZWFsIDQzMjkgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
121.200.171.223, cGljayAxOTAwNCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
18.56.125.33, cGljayAxMTY1NyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
130.105.54.122, cmV0cmVhdCAyMDgzNyBnZWVzZQ==, OK
45.112.153.234, cmVpdGVyYXRlIDIwOTYzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
142.169.23.93, cGljayAxNjU5NSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
148.244.65.43, Y29uY2VhbCAxNDcxMSBjaGlja2Vucw==, OK
12.176.204.152, Y29uY2VhbCAxNTM2MyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
32.193.213.148, cGluIDE5NjQ4IHBpZ3M=, OK
144.153.99.195, cGx1Y2sgMjM2MTcgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
15.238.32.162, cGljayAyNjE0NCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
199.115.113.213, cGljayA0NjczIGdlZXNl, OK
33.165.254.175, ZGVzdHJveSA1NDA4IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
194.63.91.226, YXJ0aWN1bGF0ZSA3OTE5IGZsaWVz, OK
4.73.166.72, YXJ0aWN1bGF0ZSAxNzcyIGNoaWNrZW5z, OK
76.195.197.159, Y29uY2VhbCAxODA4NSBkdWNrcw==, OK
91.74.8.103, Y29uY2VhbCAyNDk0OCBjaGlja2Vucw==, OK
58.204.52.96, cGluIDIxNzMwIGNoaWNrZW5z, OK
105.85.211.6, Y29uY2VhbCA0MzE0IGdlZXNl, OK
126.17.127.204, ZGVtb2xpc2ggMTQzMzEgZHVja3M=, OK
189.68.97.243, ZGVtb2xpc2ggMjM0MTQgbWVkaXVtLXNpemVkLWJpcmRz, OK
55.19.10.106, ZGVzdHJveSAyMzU0IHBpZ3M=, OK
74.35.34.135, Y29uY2VhbCAxMzMxMCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
219.82.169.60, ZGVtb2xpc2ggMjMzMDUgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
14.255.254.212, cmVpdGVyYXRlIDE3MzQ2IHBpZ3M=, OK
166.145.170.121, ZGVtb2xpc2ggNzc5NSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
