78.225.234.124, cmVpdGVyYXRlIDcwNTcgZmxpZXM=, OK
41.123.15.11, YXJ0aWN1bGF0ZSAyOTI3NSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
24.45.137.227, cGluIDE3MzY3IGNoaWNrZW5z, OK
123.126.202.63, cGx1Y2sgMTY1NjggY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
70.143.216.196, ZGVzdHJveSAyMzEzMyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
43.193.231.160, cmV0cmVhdCAyOTAzMSBwaWdz, OK
154.79.115.97, cGljayAxMjI2NCBmbGllcw==, OK
200.209.238.241, ZGVtb2xpc2ggMTYxMzEgcGlncw==, OK
173.114.183.77, ZGVtb2xpc2ggMjkyMTUgc21hbGwtYmlyZHM=, OK
41.60.4.187, cGluIDEyMjU4IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
21.3.112.225, cGx1Y2sgMTU4NjMgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
68.192.53.51, cmV0cmVhdCAxMTU4NiBmbGllcw==, OK
5.39.159.163, YXJ0aWN1bGF0ZSAzMzI3IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
143.47.86.16, cGljayA4MDM1IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
100.220.174.255, ZGVtb2xpc2ggMjg4MDMgZmxpZXM=, OK
219.75.94.127, ZGVzdHJveSAxNjIgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
18.44.139.138, ZGVtb2xpc2ggMzI2MjYgY2hpY2tlbnM=, OK
70.194.149.33, cmV2ZWFsIDEzNTMzIHNtYWxsLWJpcmRz, OK
36.244.31.251, ZGVtb2xpc2ggNTIyNSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
193.234.202.135, Y29uY2VhbCAxOTU0NCBwaWdz, OK
207.88.140.131, ZGVzdHJveSAxOTYzNyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
209.38.238.81, cGluIDIxODU2IGJpZy1iaXJkcw==, OK
72.247.208.192, cmVpdGVyYXRlIDQ3MDggZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
200.172.54.195, YXJ0aWN1bGF0ZSAzNzIxIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
103.237.123.40, cmV0cmVhdCA4MjA2IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
58.252.89.228, Y29uY2VhbCAyMzI0OSBmbGllcw==, OK
43.170.207.48, cGluIDMyNDA0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
148.250.46.230, Y29uY2VhbCAxMTgwMiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
172.5.102.13, cGljayAyNjE2NyBkdWNrcw==, OK
32.167.214.50, ZGVtb2xpc2ggMjM0NjcgZ2Vlc2U=, OK
92.111.49.117, cGx1Y2sgMzEyMTMgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
82.118.32.172, YXJ0aWN1bGF0ZSAxMTY5MyBnZWVzZQ==, OK
81.218.143.157, cGx1Y2sgMzE1OTkgZ2Vlc2U=, OK
113.25.7.248, cmV0cmVhdCAxOTU1MSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
58.30.69.74, cmV0cmVhdCAxNzA4MCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
211.72.245.20, cGljayAyOTk5MiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
174.19.61.194, cGluIDE3ODggZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
104.58.96.37, YXJ0aWN1bGF0ZSA0NDI4IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
11.156.239.75, cmVpdGVyYXRlIDIzNjk0IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
202.151.148.91, cGljayAzMTIgc21hbGwtYmlyZHM=, OK
108.6.247.28, ZGVzdHJveSAyNDEzMSBiaWctYmlyZHM=, OK
11.74.142.72, cmVpdGVyYXRlIDEyMjA1IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
154.79.115.97, cmVpdGVyYXRlIDE5NjgyIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
184.37.94.136, Y29uY2VhbCAxMTgwOSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
159.23.228.154, ZGVtb2xpc2ggMjU4NjMgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
26.18.139.162, cmV0cmVhdCAxNjcyNiBnZWVzZQ==, OK
85.42.133.183, Y29uY2VhbCAyODIzNiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
121.134.42.101, cGx1Y2sgMTQyMTggZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
194.33.101.29, Y29uY2VhbCAxOTg4MiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
117.204.20.171, YXJ0aWN1bGF0ZSAxMzg0NSBhbmdyeS1nZWVzZQ==, OK
211.136.24.17, cmV0cmVhdCA2NjkyIHBpZ3M=, OK
219.236.13.46, cGx1Y2sgMTMzNDkgYW5ncnktZ2Vlc2U=, OK
156.99.52.119, ZGVtb2xpc2ggMTc4NDYgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
66.210.170.112, cmV0cmVhdCAyNjM4OSBhbmdyeS1nZWVzZQ==, OK
149.122.58.252, cmVpdGVyYXRlIDkyNTcgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
109.33.29.85, cGx1Y2sgMTg4NzggZmxpZXM=, OK
6.128.90.155, ZGVtb2xpc2ggNzg1NSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
96.197.47.131, Y29udnVsc2UgMjgxNCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
57.238.42.249, cmV2ZWFsIDEwMzkzIGZsaWVz, OK
188.205.12.225, YXJ0aWN1bGF0ZSAxODk4NiBkdWNrcw==, OK
210.74.24.17, cmVpdGVyYXRlIDI5ODggZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
131.43.202.222, cmV0cmVhdCAyNTg3MyBhbmdyeS1nZWVzZQ==, OK
83.55.22.244, cGluIDE5MiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
90.139.220.113, YXJ0aWN1bGF0ZSAxOTA0NiBkdWNrcw==, OK
207.88.140.131, cmV2ZWFsIDE1ODk5IHNtYWxsLWJpcmRz, OK
