1.174.54.80, ZGVzdHJveSAxMDMwNyBwaWdz, OK
206.36.183.27, cmVpdGVyYXRlIDY5OTUgZHVja3M=, OK
86.157.141.109, ZGVtb2xpc2ggMTg3OSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
34.10.85.86, cmVpdGVyYXRlIDE4NDk3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
110.3.171.167, cmV0cmVhdCAxMDM3NSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
208.96.107.241, ZGVzdHJveSAyNTQ5IGJpZy1iaXJkcw==, OK
153.98.193.155, cmV2ZWFsIDMxMDExIGNoaWNrZW5z, OK
43.193.231.160, cGljayAzMDEyNyBiaWctYmlyZHM=, OK
5.150.87.93, cmV0cmVhdCAzMjc1MiBjaGlja2Vucw==, OK
23.53.254.89, cmVpdGVyYXRlIDI4NDQ0IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
60.18.13.7, Y29uY2VhbCAyMzkxNSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
106.24.232.102, Y29uY2VhbCA3ODI3IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
52.116.109.227, cGljayA5MzQ2IGJpZy1iaXJkcw==, OK
199.224.63.67, cGljayAzMDM0NyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
167.244.98.212, cmV2ZWFsIDIwMTgzIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
132.181.16.212, ZGVtb2xpc2ggOTE3NiBiaWctYmlyZHM=, OK
14.199.143.192, ZGVtb2xpc2ggMTc4NzYgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
45.184.151.102, cGluIDI5OTcyIGJpZy1iaXJkcw==, OK
97.227.93.173, cmV2ZWFsIDIwMjc3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
50.127.209.0, cGljayAxMzg1MyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
104.251.246.127, ZGVtb2xpc2ggMTk1ODEgYmlnLWJpcmRz, OK
179.117.113.215, YXJ0aWN1bGF0ZSAxODIxIGFuZ3J5LWdlZXNl, OK
221.26.187.104, Y29uY2VhbCAxNTI5OSBkdWNrcw==, OK
75.109.192.238, cGljayA1NzA3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
46.124.61.188, YXJ0aWN1bGF0ZSAyMjMwNCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
115.214.210.138, cGluIDY1MTUgYmlnLWJpcmRz, OK
69.61.212.135, Y29udnVsc2UgMzcxMiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
125.34.6.39, cmV2ZWFsIDExNTI2IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
79.219.208.224, cGluIDcwMDUgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
200.218.75.32, Y29udnVsc2UgMjkzNTcgc21hbGwtYmlyZHM=, OK
75.109.192.238, Y29udnVsc2UgMzIyODUgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
27.192.142.193, Y29uY2VhbCA5NDg3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
181.187.128.124, ZGVzdHJveSAxNDM4NiBnZWVzZQ==, OK
83.57.49.118, Y29udnVsc2UgMjM2OCBjaGlja2Vucw==, OK
134.253.128.13, Y29udnVsc2UgMjE2Mzcgc21hbGwtYmlyZHM=, OK
205.114.97.7, Y29uY2VhbCAxMTg3NSBnZWVzZQ==, OK
76.195.197.159, cmV2ZWFsIDMwMzMzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
3.165.13.240, Y29uY2VhbCAyNjMwNiBkdWNrcw==, OK
211.23.26.61, Y29udnVsc2UgMjQ2MiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
72.8.233.155, Y29udnVsc2UgMTM0NjIgY2hpY2tlbnM=, OK
160.154.221.44, Y29uY2VhbCAxOTk3MCBwaWdz, OK
43.146.252.33, cGx1Y2sgMzE4MjggcGlncw==, OK
62.237.86.128, cmV2ZWFsIDIyNDQwIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
84.210.29.161, cmV2ZWFsIDcxMzAgbWVkaXVtLXNpemVkLWJpcmRz, OK
75.121.86.104, dW5kZXJzdGFuZCAyNDIyMCBkaW5vc2F1cnM=, my-socket-is-on-fire!
