159.206.139.232, cGljayAxOTMgbWVkaXVtLXNpemVkLWJpcmRz, OK
139.160.25.10, cmV2ZWFsIDMyMTgxIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
27.92.63.139, cmV2ZWFsIDIyODMyIGZsaWVz, OK
180.70.93.191, ZGVzdHJveSAxNjQ5MyBnZWVzZQ==, OK
11.97.202.168, cGluIDMxNjg2IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
15.41.161.186, cGljayAyNzQwMSBnZWVzZQ==, OK
155.237.212.159, ZGVtb2xpc2ggMzA5MjYgcGlncw==, OK
83.55.22.244, cGluIDE2NzA1IHNtYWxsLWJpcmRz, OK
169.64.253.192, ZGVtb2xpc2ggMTMxMzQgZ2Vlc2U=, OK
1.0.169.69, Y29uY2VhbCAxMTA5MiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
142.179.243.165, cmV2ZWFsIDE2OTk3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
94.101.65.75, cmVpdGVyYXRlIDEyOTkzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
54.117.196.173, cGx1Y2sgMTk2MjEgYmlnLWJpcmRz, OK
121.200.171.223, Y29uY2VhbCAyMDIgYmlnLWJpcmRz, OK
139.200.123.74, YXJ0aWN1bGF0ZSAxMDE4OCBhbmdyeS1nZWVzZQ==, OK
113.68.255.66, ZGVzdHJveSAyNjkzNSBjaGlja2Vucw==, OK
211.23.26.61, cGljayAyNjI4OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
101.203.121.109, Y29uY2VhbCAzMTg4MiBjaGlja2Vucw==, OK
198.35.38.88, cmV2ZWFsIDE0MjUzIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
64.154.46.58, YXJ0aWN1bGF0ZSA3MTQ2IGdlZXNl, OK
24.71.40.187, cGljayAyOTI0MiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
147.123.69.97, cmV2ZWFsIDMxNzM2IGZsaWVz, OK
34.10.85.86, cmV0cmVhdCA1ODc0IGdlZXNl, OK
208.121.247.230, YXJ0aWN1bGF0ZSAyNTEzNiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
58.204.52.96, ZGVtb2xpc2ggMzEzMzEgZHVja3M=, OK
123.245.42.67, YXJ0aWN1bGF0ZSAxNDU1NCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
13.141.4.30, Y29uY2VhbCAyNjU0NyBzbWFsbC1iaXJkcw==, OK
175.186.225.135, ZGVtb2xpc2ggNDQ5MSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
174.19.61.194, cmV0cmVhdCAzMDM1MiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
173.170.121.190, cmVpdGVyYXRlIDQ3OTcgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
120.2.5.125, cGluIDExMjI2IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
128.118.29.181, cGx1Y2sgMjkwNDAgc21hbGwtYmlyZHM=, OK
169.175.48.245, ZGVzdHJveSAzNDk1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
204.233.20.124, Y29uY2VhbCAyMTEwMyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
113.125.203.149, cmV0cmVhdCAzMDcyNyBhbmdyeS1nZWVzZQ==, OK
33.33.127.73, ZGVtb2xpc2ggMzE4MDggZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
16.133.233.120, cGljayAzMjI0NyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
167.40.243.47, cmV2ZWFsIDMyNTYwIHBpZ3M=, OK
169.175.48.245, ZGVzdHJveSAyMTIyNSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
125.34.6.39, cGluIDYzOTggZ2Vlc2U=, OK
104.58.96.37, Y29udnVsc2UgMTk5MTIgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
90.139.220.113, cGx1Y2sgMjQ5MzYgcGlncw==, OK
208.163.4.254, cGx1Y2sgMTQ2NDAgY2hpY2tlbnM=, OK
44.187.69.122, cGluIDIwNzMwIGZsaWVz, OK
167.244.98.212, YXJ0aWN1bGF0ZSAyNjI4MCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
55.19.10.106, cGljayAyMjA3MiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
3.199.90.63, ZGVtb2xpc2ggMzA5MDkgYmlnLWJpcmRz, OK
66.249.163.254, cGljayAyMzE5MyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
23.245.212.57, ZGVtb2xpc2ggODE2MiBjaGlja2Vucw==, OK
144.153.99.195, cGx1Y2sgMzAzNTMgc21hbGwtYmlyZHM=, OK
42.58.54.6, cmV2ZWFsIDg5MzAgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
178.13.180.171, cmV2ZWFsIDYyMTkgYmlnLWJpcmRz, OK
212.213.208.246, ZGVzdHJveSA5MjQ5IGZsaWVz, OK
18.219.90.216, Y29udnVsc2UgNTk5MyBhbmdyeS1nZWVzZQ==, OK
124.39.251.232, cmV2ZWFsIDMwMTY2IHBpZ3M=, OK
