109.19.42.48, cGluIDgzMzcgbWVkaXVtLXNpemVkLWJpcmRz, OK
104.58.96.37, cmVpdGVyYXRlIDI3NDMwIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
190.170.121.219, ZGVtb2xpc2ggMjQyOSBjaGlja2Vucw==, OK
218.177.89.116, cmV0cmVhdCA1MzcwIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
37.184.197.233, cmV2ZWFsIDgxNiBwaWdz, OK
219.82.76.35, ZGVzdHJveSAyNjAxMCBmbGllcw==, OK
33.209.49.93, cGluIDQwNTIgc21hbGwtYmlyZHM=, OK
195.57.148.211, ZGVtb2xpc2ggMjkxOSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
216.169.157.143, Y29udnVsc2UgMjAzMDcgYW5ncnktZ2Vlc2U=, OK
13.166.245.92, YXJ0aWN1bGF0ZSAyOTg5NyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
188.254.108.225, cGluIDI4MjYzIGR1Y2tz, OK
221.234.176.73, cGljayAyNjUyMyBwaWdz, OK
121.239.14.214, Y29uY2VhbCAyODY5MiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
88.1.240.178, cmV2ZWFsIDY0MjIgZ2Vlc2U=, OK
167.236.64.71, cGljayAyMTY2NSBwaWdz, OK
41.20.200.48, cGx1Y2sgMjUwNTUgZHVja3M=, OK
214.40.145.219, Y29uY2VhbCAzMjAyIGdlZXNl, OK
222.18.101.245, cmVpdGVyYXRlIDI1Mjk5IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
62.237.86.128, cmVpdGVyYXRlIDEyNDYwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
92.111.49.117, ZGVzdHJveSAxMjk2MiBmbGllcw==, OK
112.116.176.70, YXJ0aWN1bGF0ZSAyMzQ3NiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
207.242.106.204, ZGVtb2xpc2ggNzY4IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
208.217.176.191, YXJ0aWN1bGF0ZSAyMDA5MCBzbWFsbC1iaXJkcw==, OK
155.174.251.221, Y29uY2VhbCAyOTgxMSBzbWFsbC1iaXJkcw==, OK
97.227.93.173, Y29uY2VhbCA5NTEgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
210.152.56.48, ZGVzdHJveSAzMjE0MiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
111.107.111.92, Y29udnVsc2UgMzAzMyBjaGlja2Vucw==, OK
187.197.228.76, cmV2ZWFsIDg2MTAgbWVkaXVtLXNpemVkLWJpcmRz, OK
178.79.100.120, cGluIDIyODExIGR1Y2tz, OK
177.221.116.240, cmV2ZWFsIDE5NDczIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
58.30.69.74, YXJ0aWN1bGF0ZSAyNTcwMyBnZWVzZQ==, OK
110.227.57.206, Y29udnVsc2UgMzE3MjMgZHVja3M=, OK
43.193.231.160, Y29uY2VhbCAxMjg4MCBwaWdz, OK
163.103.66.40, cmV0cmVhdCAxMDE1OSBnZWVzZQ==, OK
22.133.173.111, Y29uY2VhbCAzMjEzIGR1Y2tz, OK
98.159.136.149, cmVpdGVyYXRlIDE5OTA2IGR1Y2tz, OK
27.160.163.224, cGx1Y2sgMTU0MDkgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
13.166.245.92, cmVpdGVyYXRlIDgyMzcgZ2Vlc2U=, OK
216.194.121.101, cGljayAzMTEwMCBnZWVzZQ==, OK
86.227.74.249, ZGVtb2xpc2ggMTIxMDEgZmxpZXM=, OK
163.170.246.157, YXJ0aWN1bGF0ZSAyMjE1OCBnZWVzZQ==, OK
97.221.59.87, YXJ0aWN1bGF0ZSA4MTMzIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
221.234.176.73, Y29uY2VhbCAxNTYwNiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
170.212.132.239, cGluIDIyMTE0IHBpZ3M=, OK
45.184.151.102, YXJ0aWN1bGF0ZSAyMDI0NCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
135.94.212.64, cGljayA2MjczIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
23.53.254.89, ZGVzdHJveSAxMTk4IGR1Y2tz, OK
83.217.104.213, cGluIDQ4ODcgcGlncw==, OK
115.34.235.155, YXJ0aWN1bGF0ZSAxMTY1MCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
168.93.12.26, cGljayAyNDc0NCBkdWNrcw==, OK
8.101.130.72, cGljayAzMDMyMSBkdWNrcw==, OK
12.176.204.152, Y29udnVsc2UgMjg2MDUgZ2Vlc2U=, OK
177.29.34.133, ZGVtb2xpc2ggMjYxNTggc21hbGwtYmlyZHM=, OK
22.243.52.188, YXJ0aWN1bGF0ZSAyNzc3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
46.124.61.188, ZGVzdHJveSAzMDE2OSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
150.254.12.177, Y29uY2VhbCAxOTk2NyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
42.73.85.62, Y29udnVsc2UgMjM4NjUgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
152.188.112.167, cGluIDUzNjcgbWVkaXVtLXNpemVkLWJpcmRz, OK
32.229.137.177, cGx1Y2sgMjI5MjUgZHVja3M=, OK
164.8.189.44, cGluIDI0MTY5IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
203.24.97.180, cmV0cmVhdCAxNjMyNiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
21.160.202.54, cmVpdGVyYXRlIDg3OTEgYW5ncnktZ2Vlc2U=, OK
28.5.135.93, cGx1Y2sgMjM1MjMgYW5ncnktZ2Vlc2U=, OK
152.188.112.167, cmV0cmVhdCAyOTM4OSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
7.137.31.5, Y29udnVsc2UgODU1NyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
215.68.230.68, cGx1Y2sgMjUzNDkgbWVkaXVtLXNpemVkLWJpcmRz, OK
30.214.151.169, cmV0cmVhdCAzMDc0MiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
218.248.202.73, ZGVzdHJveSAxNTE3MyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
162.93.114.141, cGx1Y2sgNTU1MSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
