53.82.222.249, cGljayAyNzUyIGdlZXNl, OK
188.119.196.244, ZGVzdHJveSA2Nzg5IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
21.79.191.172, ZGVtb2xpc2ggNzY5NCBwaWdz, OK
142.169.23.93, ZGVtb2xpc2ggMzIxNjQgYmlnLWJpcmRz, OK
222.136.32.209, Y29udnVsc2UgNTI1NyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
115.214.210.138, YXJ0aWN1bGF0ZSAxOTc3MSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
75.109.192.238, cmVpdGVyYXRlIDEyMjc1IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
41.53.254.97, cGljayA1MTQ4IGNoaWNrZW5z, OK
80.113.205.197, cmV2ZWFsIDIzNTk1IGNoaWNrZW5z, OK
181.69.169.14, ZGVtb2xpc2ggMjUzOCBmbGllcw==, OK
73.5.245.228, ZGVzdHJveSAxNzk4OCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
123.245.42.67, cmV2ZWFsIDIzMzcwIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
221.234.176.73, ZGVtb2xpc2ggNzI4IGNoaWNrZW5z, OK
172.153.224.112, cmVpdGVyYXRlIDMwMTcxIGNoaWNrZW5z, OK
18.219.90.216, cGluIDIyNDc2IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
96.197.47.131, cGluIDE5NDI0IGNoaWNrZW5z, OK
96.217.226.144, cmV0cmVhdCAxMDcwIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
211.190.183.113, ZGVzdHJveSAxMDAzOSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
78.225.234.124, cmV0cmVhdCA3NTcxIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
7.155.96.182, cmVpdGVyYXRlIDQ0NzQgY2hpY2tlbnM=, OK
33.33.127.73, cGx1Y2sgMjI3NDkgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
188.205.12.225, cmV2ZWFsIDM4MzEgYW5ncnktZ2Vlc2U=, OK
63.69.169.175, Y29uY2VhbCAxMTAxMyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
23.53.32.49, ZGVzdHJveSAyNTQzMSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
21.160.202.54, Y29uY2VhbCAxMjQ2NyBhbmdyeS1nZWVzZQ==, OK
130.65.15.183, cGljayAxNzM4NiBiaWctYmlyZHM=, OK
183.225.165.240, ZGVtb2xpc2ggMTc5NjAgY2hpY2tlbnM=, OK
39.118.32.25, cGx1Y2sgMjc1ODYgYW5ncnktZ2Vlc2U=, OK
160.154.221.44, Y29udnVsc2UgMjI1ODggYmlnLWJpcmRz, OK
55.19.10.106, Y29udnVsc2UgMjI5MzUgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
135.94.212.64, cmVpdGVyYXRlIDI2MDgxIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
33.165.254.175, ZGVtb2xpc2ggMzIwOTQgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
44.187.69.122, Y29uY2VhbCA1NDQ2IGJpZy1iaXJkcw==, OK
108.6.247.28, ZGVtb2xpc2ggMzAyNDkgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
211.190.183.113, YXJ0aWN1bGF0ZSAyNDA2MyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
109.33.29.85, cmVpdGVyYXRlIDEzMTkxIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
63.162.107.54, Y29udnVsc2UgMjI2MCBmbGllcw==, OK
205.192.24.230, YXJ0aWN1bGF0ZSAyNzc5IGJpZy1iaXJkcw==, OK
220.188.29.212, cGljayAxOTUwNCBhbmdyeS1nZWVzZQ==, OK
201.155.91.83, ZGVtb2xpc2ggMTc2MzggYW5ncnktZ2Vlc2U=, OK
133.78.35.156, cGljayAyMDY4NCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
114.26.27.218, cmV2ZWFsIDE5NTggYW5ncnktZ2Vlc2U=, OK
155.159.11.151, cmV0cmVhdCAxNzMwMiBhbmdyeS1nZWVzZQ==, OK
167.40.243.47, cGx1Y2sgMjk0MjUgc21hbGwtYmlyZHM=, OK
122.219.102.179, Y29udnVsc2UgMzIzNjkgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
142.169.23.93, cGljayA0MTY2IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
23.53.32.49, cGx1Y2sgMjA2NjYgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
75.35.207.134, YXJ0aWN1bGF0ZSAyOTIzIGNoaWNrZW5z, OK
174.216.79.0, ZGVtb2xpc2ggNzY4NCBjaGlja2Vucw==, OK
107.122.69.67, cGx1Y2sgNzMxIGNoaWNrZW5z, OK
57.176.134.170, Y29udnVsc2UgMjE4MjcgcGlncw==, OK
121.250.42.171, ZGVtb2xpc2ggMTEwNjUgc21hbGwtYmlyZHM=, OK
189.68.97.243, cmV2ZWFsIDE2ODA4IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
112.125.102.212, YXJ0aWN1bGF0ZSAxOTQ5NSBnZWVzZQ==, OK
27.149.50.25, ZGVzdHJveSAyNjA1MiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
57.183.63.73, ZGVzdHJveSAyNjI0NSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
92.111.49.117, ZGVtb2xpc2ggOTYyNCBnZWVzZQ==, OK
221.234.176.73, cmV2ZWFsIDIxNTc2IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
57.150.73.164, Y29uY2VhbCAyNzQyOCBnZWVzZQ==, OK
14.173.189.49, cmV0cmVhdCAyMDA1MSBhbmdyeS1nZWVzZQ==, OK
46.207.57.51, cGljayAzMjA3NSBmbGllcw==, OK
145.178.26.187, cGx1Y2sgNTg3MCBjaGlja2Vucw==, OK
190.250.246.216, YXJ0aWN1bGF0ZSAyMTI4OCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
124.64.54.232, Y29uY2VhbCAyNzI5NyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
26.241.177.205, Y29udnVsc2UgMjA3NTUgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
158.246.116.55, cGljayAyNjc4MyBzbWFsbC1iaXJkcw==, OK
145.141.241.88, YXJ0aWN1bGF0ZSAyNjQ3NCBnZWVzZQ==, OK
182.160.81.160, cGluIDI2ODM3IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
44.186.88.18, Y29udnVsc2UgMTU2MjcgYmlnLWJpcmRz, OK
112.125.102.212, Y29udnVsc2UgMTEzNDIgZmxpZXM=, OK
58.252.89.228, cGx1Y2sgMjgxNjEgcGlncw==, OK
5.26.85.74, cGljayAxMDczNiBkdWNrcw==, OK
208.121.247.230, cmV2ZWFsIDI3NDQ2IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
88.1.240.178, cmVpdGVyYXRlIDE1NzM1IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
202.151.148.91, YXJ0aWN1bGF0ZSAxNDYzOSBjaGlja2Vucw==, OK
16.240.137.80, ZGVtb2xpc2ggMzM4NCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
212.213.208.246, cmV0cmVhdCAyMDI2NiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
203.14.64.195, cmV2ZWFsIDE0NzY5IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
80.97.180.7, cmV0cmVhdCAxNDE5OCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
