76.171.74.40, cGljayAyMjIyNCBnZWVzZQ==, OK
37.235.107.138, cmVpdGVyYXRlIDk2NjIgcGlncw==, OK
115.32.254.117, cmV0cmVhdCAxNDU0NSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
22.177.40.26, ZGVzdHJveSAyMTY1MSBiaWctYmlyZHM=, OK
174.15.144.46, cGluIDEzMjA3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
98.119.71.187, Y29udnVsc2UgMjk5NjYgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
27.149.50.25, cmV0cmVhdCAyMjk1MyBnZWVzZQ==, OK
156.75.44.78, YXJ0aWN1bGF0ZSAyMTI5NSBzbWFsbC1iaXJkcw==, OK
91.74.8.103, cGluIDM3MzIgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
180.210.114.96, cmV2ZWFsIDI5NjQ0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
123.81.80.160, cmV0cmVhdCAyMTIxMSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
167.236.64.71, cGx1Y2sgMjMwOSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
200.218.75.32, ZGVtb2xpc2ggMTgyMDggZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
57.238.42.249, ZGVzdHJveSAzMTMwMCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
2.167.7.113, ZGVzdHJveSA3NzU2IGFuZ3J5LWdlZXNl, OK
89.98.201.70, cmV2ZWFsIDkxMzggZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
97.227.93.173, ZGVzdHJveSAxMTIyNiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
27.128.19.219, cGx1Y2sgMzA5MDEgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
27.116.58.49, cGx1Y2sgMTg2MDUgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
222.45.211.196, ZXhwbGFpbiAyMTAwMSBwZWFjZS1sb3ZpbmctZ2Vlc2U=, i-can't-even-comprehend-what-you-are-saying
38.90.11.50, cGx1Y2sgMTMxNTcgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
27.160.163.224, cmV2ZWFsIDUwMTQgZmxpZXM=, OK
100.220.174.255, cmVpdGVyYXRlIDk2NjMgcGlncw==, OK
66.186.105.210, cmVpdGVyYXRlIDYxMDkgbWVkaXVtLXNpemVkLWJpcmRz, OK
215.68.230.68, cGluIDM1NDcgYmlnLWJpcmRz, OK
50.22.9.49, Y29udnVsc2UgMjE1NjkgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
54.219.20.106, cmV2ZWFsIDMxODUxIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
74.66.250.251, cGx1Y2sgMjc3OSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
169.64.253.192, Y29uY2VhbCA2MzAgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
35.90.132.245, cmV2ZWFsIDUwNTIgcGlncw==, OK
100.220.174.255, ZGVtb2xpc2ggMzk5NyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
106.92.123.74, cGljayAyNDQ5NiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
37.150.85.158, cmV2ZWFsIDEyNzQwIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
212.199.79.147, cmV2ZWFsIDE2MjM2IGdlZXNl, OK
148.250.46.230, cGluIDEwOTY4IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
163.249.181.55, cGljayAxNTgzNCBiaWctYmlyZHM=, OK
82.118.32.172, ZGVzdHJveSAzMjU0NSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
3.199.90.63, cGx1Y2sgMjMyNDIgZHVja3M=, OK
20.16.112.47, ZGVtb2xpc2ggOTM2OSBmbGllcw==, OK
53.195.216.149, cGx1Y2sgNTkwNiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
3.165.13.240, cGljayAxOTgzOCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
130.105.54.122, cmVpdGVyYXRlIDE5NTMwIHBpZ3M=, OK
27.157.152.46, cmV0cmVhdCAxNDc3MiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
31.140.39.210, cmVpdGVyYXRlIDIxODQ3IGZsaWVz, OK
82.153.204.85, aW50ZWdyYXRlIDI4NzIxIGRpbm9zYXVycw==, please-make-it-stop
58.142.147.119, YXJ0aWN1bGF0ZSAyMTI2MyBkdWNrcw==, OK
128.118.29.181, cGx1Y2sgNjI5NSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
5.150.87.93, cmV2ZWFsIDQwNzQgc21hbGwtYmlyZHM=, OK
77.8.212.62, ZGVzdHJveSAyNDQyNCBzbWFsbC1iaXJkcw==, OK
69.82.55.102, ZGVtb2xpc2ggMjY2NTMgZmxpZXM=, OK
151.25.196.252, ZGVzdHJveSAxMDczOCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
64.16.27.235, ZGVzdHJveSAzMzczIGNoaWNrZW5z, OK
73.91.41.127, Y29udnVsc2UgMTUyODcgZ2Vlc2U=, OK
148.236.124.217, cGx1Y2sgMjE1OTAgZ2Vlc2U=, OK
82.118.32.172, cGluIDE0MjA1IGNoaWNrZW5z, OK
151.25.196.252, Y29udnVsc2UgMzIzNTkgZHVja3M=, OK
52.73.189.64, cGluIDMxODYzIGNoaWNrZW5z, OK
194.74.53.75, YXJ0aWN1bGF0ZSAxMDAzNCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
134.253.128.13, Y29udnVsc2UgMjQxMSBkdWNrcw==, OK
75.151.226.170, cmVpdGVyYXRlIDE4NTkyIHBpZ3M=, OK
73.149.109.44, cGx1Y2sgNzAxMSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
195.217.255.132, cmV0cmVhdCAyNDk4MiBwaWdz, OK
23.187.186.224, cmVpdGVyYXRlIDE0MDQ2IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
173.17.13.115, YXJ0aWN1bGF0ZSAxMjkzNSBhbmdyeS1nZWVzZQ==, OK
78.31.150.75, cmVpdGVyYXRlIDI3Mjc2IHBpZ3M=, OK
144.71.169.219, ZGVtb2xpc2ggMjQ0NjkgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
3.195.171.141, ZGVtb2xpc2ggMjcwNzEgYmlnLWJpcmRz, OK
220.188.29.212, ZGVtb2xpc2ggMTYyMjUgc21hbGwtYmlyZHM=, OK
148.250.46.230, Y29uY2VhbCAzMjMwMSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
104.182.67.87, dW5kZXJzdGFuZCAyNTM2OCBwZWFjZS1sb3ZpbmctZ2Vlc2U=, my-socket-is-on-fire!
