86.253.92.193, ZGVzdHJveSAxMzkwIGdlZXNl, OK
211.72.245.20, YXJ0aWN1bGF0ZSAxNjUxMSBkdWNrcw==, OK
130.242.234.8, cGljayAxNDQxMSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
113.125.203.149, Y29uY2VhbCAyMzI3NSBnZWVzZQ==, OK
142.169.23.93, cmVpdGVyYXRlIDEwMDk4IHNtYWxsLWJpcmRz, OK
188.205.12.225, YXJ0aWN1bGF0ZSAzMTU1MCBzbWFsbC1iaXJkcw==, OK
165.251.5.108, cGluIDE2MzMyIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
161.234.217.106, cGljayAzODc5IGJpZy1iaXJkcw==, OK
41.20.200.48, ZGVtb2xpc2ggMjA3OTAgYmlnLWJpcmRz, OK
184.37.94.136, cmV0cmVhdCA0NTYyIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
174.19.61.194, cmVpdGVyYXRlIDUzNzAgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
74.70.19.34, Y29udnVsc2UgMTI5MzIgZ2Vlc2U=, OK
223.7.173.155, YXJ0aWN1bGF0ZSAyODAzMiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
28.160.225.55, cmV2ZWFsIDg1MzkgZHVja3M=, OK
43.193.231.160, ZGVzdHJveSAyNTc1MSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
75.121.86.104, cGx1Y2sgNDIyNSBiaWctYmlyZHM=, OK
41.23.239.113, cGljayAxNzI2OSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
156.99.52.119, Y29udnVsc2UgMjg0MDcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
42.73.85.62, cGx1Y2sgMTM0MzQgZ2Vlc2U=, OK
153.98.193.155, cmV2ZWFsIDE1NTkyIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
182.160.81.160, Y29uY2VhbCAxMDc1MCBmbGllcw==, OK
210.74.24.17, ZGVzdHJveSAxMjQ2OCBjaGlja2Vucw==, OK
103.237.123.40, YXJ0aWN1bGF0ZSAyODk2NSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
198.35.38.88, ZGVtb2xpc2ggMTc5OTMgc21hbGwtYmlyZHM=, OK
37.184.197.233, cGluIDE2NzgwIHBpZ3M=, OK
43.63.66.160, cGx1Y2sgMTU1NzcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
147.171.254.20, Y29uY2VhbCAxNDEwMSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
52.116.109.227, cmVpdGVyYXRlIDcyMTAgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
86.221.146.42, cGluIDcxMzMgZ2Vlc2U=, OK
70.140.187.114, Y29uY2VhbCAyNDEwNSBiaWctYmlyZHM=, OK
5.147.5.175, Y29uY2VhbCAxMzk1MiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
58.178.72.73, YXJ0aWN1bGF0ZSAyOTIyNCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
29.163.177.72, cGx1Y2sgMTc3MDIgbWVkaXVtLXNpemVkLWJpcmRz, OK
3.199.90.63, Y29uY2VhbCAxMTkwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
18.44.205.35, cmVpdGVyYXRlIDExMTk1IGFuZ3J5LWdlZXNl, OK
88.150.156.49, cmV2ZWFsIDMyMTE0IHBpZ3M=, OK
151.175.243.48, cGx1Y2sgMjIzMzIgbWVkaXVtLXNpemVkLWJpcmRz, OK
220.66.102.80, cmV2ZWFsIDMxMzc1IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
131.255.185.165, cmV2ZWFsIDE4MzkxIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
90.104.161.151, cGluIDI2ODcgY2hpY2tlbnM=, OK
142.169.23.93, ZGVzdHJveSA2MSBkdWNrcw==, OK
173.169.194.107, ZGVtb2xpc2ggMzE3MTYgY2hpY2tlbnM=, OK
27.114.171.133, cmVpdGVyYXRlIDIzOTIxIGZsaWVz, OK
56.150.110.224, ZGVtb2xpc2ggMzE4MTcgZmxpZXM=, OK
99.114.207.121, ZGVtb2xpc2ggNTAxMiBzbWFsbC1iaXJkcw==, OK
155.174.251.221, YXJ0aWN1bGF0ZSAxNDY1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
150.227.34.71, cGx1Y2sgMjA1ODUgY2hpY2tlbnM=, OK
43.85.183.77, YXJ0aWN1bGF0ZSAxNjczOCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
3.195.171.141, ZGVzdHJveSAxMjY3MyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
33.115.72.245, cGx1Y2sgMzIxOTUgcGlncw==, OK
42.104.122.3, cGluIDIzNzMyIHNtYWxsLWJpcmRz, OK
108.6.247.28, cmV0cmVhdCAyMjUxOCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
21.170.254.65, YXJ0aWN1bGF0ZSAxOTMzIHBpZ3M=, OK
43.233.192.233, Y29uY2VhbCAyNjIxMyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
129.59.27.187, cmVpdGVyYXRlIDMxOTYyIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
148.153.164.44, cGluIDIzNjkxIGNoaWNrZW5z, OK
102.89.93.74, cmVpdGVyYXRlIDI4OTY1IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
81.218.143.157, cmV2ZWFsIDE0Nzc4IGJpZy1iaXJkcw==, OK
16.133.233.120, cmVpdGVyYXRlIDIyOTQ3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
39.118.32.25, cmVpdGVyYXRlIDE0MDQwIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
135.94.212.64, YXJ0aWN1bGF0ZSAyMjQ3NCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
77.8.212.62, cmVpdGVyYXRlIDc1MjEgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
179.195.108.126, Y29uY2VhbCAzMTg2MiBiaWctYmlyZHM=, OK
91.74.8.103, cGx1Y2sgMjkxNzAgZHVja3M=, OK
166.20.228.12, cGljayA2MzI3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
222.136.32.209, cmV2ZWFsIDE1NTY4IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
181.69.169.14, cGluIDIyMzkwIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
194.74.184.124, Y29udnVsc2UgMjEyNjAgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
71.48.84.6, cmV2ZWFsIDMyMjI1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
