59.69.208.231, cGluIDQzMjAgbWVkaXVtLXNpemVkLWJpcmRz, OK
168.130.217.218, YXJ0aWN1bGF0ZSAxNDQwOSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
179.195.108.126, cmV0cmVhdCAyMzk3NiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
202.82.241.179, YXJ0aWN1bGF0ZSAxNDA2NSBkdWNrcw==, OK
217.118.144.29, Y29udnVsc2UgMTMyOTQgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
203.14.64.195, YXJ0aWN1bGF0ZSAzMDI1NSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
74.250.118.193, ZGVtb2xpc2ggMjA4MjEgbWVkaXVtLXNpemVkLWJpcmRz, OK
209.38.238.81, ZGVtb2xpc2ggMjY3NDYgZHVja3M=, OK
163.249.181.55, cGljayAxODM0OSBzbWFsbC1iaXJkcw==, OK
138.68.57.102, Y29udnVsc2UgMTM5MTcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
16.133.233.120, Y29udnVsc2UgMjU2MTkgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
84.32.158.51, cGluIDQ3ODMgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
77.248.111.76, cmV0cmVhdCA2MDY3IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
18.44.205.35, cmVpdGVyYXRlIDE2ODE3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
40.123.179.185, Y29udnVsc2UgMjI5MzkgYmlnLWJpcmRz, OK
82.153.204.85, ZGVzdHJveSAxMDI3NCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
27.248.202.44, cGluIDE5NTgwIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
130.105.54.122, ZGVzdHJveSAxODk2MiBnZWVzZQ==, OK
131.255.185.165, ZGVzdHJveSAxNTgyOSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
161.123.142.23, ZGVtb2xpc2ggNjA3MSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
187.87.217.237, ZXhwbGFpbiA1MjkwIG1pbm90YXVycw==, why-did-this-have-to-happen
16.133.233.120, Y29udnVsc2UgMjY0MjEgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
106.239.239.226, ZGVtb2xpc2ggNjE1NyBjaGlja2Vucw==, OK
200.172.54.195, Y29uY2VhbCAyMDE4NyBjaGlja2Vucw==, OK
158.69.20.32, Y29uY2VhbCAxNDUxNCBhbmdyeS1nZWVzZQ==, OK
143.179.239.37, ZGVzdHJveSAyMDc4NCBnZWVzZQ==, OK
12.248.76.29, ZGVzdHJveSA4OTA5IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
99.95.169.57, cmV2ZWFsIDk5ODkgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
162.201.109.83, cGljayAxNzMzOSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
3.254.161.211, ZGVtb2xpc2ggNDIyMCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
130.26.220.191, cGx1Y2sgOTk4OSBjaGlja2Vucw==, OK
222.136.131.236, ZGVzdHJveSAyMjU4NyBmbGllcw==, OK
147.171.254.20, cmV0cmVhdCAxODIxNCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
32.32.196.247, YXJ0aWN1bGF0ZSAyNzkxIGNoaWNrZW5z, OK
22.244.29.56, Y29udnVsc2UgMTAwMjMgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
178.238.17.215, cGx1Y2sgMTA0OTIgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
119.30.16.224, cGx1Y2sgMzEzNjIgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
103.237.123.40, Y29uY2VhbCAxMTQ2MiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
173.114.183.77, YXJ0aWN1bGF0ZSAyODI4NSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
37.76.224.113, cGx1Y2sgMzA5MDUgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
110.3.171.167, cmV0cmVhdCAyMTc5MyBmbGllcw==, OK
178.98.153.174, YXJ0aWN1bGF0ZSAxMjY3NyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
194.236.252.197, cGluIDI0NDkwIGNoaWNrZW5z, OK
209.83.156.130, ZGVtb2xpc2ggMjY2NjQgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
221.234.176.73, Y29uY2VhbCAxNTQ0MyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
207.242.106.204, dW5waW4gMTU0OTUgcmFtcw==, why-did-this-have-to-happen
119.30.16.224, ZGVtb2xpc2ggMTYwMzggbWVkaXVtLXNpemVkLWJpcmRz, OK
203.24.97.180, cmVpdGVyYXRlIDI3ODQ4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
96.217.226.144, cmVpdGVyYXRlIDI4NTM0IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
62.237.86.128, cmV0cmVhdCAyOTU3NyBnZWVzZQ==, OK
175.36.51.26, cGluIDE2OTczIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
101.4.199.42, cmV0cmVhdCA1MDE3IGJpZy1iaXJkcw==, OK
144.137.248.95, cmV2ZWFsIDg4OTUgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
174.19.61.194, cGljayA4NjM0IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
86.231.11.213, YXJ0aWN1bGF0ZSA0MDAzIHNtYWxsLWJpcmRz, OK
207.242.106.204, cGljayAxMjQ1OCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
68.223.17.224, cmV2ZWFsIDE0NjUwIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
97.173.112.180, cmVpdGVyYXRlIDEyMjEyIGFuZ3J5LWdlZXNl, OK
124.32.23.26, ZGVzdHJveSAxODIxOSBnZWVzZQ==, OK
207.88.140.131, cmV0cmVhdCAxNzE4MyBzbWFsbC1iaXJkcw==, OK
43.85.183.77, cGx1Y2sgMTU2MzMgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
18.56.125.33, cGluIDE2ODE1IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
177.159.95.192, Y29udnVsc2UgMjA0ODQgc21hbGwtYmlyZHM=, OK
150.227.34.71, cmVpdGVyYXRlIDk4NDcgZHVja3M=, OK
125.34.6.39, cGljayA3ODUzIGJpZy1iaXJkcw==, OK
195.217.255.132, cmV2ZWFsIDE1OTY3IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
173.248.229.119, cGljayA3OTUxIGdlZXNl, OK
167.40.243.47, cmV2ZWFsIDI2OTA1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
11.207.166.41, YXJ0aWN1bGF0ZSAxNTM3MiBmbGllcw==, OK
59.200.84.254, cGljayAzMTg3OSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
101.28.185.133, ZXhwbGFpbiA4MTE5IGRpbm9zYXVycw==, i-can't-even-comprehend-what-you-are-saying
