211.23.26.61, cGluIDc2NiBwaWdz, OK
27.149.50.25, cmV2ZWFsIDE1NTUxIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
222.136.32.209, cmV2ZWFsIDE5MzU0IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
173.114.183.77, cGluIDYzOTIgcGlncw==, OK
88.233.226.191, cmVpdGVyYXRlIDE2NDA1IGZsaWVz, OK
2.168.43.74, Y29uY2VhbCAyODc0NyBiaWctYmlyZHM=, OK
32.229.137.177, cmV2ZWFsIDI1NTAgY2hpY2tlbnM=, OK
41.53.254.97, ZGVzdHJveSAyMDUyNSBwaWdz, OK
137.252.49.77, Y29udnVsc2UgMjMxOTAgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
110.29.38.145, cGljayAyODg1MiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
184.37.94.136, YXJ0aWN1bGF0ZSAyODg5OCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
18.44.205.35, Y29uY2VhbCA2NzIgZ2Vlc2U=, OK
86.218.17.15, cGljayAyMjkzNSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
19.8.20.123, cmV0cmVhdCAxNTg0MSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
24.99.194.97, cmVpdGVyYXRlIDIzMDcyIGR1Y2tz, OK
23.53.254.89, Y29uY2VhbCAyMzExNyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
102.215.173.86, YXJ0aWN1bGF0ZSA4OTAgZHVja3M=, OK
103.60.230.43, cmVpdGVyYXRlIDEwOTA4IGZsaWVz, OK
208.96.107.241, cGx1Y2sgMzE5OTAgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
78.225.234.124, ZXhwbGFpbiAxOTY2OSByYW1z, i-can't-even-comprehend-what-you-are-saying
63.69.169.175, cmV0cmVhdCAyMTA0NCBnZWVzZQ==, OK
84.231.185.26, cmV2ZWFsIDE0OTkyIHNtYWxsLWJpcmRz, OK
208.96.107.241, cmV2ZWFsIDE4NzYyIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
35.3.107.248, cGljayA4NDk0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
169.175.48.245, Y29uY2VhbCAxNDc0MSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
152.188.112.167, ZGVzdHJveSAxNjQ1NiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
82.153.204.85, Y29udnVsc2UgMTYzMTQgbWVkaXVtLXNpemVkLWJpcmRz, OK
31.140.39.210, cmV0cmVhdCAyMTI4OSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
106.124.225.191, YXJ0aWN1bGF0ZSAxNzU5OSBhbmdyeS1nZWVzZQ==, OK
107.232.94.170, Y29uY2VhbCAxODU4OSBzbWFsbC1iaXJkcw==, OK
11.74.142.72, Y29uY2VhbCAxMTc4MiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
50.22.9.49, Y29udnVsc2UgMTM2MzUgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
81.218.143.157, ZGVtb2xpc2ggMzAzMzMgYW5ncnktZ2Vlc2U=, OK
117.164.80.50, cGljayAyNDY3MCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
219.82.169.60, cGljayAxMzg4MCBwaWdz, OK
66.249.163.254, ZGVzdHJveSA1MTA1IGNoaWNrZW5z, OK
9.157.41.233, cmV2ZWFsIDE4Njg5IGFuZ3J5LWdlZXNl, OK
84.143.235.17, cGljayA1ODc0IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
12.17.53.194, cGluIDEyNTgxIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
126.244.122.199, cmV0cmVhdCA2MTcwIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
7.100.217.47, cGluIDMwMjY4IGdlZXNl, OK
215.82.205.4, cGljayA4NTkzIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
88.198.160.11, Y29udnVsc2UgMjMxODcgZHVja3M=, OK
11.156.239.75, cGljayAzMTMwNCBiaWctYmlyZHM=, OK
76.195.197.159, ZGVzdHJveSAxNTEwMiBzbWFsbC1iaXJkcw==, OK
200.29.175.189, ZGVzdHJveSAyMDEyNyBkdWNrcw==, OK
188.119.196.244, cmVpdGVyYXRlIDEyMjgzIGR1Y2tz, OK
150.17.227.95, ZGVzdHJveSA2NDM3IGR1Y2tz, OK
55.228.143.59, cmV2ZWFsIDg2MDggYmlnLWJpcmRz, OK
218.248.202.73, Y29udnVsc2UgMzQyMCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
130.242.234.8, cmV2ZWFsIDI1NTIzIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
102.215.173.86, ZGVzdHJveSAyMzk2OSBnZWVzZQ==, OK
169.175.48.245, cmVpdGVyYXRlIDMzNTAgc21hbGwtYmlyZHM=, OK
107.122.69.67, ZGVzdHJveSAyMTY5OSBjaGlja2Vucw==, OK
32.193.213.148, cmVpdGVyYXRlIDEyNTYxIGFuZ3J5LWdlZXNl, OK
201.69.142.160, ZGVzdHJveSAzMDk4NyBwaWdz, OK
126.17.127.204, cmV2ZWFsIDQ5ODYgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
146.49.113.60, cGx1Y2sgMjM0NTUgbWVkaXVtLXNpemVkLWJpcmRz, OK
81.230.172.49, cmVpdGVyYXRlIDI2MDk3IGdlZXNl, OK
3.165.13.240, Y29uY2VhbCA2MzAgc21hbGwtYmlyZHM=, OK
216.176.90.137, cmV2ZWFsIDQ3MzEgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
200.172.54.195, Y29udnVsc2UgMjk5NyBiaWctYmlyZHM=, OK
95.23.17.175, YXJ0aWN1bGF0ZSAyOTk4MCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
51.200.188.196, cGx1Y2sgMTgwNzggcGlncw==, OK
46.124.61.188, cmVpdGVyYXRlIDE3MDU4IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
133.156.232.203, ZGVzdHJveSA4NTIxIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
26.245.224.93, cGluIDI5ODQxIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
194.33.75.65, cGluIDE1OTk3IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
46.230.136.35, Y29uY2VhbCAyODYyMCBmbGllcw==, OK
92.187.240.82, ZXhwbGFpbiAxMzQ5NiByYW1z, ouch-that-hurt!
