97.3.92.167, ZGVzdHJveSAyNDQzMSBnZWVzZQ==, OK
94.207.15.249, Y29udnVsc2UgNTc3NCBhbmdyeS1nZWVzZQ==, OK
188.8.17.28, cGljayAyNjU0MiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
174.102.225.238, cmVpdGVyYXRlIDI5NDkgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
19.8.20.123, Y29udnVsc2UgMjEyNDIgYW5ncnktZ2Vlc2U=, OK
72.255.208.229, Y29uY2VhbCAyNTM1NCBhbmdyeS1nZWVzZQ==, OK
14.199.143.192, cGljayAyNjMzMSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
145.141.241.88, ZGVzdHJveSAyMTM3NiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
11.193.244.225, cGx1Y2sgMjQ4NSBnZWVzZQ==, OK
84.103.102.99, YXJ0aWN1bGF0ZSA0NzAxIHBpZ3M=, OK
102.89.93.74, ZGVtb2xpc2ggOTMyMCBwaWdz, OK
211.190.183.113, cmV0cmVhdCAzMDUzNCBiaWctYmlyZHM=, OK
137.56.77.160, cGljayAyMzU5IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
215.125.118.121, YXJ0aWN1bGF0ZSAyNDY2OSBiaWctYmlyZHM=, OK
118.207.222.57, cGljayAxNTM5NiBiaWctYmlyZHM=, OK
37.189.60.21, ZGVtb2xpc2ggODc5NCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
60.18.13.7, cmVpdGVyYXRlIDIwODA4IGZsaWVz, OK
18.219.90.216, ZGVtb2xpc2ggMTc2MTcgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
47.43.97.11, YXJ0aWN1bGF0ZSAzMjE0MSBjaGlja2Vucw==, OK
62.187.250.5, Y29uY2VhbCAzMDY4MSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
29.163.177.72, ZGVzdHJveSAxNjYzNCBzbWFsbC1iaXJkcw==, OK
79.219.208.224, cmVpdGVyYXRlIDI1NDggY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
181.40.121.156, Y29udnVsc2UgMjk4MDYgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
97.3.92.167, Y29uY2VhbCAxNDQxIHBpZ3M=, OK
108.228.51.175, Y29udnVsc2UgMzI0NjUgbWVkaXVtLXNpemVkLWJpcmRz, OK
77.8.212.62, cmV2ZWFsIDEzMDAyIGNoaWNrZW5z, OK
215.185.58.173, cGx1Y2sgMTk5MDAgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
125.34.6.39, cGluIDI5NTQ2IHNtYWxsLWJpcmRz, OK
66.249.163.254, YXJ0aWN1bGF0ZSAxNjg3NSBjaGlja2Vucw==, OK
121.108.153.63, cmVpdGVyYXRlIDEwMDcxIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
208.163.4.254, Y29uY2VhbCAxNiBjaGlja2Vucw==, OK
38.90.11.50, cmVpdGVyYXRlIDMxMzMzIGJpZy1iaXJkcw==, OK
68.192.53.51, ZGVtb2xpc2ggMjQ3NSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
136.53.203.233, YXJ0aWN1bGF0ZSAxMDI2MCBnZWVzZQ==, OK
63.132.173.121, YXJ0aWN1bGF0ZSAxNjQ4OSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
113.68.255.66, YXJ0aWN1bGF0ZSAyMDAxIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
23.53.254.89, cGljayAxNDc2NSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
