55.25.215.34, cGljayAzMjUwOCBkdWNrcw==, OK
103.60.230.43, YXJ0aWN1bGF0ZSAzMjA5NyBwaWdz, OK
194.33.75.65, cGljayAxOTY1NSBnZWVzZQ==, OK
62.237.86.128, ZGVzdHJveSAyNTMzOSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
139.200.123.74, cmVpdGVyYXRlIDg4OTMgcGlncw==, OK
222.17.255.57, cmVpdGVyYXRlIDI2OTQwIGJpZy1iaXJkcw==, OK
177.19.165.78, YXJ0aWN1bGF0ZSAxNjgxOCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
21.3.112.225, cGx1Y2sgODc2IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
44.187.69.122, Y29udnVsc2UgOTIxNSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
28.21.194.128, cGx1Y2sgMjk5NTEgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
66.106.115.46, cGx1Y2sgNTkxMyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
115.66.122.198, ZGVtb2xpc2ggMjk1NjcgYmlnLWJpcmRz, OK
58.49.205.218, Y29udnVsc2UgMzA0NjggZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
123.196.96.168, ZGVzdHJveSA5NDEwIGdlZXNl, OK
162.93.114.141, cmVpdGVyYXRlIDE5MDM2IGdlZXNl, OK
58.178.72.73, Y29udnVsc2UgODcgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
27.192.142.193, ZGVzdHJveSAzODUxIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
102.89.93.74, cmVpdGVyYXRlIDM4MTAgYW5ncnktZ2Vlc2U=, OK
216.163.38.154, ZGVtb2xpc2ggMTI4ODggYW5ncnktZ2Vlc2U=, OK
222.18.101.245, cGluIDMyMzYyIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
153.98.193.155, Y29udnVsc2UgMjk0MjYgYmlnLWJpcmRz, OK
191.241.150.115, cGluIDEyMTY5IGZsaWVz, OK
90.98.142.173, cGljayAyMjk2MyBkdWNrcw==, OK
79.105.75.119, ZGVtb2xpc2ggMTkzODAgY2hpY2tlbnM=, OK
153.98.193.155, cmVpdGVyYXRlIDI4NDgwIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
58.178.72.73, ZGVzdHJveSA4NDA0IGZsaWVz, OK
41.53.254.97, cGx1Y2sgMzI2MzYgZmxpZXM=, OK
18.44.205.35, Y29uY2VhbCAyMDk2MSBjaGlja2Vucw==, OK
219.82.76.35, Y29udnVsc2UgMzAwNTIgc21hbGwtYmlyZHM=, OK
94.22.152.124, cmVpdGVyYXRlIDE2OTQgYmlnLWJpcmRz, OK
11.193.244.225, cGx1Y2sgMjgxNzkgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
53.82.222.249, cGljayAxMDEyNyBmbGllcw==, OK
103.193.207.104, cGluIDI2NjQ2IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
75.35.207.134, cGx1Y2sgMjk4NDUgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
24.99.194.97, cGljayAxNzQ1NyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
164.8.189.44, cGljayAzMTUwNCBnZWVzZQ==, OK
44.104.97.235, Y29uY2VhbCAxNTg4MSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
31.37.10.46, ZGVtb2xpc2ggMTM5MTUgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
175.83.206.13, cGluIDE0NTEyIHBpZ3M=, OK
136.127.113.206, cmV2ZWFsIDMzOTUgYW5ncnktZ2Vlc2U=, OK
155.249.192.195, Y29udnVsc2UgMjExNDAgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
133.69.15.14, Y29udnVsc2UgMjk3OTAgZmxpZXM=, OK
149.122.58.252, cGx1Y2sgMjIwNjQgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
130.242.234.8, Y29udnVsc2UgMjAxMDYgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
155.103.23.201, cmVpdGVyYXRlIDIxOTY0IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
128.118.29.181, cGx1Y2sgMTk0NDEgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
136.53.203.233, cmV0cmVhdCAxNjgzMCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
211.96.59.75, cGluIDEwNjYxIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
75.151.226.170, cmV0cmVhdCAyODE0NiBjaGlja2Vucw==, OK
69.49.70.155, cmV2ZWFsIDI4MjI4IGdlZXNl, OK
56.150.110.224, Y29udnVsc2UgMjM1NDQgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
211.136.24.17, cmV2ZWFsIDQ1MDYgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
86.218.17.15, YXJ0aWN1bGF0ZSAzODYgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
86.157.141.109, cGljayAyMjc0NyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
194.84.7.254, Y29uY2VhbCAyMDI0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
202.82.241.179, cGljayA2ODE4IGZsaWVz, OK
90.104.161.151, cGx1Y2sgNzg2NSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
198.35.38.88, Y29uY2VhbCA3MjYwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
78.31.150.75, Y29uY2VhbCAyMjIwNCBhbmdyeS1nZWVzZQ==, OK
66.251.74.113, cmV2ZWFsIDI1MzM1IGJpZy1iaXJkcw==, OK
222.18.101.245, YXJ0aWN1bGF0ZSA2NzEgYmlnLWJpcmRz, OK
36.4.174.181, cGluIDgyNTcgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
66.56.94.33, ZGVzdHJveSAyMTg1MyBhbmdyeS1nZWVzZQ==, OK
126.248.63.167, cmV0cmVhdCAyMzI0OCBwaWdz, OK
139.36.156.243, cmV0cmVhdCAzMDcwNiBzbWFsbC1iaXJkcw==, OK
46.248.231.222, cmV2ZWFsIDc2OTMgcGlncw==, OK
125.34.6.39, cmV2ZWFsIDEwNDAzIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
19.219.213.164, cmV0cmVhdCA2NjY3IHBpZ3M=, OK
119.30.16.224, cmV0cmVhdCA0MjgyIGdlZXNl, OK
71.48.84.6, Y29uY2VhbCA3OTg5IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
221.26.187.104, Y29udnVsc2UgNTI2NSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
86.157.141.109, YXJ0aWN1bGF0ZSAyMTYxMyBkdWNrcw==, OK
