28.38.110.118, ZGVzdHJveSAyNzcxIGdlZXNl, OK
205.172.120.159, cGluIDIzMTMgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
208.217.176.191, ZGVtb2xpc2ggMTMxNjUgYW5ncnktZ2Vlc2U=, OK
72.247.208.192, cGljayA4NzggZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
60.18.13.7, YXJ0aWN1bGF0ZSA4NDc3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
57.176.134.170, cmV0cmVhdCAxODQ1MSBhbmdyeS1nZWVzZQ==, OK
150.254.12.177, Y29udnVsc2UgNDUyNCBwaWdz, OK
172.5.102.13, cmV2ZWFsIDE0OTcxIHBpZ3M=, OK
181.40.121.156, YXJ0aWN1bGF0ZSAzMTAwMCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
165.251.5.108, YXJ0aWN1bGF0ZSAxNjc2OSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
14.173.189.49, cGx1Y2sgNDQxMSBjaGlja2Vucw==, OK
55.19.10.106, cmV2ZWFsIDgzOTUgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
32.193.213.148, cmVpdGVyYXRlIDE0NTIyIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
86.253.92.193, cGljayAzMTc4MiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
221.26.187.104, cmV0cmVhdCAzMjE1MCBhbmdyeS1nZWVzZQ==, OK
94.22.152.124, cmVpdGVyYXRlIDMyNTQ0IGJpZy1iaXJkcw==, OK
82.153.204.85, cmV0cmVhdCAyMzg3NCBiaWctYmlyZHM=, OK
138.50.103.173, cmVpdGVyYXRlIDczNjIgZHVja3M=, OK
159.193.174.124, cGljayA4ODM2IGJpZy1iaXJkcw==, OK
123.142.33.85, cGluIDI1MTg2IGdlZXNl, OK
177.159.95.192, ZGVtb2xpc2ggODk1MiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
166.145.170.121, Y29udnVsc2UgNjc1NyBmbGllcw==, OK
26.194.46.241, cmVpdGVyYXRlIDk0ODQgYmlnLWJpcmRz, OK
143.150.138.122, YXJ0aWN1bGF0ZSA0NDU3IGJpZy1iaXJkcw==, OK
70.140.187.114, cGluIDEzNDc2IGFuZ3J5LWdlZXNl, OK
23.187.186.224, cGluIDIyMjgyIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
56.150.110.224, cGx1Y2sgMjIyMjUgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
164.182.77.3, cmV2ZWFsIDE4MjA5IGZsaWVz, OK
130.242.234.8, cGljayA1ODUgYmlnLWJpcmRz, OK
83.175.198.242, YXJ0aWN1bGF0ZSA4MDE2IHBpZ3M=, OK
167.236.64.71, ZGVtb2xpc2ggMzE4OTYgbWVkaXVtLXNpemVkLWJpcmRz, OK
117.15.93.64, cmV2ZWFsIDUxMjMgcGlncw==, OK
121.16.193.21, Y29udnVsc2UgNDUyNCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
32.229.137.177, YXJ0aWN1bGF0ZSA0ODgyIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
120.2.5.125, Y29udnVsc2UgODI1MSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
75.229.157.125, ZGVzdHJveSAxODM4IGFuZ3J5LWdlZXNl, OK
129.54.11.77, cmV0cmVhdCAxNDUgYmlnLWJpcmRz, OK
27.114.171.133, Y29udnVsc2UgMjM1MzEgbWVkaXVtLXNpemVkLWJpcmRz, OK
190.170.121.219, Y29udnVsc2UgMTUwNDAgZHVja3M=, OK
185.112.236.111, Y29uY2VhbCA0NDk2IGJpZy1iaXJkcw==, OK
140.189.112.178, cmV2ZWFsIDI1NTE3IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
33.33.127.73, Y29udnVsc2UgNTk1MiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
99.114.207.121, ZGVzdHJveSAyMzc0OSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
67.76.92.223, cmV0cmVhdCAxMzc3NCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
178.131.217.4, cGluIDI3MTI0IGNoaWNrZW5z, OK
124.39.251.232, cGluIDI2NzA3IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
149.47.231.39, cGx1Y2sgMzcyMiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
136.53.203.233, YXJ0aWN1bGF0ZSAxMjczNyBnZWVzZQ==, OK
58.178.72.73, ZGVzdHJveSAyNTI2MSBiaWctYmlyZHM=, OK
210.74.24.17, cmVpdGVyYXRlIDE1MjE5IGR1Y2tz, OK
167.40.243.47, cmVpdGVyYXRlIDgzMjAgY2hpY2tlbnM=, OK
72.255.208.229, cGx1Y2sgMTE2NDggY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
