107.232.94.170, ZGVzdHJveSAxMDEzNCBiaWctYmlyZHM=, OK
162.89.46.165, cmV0cmVhdCAyNDY2NCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
11.214.64.176, cmV2ZWFsIDI4NjYwIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
194.74.53.75, Y29udnVsc2UgMjY2NDAgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
121.239.14.214, Y29uY2VhbCAxMDYyNSBwaWdz, OK
174.102.225.238, YXJ0aWN1bGF0ZSAxNzM3OCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
5.147.5.175, cGx1Y2sgMjQ4OTEgZHVja3M=, OK
12.248.76.29, cGluIDExNzE3IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
63.184.127.127, ZGVzdHJveSAyOTIyNSBhbmdyeS1nZWVzZQ==, OK
162.27.96.135, Y29uY2VhbCAyMTkzIGNoaWNrZW5z, OK
30.19.1.172, cGluIDI1NDIyIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
87.187.70.176, cmV2ZWFsIDM0NDcgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
199.224.63.67, Y29udnVsc2UgMTU1NDMgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
15.238.32.162, cGljayAyNjM3OSBmbGllcw==, OK
74.250.118.193, cGluIDIxMDIxIHNtYWxsLWJpcmRz, OK
96.237.50.30, cmVpdGVyYXRlIDI1MzMzIGZsaWVz, OK
173.248.229.119, cmV2ZWFsIDEzNDU1IHBpZ3M=, OK
77.27.36.163, cGx1Y2sgMjU4MDAgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
139.160.25.10, cGluIDcwNTIgZHVja3M=, OK
196.221.84.26, Y29uY2VhbCAyMzcwOSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
124.32.23.26, ZGVzdHJveSAzMjY1OCBwaWdz, OK
42.58.54.6, cmV2ZWFsIDIxODAxIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
77.206.49.204, cmV0cmVhdCAxMzg1MCBhbmdyeS1nZWVzZQ==, OK
194.63.91.226, cmVpdGVyYXRlIDE2NTMxIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
24.229.6.71, ZGVzdHJveSAyOTY5MiBjaGlja2Vucw==, OK
55.228.143.59, cGljayAzNDUgZ2Vlc2U=, OK
98.199.198.28, cmV2ZWFsIDE1MTEwIGR1Y2tz, OK
32.133.149.99, cmVpdGVyYXRlIDI4NTI4IHBpZ3M=, OK
73.106.30.204, cmVpdGVyYXRlIDQ3NDAgZHVja3M=, OK
41.237.57.137, cGljayAyODg0MCBkdWNrcw==, OK
194.33.75.65, cGluIDMwNDMxIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
112.116.176.70, cGljayAyMzA4NyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
23.187.186.224, cmVpdGVyYXRlIDEzMDQgZmxpZXM=, OK
62.42.183.171, ZGVtb2xpc2ggMjE0NiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
188.205.12.225, Y29uY2VhbCA1NTQxIHNtYWxsLWJpcmRz, OK
166.20.228.12, cmV2ZWFsIDI0MDU3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
66.249.163.254, cGx1Y2sgMTgzODggYW5ncnktZ2Vlc2U=, OK
72.247.208.192, ZGVtb2xpc2ggMjUyNjIgZHVja3M=, OK
200.29.175.189, cmVpdGVyYXRlIDk4MjQgYmlnLWJpcmRz, OK
209.38.238.81, cGljayAyNDkyNiBjaGlja2Vucw==, OK
125.34.6.39, Y29uY2VhbCAyNTEyNSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
31.140.39.210, ZGVzdHJveSAxMzI2MCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
17.248.248.252, cmV2ZWFsIDIwNjAxIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
3.254.161.211, cGljayAxMTk0OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
151.192.64.196, ZGVtb2xpc2ggODM2NCBkdWNrcw==, OK
120.2.5.125, Y29udnVsc2UgMjgxMzYgZ2Vlc2U=, OK
98.27.205.206, cGluIDM0NjggZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
41.60.4.187, cGluIDE2NzkyIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
142.169.23.93, ZGVzdHJveSAzMDUxMCBkdWNrcw==, OK
174.19.61.194, cmVpdGVyYXRlIDM5NzkgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
186.42.178.12, cGljayA2MzkxIGZsaWVz, OK
75.35.207.134, cmVpdGVyYXRlIDI0NTkyIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
174.15.144.46, cmV2ZWFsIDMwNzMzIGZsaWVz, OK
160.187.242.47, cGljayAzMDU2MyBzbWFsbC1iaXJkcw==, OK
21.170.254.65, YXJ0aWN1bGF0ZSAxNDIwMyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
164.17.57.184, cmV2ZWFsIDI2NjcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
151.25.196.252, ZGVzdHJveSA3MDk0IHNtYWxsLWJpcmRz, OK
106.92.123.74, cGljayAzMjQyMyBjaGlja2Vucw==, OK
178.238.17.215, cmVpdGVyYXRlIDgxMjkgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
196.186.131.106, cmV0cmVhdCA3MDQ1IGJpZy1iaXJkcw==, OK
169.175.48.245, cmV2ZWFsIDE0OTEyIGFuZ3J5LWdlZXNl, OK
188.207.175.131, dW5kZXJzdGFuZCA1ODA2IHBlYWNlLWxvdmluZy1nZWVzZQ==, my-socket-is-on-fire!
