216.163.38.154, cmVpdGVyYXRlIDEzMyBiaWctYmlyZHM=, OK
42.104.122.3, cGx1Y2sgMTk4NjYgY2hpY2tlbnM=, OK
51.9.39.233, Y29udnVsc2UgMTI3MTMgZHVja3M=, OK
162.201.109.83, ZGVzdHJveSAxNzgxNyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
132.181.16.212, Y29uY2VhbCAxNjY1MyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
20.69.94.150, ZGVzdHJveSAxNDI3MyBhbmdyeS1nZWVzZQ==, OK
82.118.32.172, cGljayAxMDM1NCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
161.234.217.106, cGluIDI2OTU0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
112.116.176.70, cmV0cmVhdCAxODQ5NyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
77.27.36.163, cmV0cmVhdCAxNTQ1MyBkdWNrcw==, OK
6.128.90.155, cGljayAyOTkxIGNoaWNrZW5z, OK
121.134.42.101, ZGVtb2xpc2ggOTEyMiBiaWctYmlyZHM=, OK
193.108.227.203, Y29udnVsc2UgMjAxNDUgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
108.228.51.175, cmV0cmVhdCAxMTYgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
158.171.131.147, YXJ0aWN1bGF0ZSAxNjQ4IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
19.244.227.170, ZGVtb2xpc2ggNTkwIGNoaWNrZW5z, OK
172.94.13.185, cmVpdGVyYXRlIDEzOTMxIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
24.169.27.44, YXJ0aWN1bGF0ZSA5IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
110.29.38.145, Y29udnVsc2UgMTc4ODUgZHVja3M=, OK
26.62.22.221, ZGVtb2xpc2ggMjc4OTQgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
27.92.63.139, ZGVtb2xpc2ggMjA1OTQgZmxpZXM=, OK
23.53.254.89, cGljayAzMDk0MyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
149.47.231.39, Y29udnVsc2UgMTU5NTYgcGlncw==, OK
133.78.35.156, Y29uY2VhbCAyOTkwNiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
43.170.207.48, ZGVzdHJveSAyNDEwNyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
64.209.177.26, cmVpdGVyYXRlIDg0NTkgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
46.124.61.188, ZGVtb2xpc2ggMjQ1OSBjaGlja2Vucw==, OK
195.217.255.132, cGx1Y2sgMjU3OTEgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
57.238.42.249, cmV0cmVhdCAyODAxNyBwaWdz, OK
207.112.82.74, cGluIDI4OTcxIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
18.56.125.33, Y29uY2VhbCAyNjc2MyBzbWFsbC1iaXJkcw==, OK
152.142.231.49, ZGVzdHJveSAzMTUxNiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
96.237.50.30, Y29udnVsc2UgMjI3MzMgcGlncw==, OK
143.179.239.37, cmVpdGVyYXRlIDI5Mzg5IHBpZ3M=, OK
166.145.170.121, cGluIDI2ODgzIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
29.163.177.72, Y29uY2VhbCAyMTg2OCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
33.88.33.47, Y29uY2VhbCAxMjgxMCBzbWFsbC1iaXJkcw==, OK
35.3.107.248, cGljayAxMDg2MiBmbGllcw==, OK
145.141.241.88, Y29udnVsc2UgMzY4NCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
196.239.224.249, cmVpdGVyYXRlIDE0MzY5IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
28.38.110.118, cGx1Y2sgMjcxNjggY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
162.27.96.135, cmV0cmVhdCAyMjAzOSBwaWdz, OK
70.194.149.33, Y29udnVsc2UgMjQ0NzcgbWVkaXVtLXNpemVkLWJpcmRz, OK
173.114.183.77, cmV2ZWFsIDIzNjg0IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
28.5.135.93, cGx1Y2sgMTY5NTYgbWVkaXVtLXNpemVkLWJpcmRz, OK
109.19.42.48, cGluIDY2ODYgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
45.34.234.145, cmV2ZWFsIDI4NDIwIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
206.36.183.27, cGluIDE1NDY1IGFuZ3J5LWdlZXNl, OK
24.99.194.97, Y29uY2VhbCAzMTUxMyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
4.73.166.72, Y29uY2VhbCAxOTQ1NyBzbWFsbC1iaXJkcw==, OK
59.172.148.4, cmVpdGVyYXRlIDE1NTY3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
57.176.134.170, cGluIDQ0NzkgZmxpZXM=, OK
108.228.51.175, Y29udnVsc2UgMjE3MjUgZmxpZXM=, OK
66.251.74.113, ZGVzdHJveSA0NDM3IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
211.23.26.61, ZGVzdHJveSA3MTA1IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
216.176.90.137, ZGVzdHJveSAyNTQyNiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
4.242.107.225, ZGVtb2xpc2ggODA4NCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
218.179.133.14, ZGVzdHJveSAzMTAwMiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
183.225.165.240, ZGVzdHJveSA5MzY0IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
103.237.123.40, cmVpdGVyYXRlIDI3MzMxIGR1Y2tz, OK
13.202.58.234, cGx1Y2sgODQ0OSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
12.248.76.29, ZGVzdHJveSAyNjA5OCBiaWctYmlyZHM=, OK
145.141.241.88, Y29uY2VhbCAyMDMzMCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
98.159.136.149, YXJ0aWN1bGF0ZSA4NjMzIGR1Y2tz, OK
143.47.86.16, cGx1Y2sgMTg2ODQgY2hpY2tlbnM=, OK
68.223.17.224, Y29uY2VhbCAyMzg2NyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
188.254.108.225, cmVpdGVyYXRlIDIzNDQgYW5ncnktZ2Vlc2U=, OK
36.228.177.188, cmV0cmVhdCAxNDYzNSBiaWctYmlyZHM=, OK
180.126.41.181, Y29udnVsc2UgMjg1MDUgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
178.238.17.215, Y29udnVsc2UgMTEyMzEgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
75.35.207.134, ZGVzdHJveSAxMjU0NCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
38.143.9.126, ZGVzdHJveSA2ODUxIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
26.241.177.205, cmV0cmVhdCAxNDYxMCBhbmdyeS1nZWVzZQ==, OK
181.90.136.181, aW50ZWdyYXRlIDExMTQ4IHJhbXM=, my-socket-is-on-fire!
