132.131.110.230, cGljayAyMjMwNSBkdWNrcw==, OK
142.169.23.93, cGljayAxNzU1NiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
124.54.1.70, cmV0cmVhdCAzMTM1MiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
86.227.74.249, cmVpdGVyYXRlIDU0MjQgZ2Vlc2U=, OK
80.113.205.197, cGx1Y2sgOTMzMyBnZWVzZQ==, OK
167.136.156.61, ZGVtb2xpc2ggMTk4MzEgcGlncw==, OK
200.209.238.241, cGljayAxNjY5MyBjaGlja2Vucw==, OK
5.26.85.74, ZGVzdHJveSAxNzEwOCBzbWFsbC1iaXJkcw==, OK
11.214.64.176, Y29uY2VhbCAyMTI4NyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
104.251.246.127, Y29uY2VhbCAyNjI3MiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
36.110.253.88, ZGVtb2xpc2ggMjE2NDUgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
167.40.243.47, cGx1Y2sgMTA1NzkgY2hpY2tlbnM=, OK
181.69.169.14, cGluIDEzODE5IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
11.193.244.225, ZGVzdHJveSA3Nzg0IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
45.112.153.234, cGluIDg1NTcgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
163.170.246.157, cGljayAxODU3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
133.13.240.200, cGx1Y2sgMzE1NTAgc21hbGwtYmlyZHM=, OK
109.203.1.158, cGluIDIxOTMyIGZsaWVz, OK
175.186.225.135, ZGVzdHJveSAzMDYwOSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
171.39.16.136, YXJ0aWN1bGF0ZSA1NjEwIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
72.105.145.138, cmV0cmVhdCAxMTgwMSBkdWNrcw==, OK
55.228.143.59, YXJ0aWN1bGF0ZSAxNzcwIGFuZ3J5LWdlZXNl, OK
61.2.126.216, Y29uY2VhbCAyMjk0NSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
121.250.42.171, Y29udnVsc2UgMTk2MDUgZ2Vlc2U=, OK
112.116.176.70, ZGVtb2xpc2ggMTM0NTcgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
217.118.144.29, cmV0cmVhdCAxMTExNyBhbmdyeS1nZWVzZQ==, OK
26.194.46.241, cGljayA2MzAzIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
73.106.30.204, cGx1Y2sgMTg3NTcgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
115.32.254.117, cGljayAxNDk1NSBiaWctYmlyZHM=, OK
58.204.52.96, Y29udnVsc2UgMTIxNDAgZ2Vlc2U=, OK
168.193.161.178, ZGVzdHJveSAzMjE0OCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
7.137.31.5, Y29udnVsc2UgMTk3NjIgZHVja3M=, OK
70.140.187.114, ZGVtb2xpc2ggOTUxNSBmbGllcw==, OK
66.210.170.112, cGx1Y2sgMTM1ODAgZHVja3M=, OK
203.14.64.195, Y29udnVsc2UgMjc5MCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
54.43.32.140, cGljayAxNDU1NiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
182.63.34.138, cmV0cmVhdCAzMTQ0NCBmbGllcw==, OK
187.87.217.237, cmV2ZWFsIDE4MjM2IGNoaWNrZW5z, OK
170.212.132.239, cmV0cmVhdCAyODU5NCBhbmdyeS1nZWVzZQ==, OK
178.98.153.174, Y29udnVsc2UgMTYzNDkgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
112.125.102.212, ZGVtb2xpc2ggMTQ1MTAgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
123.190.87.137, Y29uY2VhbCAyNzA3OSBzbWFsbC1iaXJkcw==, OK
99.95.169.57, cGljayAxNzg3MiBmbGllcw==, OK
217.118.144.29, cmVpdGVyYXRlIDI4MTU3IHBpZ3M=, OK
155.249.192.195, cmV0cmVhdCAyMjAxNSBmbGllcw==, OK
215.125.118.121, cmV0cmVhdCAxOTQxMCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
218.179.133.14, ZGVtb2xpc2ggNzg5MCBjaGlja2Vucw==, OK
151.192.64.196, cGx1Y2sgMjQwMDAgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
19.59.220.47, cGx1Y2sgMjMyNjcgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
46.230.136.35, Y29uY2VhbCAxOTM5NCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
54.117.196.173, cGx1Y2sgNDU5MyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
218.179.133.14, ZGVzdHJveSAyMTEgc21hbGwtYmlyZHM=, OK
4.94.81.50, cGluIDIxNzgzIHNtYWxsLWJpcmRz, OK
121.108.153.63, cmV2ZWFsIDMwNzI0IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
90.104.161.151, ZGVtb2xpc2ggMTc5MjUgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
123.142.33.85, cGluIDE1MzM3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
204.234.174.158, ZGVtb2xpc2ggMzE4OTEgZHVja3M=, OK
219.236.13.46, ZGVtb2xpc2ggMjcwNzMgY2hpY2tlbnM=, OK
110.3.171.167, YXJ0aWN1bGF0ZSAxNTQ5NCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
36.244.31.251, Y29uY2VhbCAyMDQ3IGNoaWNrZW5z, OK
29.163.177.72, cGljayAxODEwNCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
216.176.90.137, Y29uY2VhbCA5MDc3IGdlZXNl, OK
