84.103.102.99, ZGVzdHJveSAyMzYzMCBiaWctYmlyZHM=, OK
167.136.156.61, YXJ0aWN1bGF0ZSAyNjA3IGR1Y2tz, OK
170.212.132.239, dW5kZXJzdGFuZCAzMzQwIHJhbXM=, please-make-it-stop
200.209.238.241, cmVpdGVyYXRlIDExODMgbWVkaXVtLXNpemVkLWJpcmRz, OK
94.207.15.249, ZGVtb2xpc2ggMjc1OTcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
151.175.243.48, cmV2ZWFsIDUwMjMgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
135.94.212.64, Y29uY2VhbCA2NzM0IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
154.79.115.97, cGljayAxMTc4MiBiaWctYmlyZHM=, OK
134.133.26.189, ZGVtb2xpc2ggMTY1OTkgZmxpZXM=, OK
181.78.43.85, ZGVtb2xpc2ggMjQzNDUgZ2Vlc2U=, OK
102.215.173.86, Y29udnVsc2UgMTA5MjcgZHVja3M=, OK
43.170.207.48, cGx1Y2sgMzIwMDcgZmxpZXM=, OK
96.197.47.131, YXJ0aWN1bGF0ZSAxNTIwMiBjaGlja2Vucw==, OK
133.156.232.203, cmVpdGVyYXRlIDI1MjIzIGZsaWVz, OK
63.132.173.121, cmVpdGVyYXRlIDIyNTkwIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
79.105.75.119, cGluIDI4NTg3IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
194.74.53.75, YXJ0aWN1bGF0ZSAzMDMxNCBiaWctYmlyZHM=, OK
20.69.94.150, Y29udnVsc2UgMTY0OTMgY2hpY2tlbnM=, OK
35.83.29.145, cGx1Y2sgMjUzOTUgZmxpZXM=, OK
188.205.12.225, YXJ0aWN1bGF0ZSAxNjg4OSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
131.43.202.222, ZGVtb2xpc2ggMjQ0MDkgYW5ncnktZ2Vlc2U=, OK
126.17.127.204, ZGVzdHJveSAyNjI3MiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
87.69.250.11, ZGVzdHJveSAyMDI2NyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
187.197.228.76, cGljayAyOTU4NSBzbWFsbC1iaXJkcw==, OK
109.203.1.158, cGluIDE4MDg5IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
194.74.184.124, cGljayAzMjQgY2hpY2tlbnM=, OK
141.34.209.77, cGljayAxNjIzMiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
32.32.196.247, cGx1Y2sgNDE1MiBmbGllcw==, OK
57.176.134.170, cmVpdGVyYXRlIDc2ODIgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
121.250.42.171, ZGVtb2xpc2ggMjAzNzAgc21hbGwtYmlyZHM=, OK
11.97.202.168, ZGVtb2xpc2ggNjAzOSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
58.49.205.218, Y29udnVsc2UgMjk4OSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
66.106.115.46, Y29uY2VhbCAxMTcxNyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
39.32.158.172, cGluIDIzNjM5IGFuZ3J5LWdlZXNl, OK
181.78.43.85, cGljayAyNDQ0OCBwaWdz, OK
58.30.69.74, Y29uY2VhbCAzMjE5MSBnZWVzZQ==, OK
126.23.255.218, cGljayAzMDk0NCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
53.82.222.249, cGljayAyMTU0NCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
54.219.20.106, cGx1Y2sgMTIxMzcgYmlnLWJpcmRz, OK
196.239.224.249, ZGVtb2xpc2ggNTQ0OSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
137.252.49.77, cGx1Y2sgMzA4MjEgZ2Vlc2U=, OK
87.69.250.11, ZGVtb2xpc2ggNDc5NyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
75.58.202.188, dW5kZXJzdGFuZCA3NjM3IGRpbm9zYXVycw==, please-make-it-stop
121.217.238.54, Y29uY2VhbCAxMjYxMCBwaWdz, OK
200.29.175.189, cGx1Y2sgNjg2MSBjaGlja2Vucw==, OK
86.221.146.42, cmV0cmVhdCAzNDA3IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
208.96.107.241, cmV0cmVhdCAxNzY4NyBwaWdz, OK
85.42.133.183, Y29udnVsc2UgMjc2NzAgbWVkaXVtLXNpemVkLWJpcmRz, OK
187.87.217.237, cGx1Y2sgMzE3MzMgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
5.147.5.175, cmV2ZWFsIDE1NjUyIGdlZXNl, OK
37.184.197.233, cGljayAyODkwNiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
62.42.183.171, cmVpdGVyYXRlIDEwNzAwIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
19.8.20.123, Y29uY2VhbCAxNTA3NyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
129.54.11.77, ZGVzdHJveSAxODY5OCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
83.57.49.118, cmVpdGVyYXRlIDEzNDY5IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
75.109.192.238, cmVpdGVyYXRlIDE2NjI3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
52.116.109.227, Y29udnVsc2UgNDYzNSBjaGlja2Vucw==, OK
188.205.12.225, Y29uY2VhbCA4ODU1IGdlZXNl, OK
122.79.46.242, cmVpdGVyYXRlIDEzMTM3IGNoaWNrZW5z, OK
94.101.65.75, YXJ0aWN1bGF0ZSA0MDM3IGJpZy1iaXJkcw==, OK
173.114.183.77, YXJ0aWN1bGF0ZSAyMDY4OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
28.160.225.55, Y29udnVsc2UgMzA0NjAgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
144.137.248.95, cmV0cmVhdCAxNTk0OSBwaWdz, OK
