92.111.49.117, cGljayAyNDAyNyBnZWVzZQ==, OK
86.218.17.15, cGluIDI2NDM5IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
157.176.97.9, cmVpdGVyYXRlIDIwMTkyIHBpZ3M=, OK
91.74.8.103, Y29uY2VhbCA4MTQzIGNoaWNrZW5z, OK
183.225.165.240, YXJ0aWN1bGF0ZSAzMTgzMyBwaWdz, OK
49.185.31.71, ZGVtb2xpc2ggNjk5MCBmbGllcw==, OK
150.227.34.71, cGluIDExNDI4IGdlZXNl, OK
41.20.200.48, Y29uY2VhbCAyMTcwNCBwaWdz, OK
87.75.155.245, ZGVzdHJveSAxODE3OCBwaWdz, OK
51.221.20.145, Y29uY2VhbCAyMTY4NiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
35.83.29.145, cGx1Y2sgMjY2MCBwaWdz, OK
162.27.96.135, ZGVtb2xpc2ggMjE3OTQgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
1.102.54.93, YXJ0aWN1bGF0ZSAzMDQ3NCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
166.145.170.121, cGluIDExOTEgYW5ncnktZ2Vlc2U=, OK
33.88.33.47, cGljayAyNjk3NiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
138.68.57.102, cmV0cmVhdCAyNDA3NiBzbWFsbC1iaXJkcw==, OK
196.20.191.194, cGx1Y2sgMjA0MjQgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
217.93.54.204, Y29uY2VhbCAxMjkyNiBnZWVzZQ==, OK
110.3.171.167, Y29udnVsc2UgNDU3NCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
55.196.129.42, ZGVzdHJveSAxOTYzMyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
62.136.98.60, cmVpdGVyYXRlIDExMDc3IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
191.52.203.199, ZGVzdHJveSA1MzkwIGJpZy1iaXJkcw==, OK
141.146.107.30, cmVpdGVyYXRlIDY4OTEgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
43.85.183.77, ZGVtb2xpc2ggMTY3MDQgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
84.36.78.65, cmVpdGVyYXRlIDY1MzcgZHVja3M=, OK
36.8.115.64, ZGVzdHJveSA4NTIyIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
109.203.1.158, cGljayA5NTI2IGdlZXNl, OK
40.123.179.185, cmV0cmVhdCAyMDI2MSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
86.253.92.193, Y29udnVsc2UgOTQwOCBnZWVzZQ==, OK
84.103.102.99, ZGVzdHJveSA0NTYzIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
98.119.71.187, Y29uY2VhbCA0Mjc2IGZsaWVz, OK
164.131.134.217, Y29udnVsc2UgMjg0MTcgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
132.131.110.230, cmV2ZWFsIDI3MDIgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
181.224.76.210, ZGVzdHJveSAyMDY3IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
179.195.108.126, cmVpdGVyYXRlIDEwNjc2IGR1Y2tz, OK
158.69.20.32, cmV2ZWFsIDEyMzY5IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
136.53.203.233, ZGVtb2xpc2ggMTk4MTQgZmxpZXM=, OK
84.130.208.220, Y29udnVsc2UgMTg0NiBzbWFsbC1iaXJkcw==, OK
123.81.80.160, cmVpdGVyYXRlIDIwODk1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
117.15.93.64, cGx1Y2sgMjMxMTIgcGlncw==, OK
202.151.148.91, ZGVzdHJveSA2NzQ1IGR1Y2tz, OK
103.60.230.43, cGx1Y2sgNDI0NSBwaWdz, OK
188.119.196.244, ZGVtb2xpc2ggMzc1NSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
86.157.141.109, cGx1Y2sgMTQ5MzYgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
55.115.224.56, ZGVzdHJveSAxNzA3NyBiaWctYmlyZHM=, OK
5.31.52.103, ZGVtb2xpc2ggMjIzMDIgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
204.233.20.124, cmV0cmVhdCA5MjMgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
120.2.5.125, Y29udnVsc2UgMjkxOTkgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
140.189.112.178, cmV0cmVhdCAyMDIwNyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
84.32.158.51, cmV2ZWFsIDcwNzMgZHVja3M=, OK
122.137.158.78, ZGVtb2xpc2ggMjMzNzcgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
200.142.178.161, cmV2ZWFsIDExODQ0IGR1Y2tz, OK
213.174.3.18, Y29uY2VhbCAxMjE0MCBkdWNrcw==, OK
94.68.24.243, cmV0cmVhdCAxNTgwNyBhbmdyeS1nZWVzZQ==, OK
166.139.136.252, cGljayAyMzI4MCBzbWFsbC1iaXJkcw==, OK
200.218.75.32, Y29uY2VhbCA1OTMyIGdlZXNl, OK
89.241.196.237, cmV0cmVhdCAxODkzIGJpZy1iaXJkcw==, OK
175.18.14.188, ZGVzdHJveSAxNzcwNiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
175.82.110.42, cmV2ZWFsIDIwMjQ3IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
7.87.92.154, ZGVzdHJveSAxMTY4NSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
43.146.252.33, cGljayAxMTg3IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
77.8.212.62, Y29uY2VhbCAxNjExMyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
63.69.169.175, cGx1Y2sgMTg5MCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
