32.193.213.148, cGljayAyNDkyNCBmbGllcw==, OK
99.95.169.57, cGluIDMwMzA0IGZsaWVz, OK
41.23.239.113, ZGVzdHJveSAxNzk0MCBhbmdyeS1nZWVzZQ==, OK
42.104.122.3, ZGVtb2xpc2ggMTQzNDEgbWVkaXVtLXNpemVkLWJpcmRz, OK
26.241.177.205, cmV2ZWFsIDI0NjYzIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
187.197.175.73, cmV2ZWFsIDE3NTIwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
201.155.91.83, ZGVtb2xpc2ggMTYwNzggZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
16.240.137.80, cmV2ZWFsIDEzMzM5IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
195.217.255.132, cGljayAzMDY2OCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
217.93.54.204, cGx1Y2sgMzAxMjQgbWVkaXVtLXNpemVkLWJpcmRz, OK
1.102.54.93, cmV0cmVhdCA3MzcxIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
66.251.74.113, Y29uY2VhbCAxNTg4OSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
60.18.13.7, ZGVtb2xpc2ggOTExOSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
86.74.200.78, cGljayAyNjQ5IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
166.205.21.142, ZGVtb2xpc2ggMzAxNDcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
223.7.173.155, cmV2ZWFsIDIzNjc2IGJpZy1iaXJkcw==, OK
110.29.38.145, cmVpdGVyYXRlIDE5MzA4IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
54.43.32.140, cGx1Y2sgMTU4NyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
48.61.180.178, Y29uY2VhbCAyMTY1NyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
137.56.77.160, cmV2ZWFsIDE5NDI0IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
24.45.137.227, Y29udnVsc2UgOTU5OCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
45.112.153.234, ZGVzdHJveSA1NTI2IGNoaWNrZW5z, OK
57.238.42.249, Y29udnVsc2UgMjYxMDcgZmxpZXM=, OK
90.50.6.174, cmV2ZWFsIDE5MzIzIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
212.213.208.246, Y29udnVsc2UgOTc3OCBnZWVzZQ==, OK
28.5.135.93, cmV2ZWFsIDEzNjg5IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
177.89.56.237, Y29uY2VhbCAxMjA5NiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
3.165.13.240, cGx1Y2sgMjkwMTAgY2hpY2tlbnM=, OK
7.137.31.5, cmVpdGVyYXRlIDQ2NzUgZHVja3M=, OK
59.240.21.88, cmVpdGVyYXRlIDIxNDg5IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
90.50.6.174, Y29uY2VhbCAyOTM4NyBiaWctYmlyZHM=, OK
94.68.24.243, ZGVzdHJveSA4MTAgc21hbGwtYmlyZHM=, OK
11.214.64.176, cmV2ZWFsIDI5NTAgZHVja3M=, OK
70.228.235.139, YXJ0aWN1bGF0ZSAzMDU0NCBnZWVzZQ==, OK
155.237.212.159, cGx1Y2sgMjkxNDggcGlncw==, OK
195.217.255.132, cGluIDEyMjUxIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
186.179.1.8, Y29uY2VhbCAyODM3NSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
153.91.199.15, cmVpdGVyYXRlIDE4NTg5IHBpZ3M=, OK
145.141.241.88, cGljayAyNDMyMSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
218.179.133.14, Y29udnVsc2UgNDkwMyBwaWdz, OK
194.74.53.75, cmV2ZWFsIDExMjEzIGdlZXNl, OK
75.58.202.188, YXJ0aWN1bGF0ZSAxMzQzMSBiaWctYmlyZHM=, OK
5.31.52.103, Y29uY2VhbCAxNzg3MiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
11.193.244.225, Y29udnVsc2UgMjkzNjcgc21hbGwtYmlyZHM=, OK
210.88.110.118, cmV2ZWFsIDI0NzQyIGNoaWNrZW5z, OK
58.204.52.96, ZGVtb2xpc2ggMTQ4MjMgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
162.201.109.83, ZGVtb2xpc2ggODg1NSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
55.115.224.56, ZGVtb2xpc2ggMjg4OTAgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
109.19.42.48, YXJ0aWN1bGF0ZSAyMTcwMyBhbmdyeS1nZWVzZQ==, OK
45.184.151.102, dW5kZXJzdGFuZCAzMjAyMiBtaW5vdGF1cnM=, i-can't-even-comprehend-what-you-are-saying
