221.26.187.104, ZGVzdHJveSAzMTYyNCBnZWVzZQ==, OK
148.250.46.230, cmVpdGVyYXRlIDIyNTMxIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
64.154.46.58, ZGVzdHJveSAyNzQ1NCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
3.254.161.211, cGljayA2NjM4IGFuZ3J5LWdlZXNl, OK
200.172.54.195, Y29udnVsc2UgMTIxNjUgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
73.106.30.204, cGx1Y2sgNDMzNCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
85.235.230.238, cGluIDEwNjA2IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
161.123.142.23, YXJ0aWN1bGF0ZSAyNjM0IHNtYWxsLWJpcmRz, OK
171.206.82.125, cGljayAyNDM0NCBjaGlja2Vucw==, OK
193.234.202.135, cGluIDEwNDc5IGNoaWNrZW5z, OK
14.255.254.212, YXJ0aWN1bGF0ZSAyMjcwMiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
27.157.152.46, cmVpdGVyYXRlIDk3MTQgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
194.236.252.197, Y29uY2VhbCAyMjA0NSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
118.64.72.33, cGljayAxNDgyMiBiaWctYmlyZHM=, OK
23.245.212.57, YXJ0aWN1bGF0ZSA3MTM3IGR1Y2tz, OK
33.115.72.245, ZGVtb2xpc2ggMzE5MDcgZmxpZXM=, OK
46.207.57.51, ZGVzdHJveSAyMzE1MSBiaWctYmlyZHM=, OK
47.58.15.198, cmV2ZWFsIDI0NzYyIGJpZy1iaXJkcw==, OK
148.250.46.230, ZGVtb2xpc2ggMTI2ODkgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
195.217.255.132, cGljayAyOTAwNiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
123.81.80.160, cGljayAxMTYyNiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
204.233.20.124, Y29uY2VhbCA4NzM3IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
196.20.191.194, YXJ0aWN1bGF0ZSA4MzQ3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
164.97.199.127, ZGVtb2xpc2ggODA3MCBmbGllcw==, OK
27.149.50.25, cmV2ZWFsIDIxMjE1IHNtYWxsLWJpcmRz, OK
13.166.245.92, Y29uY2VhbCAxMTc4IGR1Y2tz, OK
124.54.1.70, Y29uY2VhbCA4NzMwIGNoaWNrZW5z, OK
130.105.54.122, cGljayAyMjUyMSBzbWFsbC1iaXJkcw==, OK
187.87.217.237, cGljayAxNDgyOCBjaGlja2Vucw==, OK
34.10.85.86, cGluIDY4NDEgZmxpZXM=, OK
45.34.234.145, Y29uY2VhbCAyNjI4NyBnZWVzZQ==, OK
40.196.246.93, cmV0cmVhdCAxODA1MSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
6.128.90.155, cmVpdGVyYXRlIDU0MjcgYmlnLWJpcmRz, OK
135.94.212.64, Y29udnVsc2UgMjA1MTEgYmlnLWJpcmRz, OK
177.89.56.237, cGx1Y2sgMzE2NTQgZHVja3M=, OK
24.169.27.44, cGluIDIxMzE0IGFuZ3J5LWdlZXNl, OK
126.248.63.167, ZGVtb2xpc2ggMjQxNjAgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
73.149.109.44, cmVpdGVyYXRlIDE4ODA5IHNtYWxsLWJpcmRz, OK
85.235.230.238, cmV2ZWFsIDI4Mjc1IGR1Y2tz, OK
58.30.69.74, cmV0cmVhdCA0NjY4IGR1Y2tz, OK
173.24.251.179, cGx1Y2sgMTg0MTAgbWVkaXVtLXNpemVkLWJpcmRz, OK
86.211.249.187, cmV2ZWFsIDMyMjA3IGZsaWVz, OK
124.64.54.232, cGljayA4NTkwIHNtYWxsLWJpcmRz, OK
117.164.80.50, YXJ0aWN1bGF0ZSAxNDg3MyBmbGllcw==, OK
48.47.163.88, ZGVtb2xpc2ggMTQ1MzcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
87.187.70.176, cmV2ZWFsIDEwNzY1IGdlZXNl, OK
84.36.78.65, ZGVtb2xpc2ggODQ1MSBnZWVzZQ==, OK
75.121.86.104, cGluIDY5MyBjaGlja2Vucw==, OK
83.55.22.244, Y29uY2VhbCA2MDAxIGZsaWVz, OK
75.35.207.134, cGljayAyNTkxOSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
144.153.99.195, ZGVzdHJveSAyMzg1OSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
181.69.169.14, ZGVtb2xpc2ggOTM0OCBhbmdyeS1nZWVzZQ==, OK
217.118.144.29, ZGVtb2xpc2ggMzIyNzEgYmlnLWJpcmRz, OK
57.150.73.164, YXJ0aWN1bGF0ZSA1MjEzIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
115.34.235.155, Y29uY2VhbCAxNjEwIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
87.75.155.245, cGluIDQwNTMgcGlncw==, OK
13.202.58.234, YXJ0aWN1bGF0ZSAxMTAwMiBzbWFsbC1iaXJkcw==, OK
86.253.92.193, ZGVzdHJveSAyMTQ3NSBjaGlja2Vucw==, OK
177.89.56.237, cGx1Y2sgOTA4NSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
62.177.226.216, cmVpdGVyYXRlIDI3MTEgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
39.32.158.172, cmVpdGVyYXRlIDI1MjYzIGJpZy1iaXJkcw==, OK
69.82.55.102, YXJ0aWN1bGF0ZSAxOTExMCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
194.236.252.197, cmV2ZWFsIDE2Nzk3IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
13.166.245.92, Y29uY2VhbCAyMTYxMCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
195.57.148.211, cGljayAyOTU2MiBhbmdyeS1nZWVzZQ==, OK
31.9.94.134, cGx1Y2sgMzU5NiBnZWVzZQ==, OK
36.4.174.181, ZGVtb2xpc2ggMjYzNjMgYW5ncnktZ2Vlc2U=, OK
7.137.31.5, Y29uY2VhbCA0NDYgZHVja3M=, OK
99.192.249.102, YXJ0aWN1bGF0ZSAyMjExMCBjaGlja2Vucw==, OK
4.40.197.109, cmV0cmVhdCAxMjg5MiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
158.69.20.32, cGx1Y2sgNjgzNyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
77.206.49.204, cmV2ZWFsIDEzODQzIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
46.230.136.35, cGx1Y2sgMTQ2OTkgY2hpY2tlbnM=, OK
206.36.183.27, cGx1Y2sgMjExMDIgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
177.221.116.240, ZGVzdHJveSAxMzA2NyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
62.139.79.237, aW50ZWdyYXRlIDIzMDkxIHBlYWNlLWxvdmluZy1nZWVzZQ==, please-make-it-stop
