175.83.206.13, ZGVzdHJveSAzMjMyMSBwaWdz, OK
26.62.22.221, ZGVzdHJveSAyMTIxNiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
30.19.1.172, cGljayAyODIzMCBkdWNrcw==, OK
118.207.222.57, cmVpdGVyYXRlIDE3MTI4IGdlZXNl, OK
2.145.214.193, ZGVzdHJveSAyMDUwIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
150.227.34.71, cGljayAyMTAwIGR1Y2tz, OK
118.64.72.33, YXJ0aWN1bGF0ZSAxNTMyMiBhbmdyeS1nZWVzZQ==, OK
62.182.175.148, Y29uY2VhbCA0NjkwIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
32.32.196.247, Y29udnVsc2UgMTY3MyBwaWdz, OK
164.97.199.127, cmV0cmVhdCAxNjE2IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
200.220.249.24, cGluIDMwOTM2IGR1Y2tz, OK
136.53.203.233, cGx1Y2sgMTAzOTkgZmxpZXM=, OK
7.155.96.182, YXJ0aWN1bGF0ZSAxMzc0NyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
193.108.227.203, Y29udnVsc2UgMjMxMzkgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
96.237.50.30, cmVpdGVyYXRlIDE2OTg4IHNtYWxsLWJpcmRz, OK
151.192.64.196, cGljayAxNzkwNCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
174.19.61.194, Y29udnVsc2UgMjcyOTAgc21hbGwtYmlyZHM=, OK
109.19.42.48, cGx1Y2sgNTc2MiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
33.165.254.175, cGx1Y2sgMTAzNTAgZ2Vlc2U=, OK
209.38.238.81, Y29uY2VhbCAyODE3MSBmbGllcw==, OK
188.207.175.131, cmVpdGVyYXRlIDI1MjcwIGZsaWVz, OK
75.109.192.238, Y29udnVsc2UgMjA3MTIgYW5ncnktZ2Vlc2U=, OK
136.226.91.148, cGljayAxNzY3NCBhbmdyeS1nZWVzZQ==, OK
180.210.114.96, Y29uY2VhbCAyNTg2NiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
19.219.213.164, ZGVtb2xpc2ggNjY4NCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
145.134.33.91, ZGVzdHJveSAyNTY2MyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
24.71.40.187, Y29uY2VhbCAzMTg3NSBiaWctYmlyZHM=, OK
18.219.90.216, ZGVzdHJveSAyODU0NiBiaWctYmlyZHM=, OK
220.188.29.212, cmVpdGVyYXRlIDI5MjUyIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
72.8.233.155, ZGVzdHJveSAxNzI4MiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
164.8.189.44, cmV0cmVhdCAyNjc0NSBmbGllcw==, OK
222.252.126.133, cmVpdGVyYXRlIDI5NjUzIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
75.58.202.188, Y29uY2VhbCAxMDA1MCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
119.13.62.248, Y29udnVsc2UgMTgyNjYgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
46.207.57.51, cmVpdGVyYXRlIDE0NDI0IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
115.34.235.155, ZGVzdHJveSA3Mjg5IGNoaWNrZW5z, OK
177.159.95.192, YXJ0aWN1bGF0ZSA1MzExIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
120.132.252.171, ZGVzdHJveSAyNDcxMyBzbWFsbC1iaXJkcw==, OK
62.187.250.5, cGljayAxOTI4OSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
216.176.90.137, cmVpdGVyYXRlIDI2NjEzIGJpZy1iaXJkcw==, OK
84.210.29.161, cGx1Y2sgMjU3OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
53.167.113.171, cmV2ZWFsIDE2NzAxIGFuZ3J5LWdlZXNl, OK
215.72.153.2, ZGVzdHJveSAzMzU0IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
175.186.225.135, Y29udnVsc2UgMjQ3NzcgZHVja3M=, OK
182.160.81.160, Y29uY2VhbCA1Nzg4IGFuZ3J5LWdlZXNl, OK
8.101.130.72, cmV2ZWFsIDI5MDA0IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
37.235.107.138, ZGVtb2xpc2ggMjE1NDMgZmxpZXM=, OK
204.233.20.124, Y29udnVsc2UgODA2NCBhbmdyeS1nZWVzZQ==, OK
191.241.150.115, Y29uY2VhbCAxODQ4OSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
57.176.134.170, cGx1Y2sgMjA0NDggZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
22.133.173.111, ZGVzdHJveSAyOTQ5MyBzbWFsbC1iaXJkcw==, OK
177.221.116.240, cGx1Y2sgMjIyNDMgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
32.133.149.99, cGljayAyNDU2NyBhbmdyeS1nZWVzZQ==, OK
206.36.183.27, cGx1Y2sgMjI2NDcgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
7.155.96.182, cmV2ZWFsIDI4NjExIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
155.174.251.221, cGluIDI4MjQxIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
173.24.251.179, cmV0cmVhdCAxMDc2OSBiaWctYmlyZHM=, OK
78.31.150.75, cmV2ZWFsIDEyNTI2IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
118.64.72.33, cGljayAxMTk3MCBiaWctYmlyZHM=, OK
193.108.227.203, cmV0cmVhdCAxMDk5NSBwaWdz, OK
122.219.102.179, YXJ0aWN1bGF0ZSAxMjg4NSBhbmdyeS1nZWVzZQ==, OK
172.153.224.112, Y29udnVsc2UgMTM3NDQgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
212.199.79.147, Y29udnVsc2UgMTY3MDIgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
193.108.227.203, cGljayAyODYxNiBkdWNrcw==, OK
102.89.93.74, cGluIDI2ODM5IHBpZ3M=, OK
204.234.174.158, ZGVzdHJveSAxNjAxMyBkdWNrcw==, OK
36.110.253.88, Y29udnVsc2UgMzIzMiBkdWNrcw==, OK
65.44.5.45, cGljayA1OTA0IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
121.134.42.101, dW5waW4gMTg1OTUgZGlub3NhdXJz, i-can't-even-comprehend-what-you-are-saying
