44.187.69.122, cmVpdGVyYXRlIDEyNDIwIHNtYWxsLWJpcmRz, OK
94.207.15.249, ZGVtb2xpc2ggMTI4MDggZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
125.34.6.39, cmV0cmVhdCAxMDY3NiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
74.70.19.34, cmV0cmVhdCAxNTE4MyBkdWNrcw==, OK
61.2.126.216, cGluIDM4OTcgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
53.82.222.249, cmVpdGVyYXRlIDMxMzkgZmxpZXM=, OK
200.172.54.195, Y29uY2VhbCA3MTUxIGNoaWNrZW5z, OK
152.86.175.152, Y29udnVsc2UgMTE2MzUgc21hbGwtYmlyZHM=, OK
121.250.42.171, cGluIDIwMTIgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
194.236.252.197, Y29udnVsc2UgOTEzNyBwaWdz, OK
222.220.54.229, ZGVtb2xpc2ggMjg4NzEgYmlnLWJpcmRz, OK
64.209.177.26, cmV0cmVhdCAzMDI5NSBkdWNrcw==, OK
22.243.52.188, cGx1Y2sgMjU1MjYgc21hbGwtYmlyZHM=, OK
216.127.16.202, ZGVtb2xpc2ggMjQyNDMgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
53.195.216.149, ZGVzdHJveSAzMjAzNSBhbmdyeS1nZWVzZQ==, OK
33.88.33.47, cGx1Y2sgMTg2NTYgcGlncw==, OK
182.63.34.138, ZGVtb2xpc2ggMTE5NTUgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
117.15.93.64, cmVpdGVyYXRlIDI0MzM4IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
108.38.251.104, cGluIDI5OTcgZmxpZXM=, OK
130.26.220.191, cGluIDMwODUyIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
86.218.17.15, cGljayAxMzY3MyBnZWVzZQ==, OK
51.9.39.233, cGljayAzMDM1IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
44.186.88.18, Y29udnVsc2UgNTkwNiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
43.63.66.160, YXJ0aWN1bGF0ZSA1MDExIGNoaWNrZW5z, OK
96.217.226.144, cmVpdGVyYXRlIDE4NjQ4IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
63.213.255.41, cGluIDEyMDIgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
201.155.91.83, Y29udnVsc2UgODAyMyBkdWNrcw==, OK
138.50.103.173, ZGVzdHJveSAxOTYwMSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
154.79.115.97, ZGVtb2xpc2ggMjE4NTQgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
168.93.12.26, Y29udnVsc2UgNTA1NSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
125.232.68.51, ZGVzdHJveSAxNjMzNSBiaWctYmlyZHM=, OK
58.43.141.197, cmV2ZWFsIDMyMjcyIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
32.229.137.177, ZGVtb2xpc2ggMjQyMjIgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
196.186.131.106, cGx1Y2sgMTg1IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
87.75.155.245, cGluIDIzOTgxIGFuZ3J5LWdlZXNl, OK
73.5.245.228, Y29uY2VhbCAyMzE1IHBpZ3M=, OK
106.124.225.191, Y29uY2VhbCAxMDA2MCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
173.111.42.175, cmVpdGVyYXRlIDI0OTQyIHNtYWxsLWJpcmRz, OK
56.150.110.224, cmV2ZWFsIDIxODg2IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
202.151.148.91, cGx1Y2sgNTkxMiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
143.39.8.178, YXJ0aWN1bGF0ZSAyODUzMiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
150.17.227.95, cmV0cmVhdCAxNjk3MyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
193.234.202.135, Y29uY2VhbCA2Njk0IGdlZXNl, OK
215.82.205.4, YXJ0aWN1bGF0ZSAxNzM2MyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
2.167.7.113, cmV0cmVhdCAyODY3MSBjaGlja2Vucw==, OK
63.42.81.91, YXJ0aWN1bGF0ZSAzMTU4MyBmbGllcw==, OK
64.154.46.58, cmV2ZWFsIDMxODU0IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
132.131.110.230, cGljayAxMzcyMyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
136.110.169.60, cGljayAzNDUzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
195.201.4.201, cGljayAxOTMzMCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
174.15.144.46, cmV2ZWFsIDE3NjM1IGZsaWVz, OK
110.29.38.145, ZGVzdHJveSAxMDY3NSBkdWNrcw==, OK
202.151.148.91, ZGVzdHJveSAyMDU5MiBmbGllcw==, OK
110.133.161.71, cGx1Y2sgMzIzODQgZmxpZXM=, OK
43.193.231.160, Y29uY2VhbCAzMjA4NyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
189.68.97.243, Y29uY2VhbCA3NTE4IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
55.19.10.106, cGx1Y2sgOTE2MSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
195.201.4.201, cmVpdGVyYXRlIDIyNDQwIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
181.90.136.181, cmV2ZWFsIDI3OTUyIGFuZ3J5LWdlZXNl, OK
124.32.23.26, ZGVtb2xpc2ggMzE0Mzcgc21hbGwtYmlyZHM=, OK
68.223.17.224, cmV0cmVhdCAyNDQxNSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
58.49.205.218, ZGVtb2xpc2ggMTQ5NTAgY2hpY2tlbnM=, OK
77.8.212.62, cGx1Y2sgMjY4NTggY2hpY2tlbnM=, OK
203.14.64.195, YXJ0aWN1bGF0ZSAzMyBkdWNrcw==, OK
217.245.162.54, dW5waW4gMjMxNiBkaW5vc2F1cnM=, please-make-it-stop
