34.10.85.86, cGljayAyMzAzMCBwaWdz, OK
20.69.94.150, YXJ0aWN1bGF0ZSAxOTUwNiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
219.82.76.35, cGluIDE2MzI2IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
32.229.137.177, ZGVtb2xpc2ggMTYzMTkgY2hpY2tlbnM=, OK
138.68.57.102, cGljayAxMzAxNCBnZWVzZQ==, OK
43.146.252.33, ZGVtb2xpc2ggMjE2MSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
152.142.231.49, Y29udnVsc2UgOTQ5NiBkdWNrcw==, OK
211.23.26.61, Y29uY2VhbCAyMzU0MyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
92.25.82.181, cmV0cmVhdCAxMDgyMyBnZWVzZQ==, OK
150.227.34.71, cmV2ZWFsIDMwMDk4IGdlZXNl, OK
31.37.10.46, YXJ0aWN1bGF0ZSAxNjIxNCBjaGlja2Vucw==, OK
4.195.138.100, Y29udnVsc2UgMTgwOTAgZmxpZXM=, OK
21.104.18.181, cmV2ZWFsIDEyOTQ2IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
23.245.212.57, YXJ0aWN1bGF0ZSA4MDkgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
177.29.34.133, Y29uY2VhbCAyNjAxIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
27.160.163.224, Y29udnVsc2UgMTcxODYgY2hpY2tlbnM=, OK
80.117.97.217, Y29uY2VhbCAxMDM2MiBzbWFsbC1iaXJkcw==, OK
166.139.136.252, cmV2ZWFsIDEyMDQgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
57.238.42.249, Y29udnVsc2UgMTk1NTAgc21hbGwtYmlyZHM=, OK
150.227.34.71, cGluIDE5Mjg4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
62.177.226.216, ZGVzdHJveSAxNzk4MiBzbWFsbC1iaXJkcw==, OK
172.94.13.185, cGx1Y2sgNjM0NSBwaWdz, OK
4.94.81.50, cGljayAzMjc1MiBiaWctYmlyZHM=, OK
178.98.153.174, Y29uY2VhbCAxMDExNiBjaGlja2Vucw==, OK
143.150.138.122, Y29udnVsc2UgMTMwNzEgZmxpZXM=, OK
144.71.169.219, cmV0cmVhdCAxNzAzOCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
42.73.85.62, cmVpdGVyYXRlIDI4MjEzIGJpZy1iaXJkcw==, OK
32.32.196.247, ZGVzdHJveSAzMDQgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
130.242.234.8, cGluIDE2ODY3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
106.124.225.191, cGluIDY1NjcgZHVja3M=, OK
54.219.20.106, ZGVtb2xpc2ggMzA4NTUgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
13.166.245.92, cmV0cmVhdCAyNzcxNyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
63.132.173.121, Y29udnVsc2UgOTQxMiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
143.150.138.122, Y29uY2VhbCAyMjI2MCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
122.137.158.78, cGluIDE3MDAyIGJpZy1iaXJkcw==, OK
15.238.143.168, cmV2ZWFsIDUzNTIgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
154.79.115.97, cmV0cmVhdCAxMzQ5MCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
37.184.197.233, Y29udnVsc2UgMzI2NDEgZHVja3M=, OK
82.118.32.172, cmVpdGVyYXRlIDE0MjE1IGZsaWVz, OK
155.185.39.116, ZGVzdHJveSAyMTg5NiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
110.227.57.206, YXJ0aWN1bGF0ZSAzNTgzIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
14.101.252.40, YXJ0aWN1bGF0ZSAxNzczOCBkdWNrcw==, OK
36.8.115.64, ZGVzdHJveSAyMTg1MiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
130.242.234.8, ZGVtb2xpc2ggMjAwODkgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
211.72.245.20, cGljayAyNjQ0NiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
134.133.26.189, ZGVzdHJveSAyODk5NCBhbmdyeS1nZWVzZQ==, OK
42.104.122.3, cmV0cmVhdCAyOTY5NyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
209.83.156.130, ZGVtb2xpc2ggMjQ3MDAgbWVkaXVtLXNpemVkLWJpcmRz, OK
207.112.82.74, cmV2ZWFsIDI4OTc1IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
77.206.49.204, cGljayAxOTU1MiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
83.57.49.118, cGljayA5NjUwIHBpZ3M=, OK
167.244.98.212, cmVpdGVyYXRlIDIzNDg3IHNtYWxsLWJpcmRz, OK
14.101.252.40, cGljayAxNTM1OSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
181.187.128.124, Y29uY2VhbCA3NTggZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
81.230.172.49, cmVpdGVyYXRlIDEwNDc5IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
89.241.196.237, cmV0cmVhdCAzMDU1IGNoaWNrZW5z, OK
145.134.33.91, cGljayAzMTA4IGdlZXNl, OK
112.174.164.209, cmVpdGVyYXRlIDMwNjYxIGNoaWNrZW5z, OK
90.98.142.173, cmV0cmVhdCAxMTgxNiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
173.169.194.107, YXJ0aWN1bGF0ZSAxMzYzNCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
145.178.26.187, cGx1Y2sgMjAzODUgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
56.150.110.224, ZGVzdHJveSA5MzMxIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
170.212.132.239, ZGVzdHJveSAyMDA3OSBiaWctYmlyZHM=, OK
130.26.220.191, ZGVzdHJveSAxODI3OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
22.244.29.56, Y29uY2VhbCAxNDE0OSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
195.217.255.132, cmVpdGVyYXRlIDMwMTA2IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
73.106.30.204, ZGVtb2xpc2ggMzEyODIgZmxpZXM=, OK
208.217.176.191, cmV2ZWFsIDQ0NTYgZHVja3M=, OK
148.153.164.44, cmV2ZWFsIDExNzUwIGdlZXNl, OK
152.142.231.49, YXJ0aWN1bGF0ZSAyMjY0NiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
115.34.235.155, cmV0cmVhdCAyMTc1NSBwaWdz, OK
143.150.138.122, cmV0cmVhdCA0ODc5IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
7.87.92.154, aW50ZWdyYXRlIDE1Mjk1IG1pbm90YXVycw==, i-can't-even-comprehend-what-you-are-saying
