46.207.57.51, cGljayAxNzExNCBwaWdz, OK
152.86.175.152, cmV2ZWFsIDE1NDY0IGJpZy1iaXJkcw==, OK
22.177.40.26, YXJ0aWN1bGF0ZSAxMDkyIGdlZXNl, OK
216.127.16.202, Y29udnVsc2UgMjY4MjMgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
7.87.92.154, cmVpdGVyYXRlIDMxNjg1IGNoaWNrZW5z, OK
112.116.176.70, cmV0cmVhdCAzMjQzNSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
123.196.96.168, ZGVzdHJveSA5NjI0IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
148.236.124.217, Y29udnVsc2UgNDcxOCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
155.81.182.228, cGx1Y2sgODMxNyBmbGllcw==, OK
71.48.84.6, Y29udnVsc2UgNDcxNiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
137.56.77.160, Y29uY2VhbCAyNzE3MCBwaWdz, OK
196.186.131.106, cGljayAzNjMxIGJpZy1iaXJkcw==, OK
14.74.242.160, cGljayA4NTQwIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
217.124.192.49, YXJ0aWN1bGF0ZSA3NTA2IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
53.82.222.249, cGljayAxMTA3NCBjaGlja2Vucw==, OK
2.168.43.74, ZGVtb2xpc2ggMTc3MTQgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
168.17.134.37, cGx1Y2sgNTQwMCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
207.94.189.54, YXJ0aWN1bGF0ZSAzMjQ0OSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
19.244.227.170, cGljayAxMjE5MCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
152.188.112.167, Y29uY2VhbCAxMDUzOSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
28.68.43.239, cmV2ZWFsIDI0MDIwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
79.105.75.119, Y29udnVsc2UgMTYyNDEgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
55.7.124.110, cmVpdGVyYXRlIDI3MzY4IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
173.248.229.119, ZGVtb2xpc2ggMTkzNzIgZHVja3M=, OK
62.42.183.171, YXJ0aWN1bGF0ZSAxMzE0NiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
210.88.110.118, ZGVzdHJveSAxMTAwMSBjaGlja2Vucw==, OK
126.17.127.204, cGluIDI1MTY0IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
201.69.142.160, dW5kZXJzdGFuZCAxMTE3IG1pbm90YXVycw==, why-did-this-have-to-happen
13.141.4.30, cGx1Y2sgNTQ4MiBjaGlja2Vucw==, OK
121.134.42.101, ZGVtb2xpc2ggMTk3NDEgYmlnLWJpcmRz, OK
208.96.107.241, YXJ0aWN1bGF0ZSAyNzU0IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
4.195.138.100, ZGVzdHJveSAxNTAyIGR1Y2tz, OK
84.32.158.51, cmV0cmVhdCAyNDM5MSBjaGlja2Vucw==, OK
203.14.64.195, cGluIDM0NTUgZ2Vlc2U=, OK
117.15.93.64, cGljayAxODIwOSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
11.156.239.75, ZGVtb2xpc2ggMTU3NTMgYW5ncnktZ2Vlc2U=, OK
108.6.247.28, cmV0cmVhdCAxMDA3OSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
200.218.75.32, cGluIDE5NDk2IGFuZ3J5LWdlZXNl, OK
32.167.214.50, Y29udnVsc2UgMjM3MDQgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
160.20.250.146, Y29udnVsc2UgMjI3NjYgZmxpZXM=, OK
40.196.246.93, ZGVtb2xpc2ggMTkzMjIgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
110.29.38.145, Y29udnVsc2UgNjYzMCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
136.53.203.233, cGljayAyOTQyMCBiaWctYmlyZHM=, OK
79.94.31.22, cmV0cmVhdCA0OTgwIGZsaWVz, OK
73.5.245.228, cmV2ZWFsIDMxODkyIGFuZ3J5LWdlZXNl, OK
172.5.102.13, cGljayAyNDU3OSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
83.55.22.244, ZGVzdHJveSAyNjE3OCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
14.101.252.40, cGx1Y2sgNzIyNiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
126.244.122.199, cGluIDUwOTUgc21hbGwtYmlyZHM=, OK
142.169.23.93, ZGVtb2xpc2ggMTYxOTQgbWVkaXVtLXNpemVkLWJpcmRz, OK
217.124.192.49, Y29udnVsc2UgMTYxMzkgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
17.248.248.252, cmVpdGVyYXRlIDIzMzU0IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
83.149.109.201, cmVpdGVyYXRlIDE5OTk1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
140.189.112.178, cGx1Y2sgMjczODEgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
47.43.97.11, cGljayAzOTM3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
34.10.85.86, ZGVzdHJveSAxMTM3OCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
71.48.84.6, cmVpdGVyYXRlIDE5NjQgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
203.14.64.195, cGx1Y2sgMjQwOTQgZ2Vlc2U=, OK
136.226.91.148, cGx1Y2sgODg4MCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
155.103.23.201, cmVpdGVyYXRlIDEzNjAzIGZsaWVz, OK
160.187.242.47, cGx1Y2sgMTE4OTAgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
109.19.42.48, cGx1Y2sgNjk3NCBmbGllcw==, OK
11.214.64.176, cmV2ZWFsIDI3OTc2IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
31.37.10.46, cmV2ZWFsIDEwMTE4IGR1Y2tz, OK
143.238.143.123, Y29udnVsc2UgMjgzNyBwaWdz, OK
27.160.163.224, Y29uY2VhbCA2MDU2IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
123.196.96.168, ZGVtb2xpc2ggNzEzNCBkdWNrcw==, OK
45.247.136.64, cmVpdGVyYXRlIDE5OTkzIGJpZy1iaXJkcw==, OK
210.134.220.87, Y29uY2VhbCAxNzk5MiBnZWVzZQ==, OK
96.237.50.30, YXJ0aWN1bGF0ZSA5MjI2IGdlZXNl, OK
137.56.77.160, cmV2ZWFsIDExMjQ0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
46.248.231.222, cGx1Y2sgMjExNjcgZmxpZXM=, OK
121.134.42.101, cmV2ZWFsIDE4NTUzIHBpZ3M=, OK
195.217.255.132, cmV0cmVhdCAzMTI3NiBiaWctYmlyZHM=, OK
66.186.105.210, Y29uY2VhbCAxNzk3NyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
177.29.34.133, cGluIDIwMTM1IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
38.207.150.74, Y29udnVsc2UgMTk2NTkgY2hpY2tlbnM=, OK
15.41.161.186, dW5kZXJzdGFuZCAyMjA3NCBtaW5vdGF1cnM=, i-can't-even-comprehend-what-you-are-saying
