218.177.89.116, cGljayAyNjUyNiBmbGllcw==, OK
157.176.97.9, cGljayAyODY2MSBhbmdyeS1nZWVzZQ==, OK
77.27.36.163, cmV2ZWFsIDMxMDY0IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
154.203.85.148, ZGVtb2xpc2ggOTY3MSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
13.166.245.92, cmV0cmVhdCAxOTE0MCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
200.209.238.241, ZGVzdHJveSAyMzcxOSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
203.14.64.195, cmV2ZWFsIDE0NzU2IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
108.228.51.175, ZGVtb2xpc2ggMTI4NTMgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
178.131.217.4, YXJ0aWN1bGF0ZSAyMjA5MSBkdWNrcw==, OK
216.163.38.154, cmVpdGVyYXRlIDI0OTI2IGdlZXNl, OK
177.221.116.240, cGluIDEwNDAwIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
126.244.122.199, YXJ0aWN1bGF0ZSAxODk3NyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
13.141.4.30, cmV0cmVhdCA4ODM0IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
211.96.59.75, ZGVtb2xpc2ggMjkxNDQgZ2Vlc2U=, OK
43.170.207.48, ZGVtb2xpc2ggMjE4NTMgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
162.89.46.165, Y29udnVsc2UgMzEyNjEgYmlnLWJpcmRz, OK
169.175.48.245, Y29udnVsc2UgNTIxNiBhbmdyeS1nZWVzZQ==, OK
131.255.185.165, cGljayA3NjI4IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
97.173.112.180, ZGVtb2xpc2ggOTc3MyBjaGlja2Vucw==, OK
140.189.112.178, cmV0cmVhdCAxNzIwMCBhbmdyeS1nZWVzZQ==, OK
22.243.52.188, ZGVtb2xpc2ggNDY0MyBzbWFsbC1iaXJkcw==, OK
168.193.161.178, cGx1Y2sgMzAzODIgYW5ncnktZ2Vlc2U=, OK
122.219.102.179, ZGVtb2xpc2ggNDEyMCBkdWNrcw==, OK
140.189.112.178, ZXhwbGFpbiAyNDQ1MyBtaW5vdGF1cnM=, i-can't-even-comprehend-what-you-are-saying
38.125.255.91, cGluIDI3Mjk1IHNtYWxsLWJpcmRz, OK
72.255.208.229, cGx1Y2sgMjI2MjkgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
145.134.33.91, ZGVtb2xpc2ggNzcwNiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
96.237.50.30, YXJ0aWN1bGF0ZSAyMzM3NSBmbGllcw==, OK
81.230.172.49, cGluIDE3ODUyIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
103.60.230.43, cmV2ZWFsIDE2Njg3IGFuZ3J5LWdlZXNl, OK
138.50.103.173, cmV0cmVhdCA3OTQwIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
11.214.64.176, ZGVzdHJveSA0NjA0IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
130.105.54.122, ZGVzdHJveSAzMjU0MyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
66.147.133.216, cmV0cmVhdCAxMjk2NyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
21.3.112.225, ZGVtb2xpc2ggOTg1OSBkdWNrcw==, OK
45.34.234.145, cmV0cmVhdCAyODY3MyBnZWVzZQ==, OK
191.64.227.252, ZGVzdHJveSAyMjcxMCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
161.234.217.106, cmV2ZWFsIDE2MjY2IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
21.79.191.172, ZGVzdHJveSAzMTY3IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
41.123.15.11, ZGVtb2xpc2ggMTEyMjggZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
14.199.143.192, ZGVtb2xpc2ggMjgyOTYgbWVkaXVtLXNpemVkLWJpcmRz, OK
209.20.179.144, ZGVtb2xpc2ggNTI3MSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
37.184.197.233, cGljayAzMjExMCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
42.104.122.3, cmV2ZWFsIDQ1NTIgZmxpZXM=, OK
220.66.102.80, Y29uY2VhbCAzOTE2IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
37.189.60.21, Y29uY2VhbCAxOTcxMCBkdWNrcw==, OK
45.34.234.145, YXJ0aWN1bGF0ZSAyOTY0MiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
175.82.110.42, YXJ0aWN1bGF0ZSAyNDA5MSBkdWNrcw==, OK
24.169.27.44, Y29uY2VhbCAxNjAyOCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
43.170.207.48, cmVpdGVyYXRlIDMwNDMyIGZsaWVz, OK
8.96.140.117, ZGVzdHJveSAyMzg5OSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
43.193.231.160, Y29uY2VhbCAyMjA0NiBkdWNrcw==, OK
24.169.27.44, cmV0cmVhdCAyMzA3MSBmbGllcw==, OK
94.22.152.124, cmVpdGVyYXRlIDI0MjQ4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
215.185.58.173, YXJ0aWN1bGF0ZSAyNDYwMyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
105.85.211.6, cGluIDIxNzAwIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
161.164.189.123, cmVpdGVyYXRlIDk0NTcgcGlncw==, OK
65.31.71.65, cGljayA2MTg3IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
148.153.164.44, cGluIDIzNTM1IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
106.124.225.191, ZGVzdHJveSAxMjgyMiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
188.205.12.225, cGx1Y2sgMTUzNzEgYW5ncnktZ2Vlc2U=, OK
134.133.26.189, cGx1Y2sgMjM5NTkgc21hbGwtYmlyZHM=, OK
128.118.29.181, Y29uY2VhbCA1MTAwIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
82.118.32.172, cGluIDIzNTg2IGJpZy1iaXJkcw==, OK
63.132.173.121, cGljayAyNzgyMyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
166.145.170.121, cGx1Y2sgMTY0OTEgc21hbGwtYmlyZHM=, OK
194.74.184.124, cGljayAxNDAxMSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
136.53.203.233, cGljayA1NjY3IGZsaWVz, OK
36.8.115.64, cmV0cmVhdCA5OTczIHBpZ3M=, OK
188.205.12.225, ZGVtb2xpc2ggMzQ4MCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
35.3.107.248, cmV2ZWFsIDIyNjIxIHNtYWxsLWJpcmRz, OK
26.18.139.162, ZGVtb2xpc2ggMTEzNDIgbWVkaXVtLXNpemVkLWJpcmRz, OK
179.117.113.215, Y29uY2VhbCAyNDE5MyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
119.54.136.255, dW5waW4gMTQyNzcgcmFtcw==, why-did-this-have-to-happen
