117.193.231.168, cGluIDcyMjkgZmxpZXM=, OK
103.60.230.43, cGljayAyMzg4NSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
6.247.137.205, cGljayAyMTgzMiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
194.236.252.197, cmV2ZWFsIDE1ODgxIGFuZ3J5LWdlZXNl, OK
132.131.110.230, cGljayAxNjk1NCBmbGllcw==, OK
43.85.183.77, ZGVtb2xpc2ggNTYgYmlnLWJpcmRz, OK
54.43.32.140, ZGVzdHJveSAxOTY0NyBmbGllcw==, OK
145.178.26.187, cmV2ZWFsIDI0NjYwIGJpZy1iaXJkcw==, OK
214.40.145.219, cGljayA0NjYyIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
19.8.20.123, cmV0cmVhdCAyMjk2OSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
115.230.210.139, cGljayAyNDkxMSBjaGlja2Vucw==, OK
156.99.52.119, YXJ0aWN1bGF0ZSAxODg1MiBwaWdz, OK
35.225.248.181, cGljayAyNjg4OCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
71.119.124.63, cGx1Y2sgNDg0MCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
220.66.102.80, YXJ0aWN1bGF0ZSA0Mjg3IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
62.177.226.216, cmVpdGVyYXRlIDExMDQ5IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
63.69.169.175, Y29udnVsc2UgMzE5OTcgYmlnLWJpcmRz, OK
128.118.29.181, cmVpdGVyYXRlIDIzMjA4IGdlZXNl, OK
24.71.40.187, ZGVtb2xpc2ggMTM2ODMgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
186.31.175.77, ZGVzdHJveSA0NDgxIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
62.182.175.148, ZGVtb2xpc2ggMzI4NiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
194.74.184.124, cGx1Y2sgNTEgZmxpZXM=, OK
222.136.32.209, cmV0cmVhdCAzMjAzNiBmbGllcw==, OK
7.155.96.182, Y29uY2VhbCAyNjMwOSBmbGllcw==, OK
80.97.180.7, cGluIDE4NDIzIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
136.110.169.60, cGljayAxNDczMiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
27.160.163.224, ZXhwbGFpbiAxODEyOCBtaW5vdGF1cnM=, my-socket-is-on-fire!
