41.237.57.137, cGljayAyMDgzMCBwaWdz, OK
84.143.235.17, cmV2ZWFsIDExNjUxIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
56.150.110.224, cGluIDIzMTkwIGZsaWVz, OK
57.135.21.110, Y29uY2VhbCAxMzIyMiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
166.20.228.12, cGljayAxNTE5MCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
58.204.52.96, ZGVzdHJveSAxNDMwOCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
86.211.249.187, Y29uY2VhbCA3Mzc1IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
130.65.15.183, cmV2ZWFsIDg4NTMgZHVja3M=, OK
163.170.246.157, cmVpdGVyYXRlIDE1ODE1IHNtYWxsLWJpcmRz, OK
200.209.238.241, cmVpdGVyYXRlIDIwMzg3IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
112.125.102.212, cGluIDIyNzQ2IHBpZ3M=, OK
188.119.196.244, cGljayAyMjQ0IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
103.60.230.43, Y29uY2VhbCA3NjQxIHNtYWxsLWJpcmRz, OK
73.5.245.228, cGljayA2NTk4IGdlZXNl, OK
113.25.7.248, cmV0cmVhdCAyMDY2NSBnZWVzZQ==, OK
179.117.113.215, cGljayAxMDA2NSBzbWFsbC1iaXJkcw==, OK
147.72.202.204, ZGVzdHJveSAyNDcyNCBmbGllcw==, OK
73.91.41.127, ZGVtb2xpc2ggMTAxNSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
33.209.49.93, cGluIDI0ODEyIGR1Y2tz, OK
27.92.63.139, cmV2ZWFsIDIwNTc4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
98.27.205.206, Y29uY2VhbCAyMjI5MyBiaWctYmlyZHM=, OK
42.73.85.62, Y29udnVsc2UgMjc0NTIgZmxpZXM=, OK
217.124.192.49, cmVpdGVyYXRlIDMxMjcxIGJpZy1iaXJkcw==, OK
212.199.79.147, Y29uY2VhbCAyMjkxNiBhbmdyeS1nZWVzZQ==, OK
23.245.212.57, ZGVzdHJveSA1MTc1IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
108.228.51.175, cmV2ZWFsIDE4ODA5IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
59.69.208.231, YXJ0aWN1bGF0ZSA4MzQ5IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
164.17.57.184, ZGVtb2xpc2ggMjg3NTQgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
168.17.134.37, cmVpdGVyYXRlIDE1NzgxIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
204.233.20.124, cGx1Y2sgMTA0MDEgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
215.68.230.68, cGljayAxMTc4IGZsaWVz, OK
13.166.245.92, Y29udnVsc2UgMjcwODEgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
187.87.217.237, ZGVzdHJveSAyNzY1MiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
149.122.58.252, cmV2ZWFsIDY4NjAgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
181.187.128.124, YXJ0aWN1bGF0ZSAyNTY4MiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
109.203.1.158, cGljayAyNTcyOCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
48.47.163.88, YXJ0aWN1bGF0ZSAxMjA5OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
174.19.61.194, cmV2ZWFsIDI3MDA4IHNtYWxsLWJpcmRz, OK
109.203.1.158, cGx1Y2sgMjAzIGFuZ3J5LWdlZXNl, OK
109.33.29.85, ZGVzdHJveSAyMzcxOCBwaWdz, OK
171.96.216.242, ZGVtb2xpc2ggMTc1ODMgZ2Vlc2U=, OK
79.105.75.119, Y29udnVsc2UgMzE4MjYgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
178.79.100.120, Y29uY2VhbCAyNDAxIHBpZ3M=, OK
121.200.171.223, cGljayAyMDc4OSBiaWctYmlyZHM=, OK
66.251.74.113, ZGVzdHJveSAzMTAwMyBwaWdz, OK
188.254.108.225, ZGVzdHJveSAyOTM3MyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
87.69.250.11, cGljayAxMjA4NSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
16.133.233.120, Y29uY2VhbCAzNjU1IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
24.229.6.71, ZGVtb2xpc2ggMjU2NzggbWVkaXVtLXNpemVkLWJpcmRz, OK
5.31.52.103, cGx1Y2sgMjU0MjkgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
222.45.211.196, Y29uY2VhbCAyNDI3NyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
108.6.247.28, cmVpdGVyYXRlIDQ4MjIgbWVkaXVtLXNpemVkLWJpcmRz, OK
170.206.70.64, cmV0cmVhdCA3ODUwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
115.34.235.155, ZGVzdHJveSAxNTM4IGdlZXNl, OK
112.147.201.117, cmVpdGVyYXRlIDMxMjY4IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
106.239.239.226, cmV2ZWFsIDIyNjcwIGNoaWNrZW5z, OK
160.187.242.47, ZGVtb2xpc2ggNTc4MSBmbGllcw==, OK
211.96.59.75, cmVpdGVyYXRlIDI3NzYgZ2Vlc2U=, OK
171.96.216.242, cGx1Y2sgMTAyMTMgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
122.137.158.78, cGluIDI3OSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
103.193.207.104, YXJ0aWN1bGF0ZSAyMzAxMSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
66.147.133.216, ZGVtb2xpc2ggNzEzMCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
41.23.239.113, cGx1Y2sgNzM0OCBwaWdz, OK
155.81.182.228, Y29udnVsc2UgMzE1MzYgY2hpY2tlbnM=, OK
92.187.240.82, cmVpdGVyYXRlIDMwNTQ3IGFuZ3J5LWdlZXNl, OK
211.72.245.20, Y29udnVsc2UgMTAxMTMgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
73.5.245.228, cGluIDg4OTUgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
87.75.155.245, Y29uY2VhbCAxNzkzMyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
76.171.74.40, cmV2ZWFsIDEzMzQ2IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
11.193.244.225, ZGVtb2xpc2ggMTczMiBmbGllcw==, OK
155.174.251.221, Y29udnVsc2UgNDA1MyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
123.81.80.160, cGljayAxODY0MyBnZWVzZQ==, OK
222.18.101.245, cGluIDYwMTQgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
