108.6.247.28, cGluIDMwMzczIGdlZXNl, OK
151.96.0.150, cmVpdGVyYXRlIDI1MTA5IGJpZy1iaXJkcw==, OK
24.188.86.253, cGx1Y2sgMjEwNzcgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
91.206.217.101, cmV0cmVhdCAxNjkxNCBkdWNrcw==, OK
102.89.93.74, Y29uY2VhbCAyNDcwNiBiaWctYmlyZHM=, OK
186.179.1.8, cmV0cmVhdCAxMjM0MSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
205.172.120.159, cmV0cmVhdCAzMjI3OCBmbGllcw==, OK
204.233.20.124, YXJ0aWN1bGF0ZSAzMDA5MyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
68.141.123.191, cGx1Y2sgMzA0MzYgY2hpY2tlbnM=, OK
22.243.52.188, ZGVtb2xpc2ggMjg5NjcgYmlnLWJpcmRz, OK
112.174.164.209, Y29uY2VhbCAyNTUxMCBhbmdyeS1nZWVzZQ==, OK
47.58.15.198, cmV2ZWFsIDQwMzAgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
145.178.26.187, cGluIDI0MDA5IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
114.26.27.218, Y29udnVsc2UgMzk1MCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
222.220.54.229, cGluIDEzODU0IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
202.82.241.179, cmVpdGVyYXRlIDgxNjggY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
153.98.193.155, cGx1Y2sgMjY5OTcgc21hbGwtYmlyZHM=, OK
168.17.134.37, cmV2ZWFsIDUzNTEgc21hbGwtYmlyZHM=, OK
126.248.63.167, Y29uY2VhbCAyMTE0OCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
88.198.160.11, cGx1Y2sgMzE0MzcgY2hpY2tlbnM=, OK
177.89.56.237, ZGVzdHJveSAyODA0MSBiaWctYmlyZHM=, OK
107.232.94.170, cGluIDIwNzkzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
90.98.142.173, cmVpdGVyYXRlIDQ5ODggZ2Vlc2U=, OK
156.99.52.119, cmV2ZWFsIDQ0MjkgZ2Vlc2U=, OK
136.110.169.60, cGljayA5NTI2IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
155.249.192.195, cGluIDE0MDI2IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
126.244.122.199, cGluIDM5OCBhbmdyeS1nZWVzZQ==, OK
57.1.49.218, cGljayA1MzY3IHNtYWxsLWJpcmRz, OK
43.193.231.160, ZGVtb2xpc2ggMzMxMiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
23.187.186.224, cmVpdGVyYXRlIDQxNjAgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
52.73.189.64, ZGVzdHJveSAzMDQwNSBkdWNrcw==, OK
179.195.108.126, Y29udnVsc2UgNzczIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
158.246.116.55, cmV2ZWFsIDE5NjAxIGJpZy1iaXJkcw==, OK
15.238.143.168, Y29udnVsc2UgMjY5MTQgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
58.178.72.73, cGx1Y2sgNzU4MiBwaWdz, OK
13.141.4.30, cGljayA5NDE0IGdlZXNl, OK
203.14.64.195, Y29udnVsc2UgMTE5OSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
195.201.4.201, cGljayAxMzg3NyBjaGlja2Vucw==, OK
123.196.96.168, ZGVzdHJveSAzMDQyMSBjaGlja2Vucw==, OK
55.196.129.42, cGluIDI1NTgzIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
60.18.13.7, Y29uY2VhbCAxNDgwNSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
79.94.31.22, Y29udnVsc2UgMTMxMDAgcGlncw==, OK
86.74.200.78, cGluIDE4NDc2IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
160.60.153.194, YXJ0aWN1bGF0ZSAxMTAxNiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
196.129.90.243, cGljayA5NTQ0IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
84.74.101.239, YXJ0aWN1bGF0ZSA1MjYgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
64.154.46.58, ZGVtb2xpc2ggMjgzNjIgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
28.21.194.128, cmV0cmVhdCAzMTUxOSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
27.128.19.219, cmV0cmVhdCAyNjU1IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
159.206.139.232, ZGVzdHJveSAyMzM3OCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
222.136.32.209, Y29udnVsc2UgNTUxNCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
51.9.39.233, cGx1Y2sgMjkxNjUgc21hbGwtYmlyZHM=, OK
180.126.41.181, cmVpdGVyYXRlIDIzNTk2IGZsaWVz, OK
59.172.148.4, cGljayAxNjEzNCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
44.104.97.235, cmVpdGVyYXRlIDY5MTYgZmxpZXM=, OK
63.213.255.41, cGluIDI5NzggY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
75.121.86.104, cmVpdGVyYXRlIDU2OTcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
81.218.143.157, YXJ0aWN1bGF0ZSAyNzI5MCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
220.66.102.80, cGljayAxODg4NiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
132.181.16.212, cGljayAzMTI3OSBmbGllcw==, OK
51.123.105.13, cmV2ZWFsIDExMzk0IGFuZ3J5LWdlZXNl, OK
70.143.216.196, cGluIDE3OTY5IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
24.188.86.253, cmV2ZWFsIDIxNDc1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
216.163.38.154, dW5kZXJzdGFuZCAyNzQyMSBtaW5vdGF1cnM=, please-make-it-stop
