66.210.170.112, cmVpdGVyYXRlIDcwOTEgcGlncw==, OK
137.252.49.77, ZGVtb2xpc2ggMTI1ODEgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
164.182.77.3, cGljayAyNzU4NiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
4.40.197.109, ZGVtb2xpc2ggMTkzNjQgc21hbGwtYmlyZHM=, OK
105.85.211.6, cGluIDI1NDE0IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
177.89.56.237, cmV2ZWFsIDI4NzAxIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
96.237.50.30, cmVpdGVyYXRlIDI2ODQ1IGFuZ3J5LWdlZXNl, OK
117.164.80.50, Y29uY2VhbCAyMDQ5OSBnZWVzZQ==, OK
34.10.85.86, cGljayAyMDcxMyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
43.233.192.233, cGljayAxNjI1MyBzbWFsbC1iaXJkcw==, OK
115.230.210.139, Y29udnVsc2UgMjYzNjggbWVkaXVtLXNpemVkLWJpcmRz, OK
198.35.38.88, YXJ0aWN1bGF0ZSA5MzQzIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
172.148.253.18, Y29udnVsc2UgMTY0OTEgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
64.154.46.58, ZGVtb2xpc2ggMjI5MDAgZmxpZXM=, OK
108.38.251.104, YXJ0aWN1bGF0ZSAyOTU5NyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
212.213.208.246, ZGVtb2xpc2ggMTUxMDkgbWVkaXVtLXNpemVkLWJpcmRz, OK
54.117.196.173, Y29udnVsc2UgMzIzNDUgbWVkaXVtLXNpemVkLWJpcmRz, OK
28.38.110.118, Y29uY2VhbCAzMDk5MCBkdWNrcw==, OK
135.94.212.64, cmV0cmVhdCAyNzAwNiBiaWctYmlyZHM=, OK
40.196.246.93, ZGVzdHJveSAyMzE5MSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
223.7.173.155, dW5waW4gNjcyMSBtaW5vdGF1cnM=, my-socket-is-on-fire!
27.248.202.44, ZGVzdHJveSAxOTkyOCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
45.112.153.234, YXJ0aWN1bGF0ZSAxOTM0NyBiaWctYmlyZHM=, OK
38.125.255.91, YXJ0aWN1bGF0ZSAyNTY0MCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
167.40.243.47, cGx1Y2sgMTY1NDAgbWVkaXVtLXNpemVkLWJpcmRz, OK
90.98.142.173, cmV0cmVhdCA5MTg0IGNoaWNrZW5z, OK
63.69.169.175, ZGVzdHJveSAyNzYyMiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
84.231.185.26, cGx1Y2sgMjAxNDQgcGlncw==, OK
168.193.161.178, cGluIDY3ODEgYmlnLWJpcmRz, OK
196.221.84.26, cGx1Y2sgMzA2IHNtYWxsLWJpcmRz, OK
38.207.150.74, cGx1Y2sgMTgwNTEgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
96.221.253.172, YXJ0aWN1bGF0ZSAxNDQ4NiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
174.102.225.238, Y29udnVsc2UgMjMzODggc21hbGwtYmlyZHM=, OK
54.117.196.173, ZGVzdHJveSAyOTQyNSBjaGlja2Vucw==, OK
188.254.108.225, Y29uY2VhbCAzNDAzIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
58.252.89.228, Y29udnVsc2UgMzI1MDMgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
149.47.231.39, ZGVtb2xpc2ggMjUyNzggYW5ncnktZ2Vlc2U=, OK
193.234.202.135, Y29udnVsc2UgNzA4NSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
91.74.8.103, ZGVtb2xpc2ggMjUwNzkgZmxpZXM=, OK
7.87.92.154, cGx1Y2sgMjE0NTEgbWVkaXVtLXNpemVkLWJpcmRz, OK
99.114.207.121, cmV0cmVhdCAzMTczMCBhbmdyeS1nZWVzZQ==, OK
78.225.234.124, ZGVzdHJveSAyOTM5NCBmbGllcw==, OK
143.238.143.123, ZGVtb2xpc2ggNzcyIGFuZ3J5LWdlZXNl, OK
178.79.100.120, ZGVtb2xpc2ggODI4OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
5.237.235.172, YXJ0aWN1bGF0ZSAzNTIgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
217.118.144.29, cGx1Y2sgMTkxNjggcGlncw==, OK
210.152.56.48, Y29uY2VhbCAyMjI0NyBwaWdz, OK
103.60.230.43, cGljayAxMzY2MSBkdWNrcw==, OK
91.74.8.103, cGx1Y2sgNTU2MiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
187.197.228.76, Y29udnVsc2UgODMzMyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
99.114.207.121, cGljayAyOTQgbWVkaXVtLXNpemVkLWJpcmRz, OK
79.219.208.224, ZGVzdHJveSAyNTg5OCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
164.17.57.184, cmVpdGVyYXRlIDMwMzU2IGR1Y2tz, OK
37.235.107.138, ZGVzdHJveSAxODU5NCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
68.192.53.51, cmV2ZWFsIDU1NzkgcGlncw==, OK
120.2.5.125, cmVpdGVyYXRlIDI0MTc3IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
195.217.255.132, YXJ0aWN1bGF0ZSAxMjI0MSBkdWNrcw==, OK
90.50.6.174, Y29udnVsc2UgMTI1MTIgZ2Vlc2U=, OK
142.5.234.13, cmV2ZWFsIDI1Nzg5IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
77.8.212.62, Y29udnVsc2UgNzc2MCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
190.250.246.216, cGx1Y2sgMTQ3MiBzbWFsbC1iaXJkcw==, OK
8.96.140.117, ZGVtb2xpc2ggNDExMCBhbmdyeS1nZWVzZQ==, OK
23.187.186.224, Y29udnVsc2UgMzI3NyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
196.239.224.249, cmV2ZWFsIDY1NTMgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
3.195.171.141, ZGVzdHJveSAxNDAxMiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
117.15.93.64, Y29uY2VhbCAyNzA0OSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
77.248.111.76, Y29udnVsc2UgNTM3NSBkdWNrcw==, OK
126.23.255.218, ZGVzdHJveSAyODk3MiBmbGllcw==, OK
12.176.204.152, cmV2ZWFsIDk3OTEgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
91.124.190.109, cmV0cmVhdCA2Mzk2IGFuZ3J5LWdlZXNl, OK
115.66.122.198, aW50ZWdyYXRlIDk4NDkgZGlub3NhdXJz, ouch-that-hurt!
