3.254.161.211, ZGVzdHJveSAyNTEyOCBkdWNrcw==, OK
163.249.181.55, cGx1Y2sgMzQ3MiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
222.45.211.196, cGluIDE3NTMwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
106.24.232.102, cGljayAxMTA5NyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
175.18.14.188, cGljayAxMjc3OSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
59.172.148.4, ZGVtb2xpc2ggMjkyODEgYW5ncnktZ2Vlc2U=, OK
65.44.5.45, YXJ0aWN1bGF0ZSAyOTgzMyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
21.3.112.225, YXJ0aWN1bGF0ZSA1NjMyIGFuZ3J5LWdlZXNl, OK
194.236.252.197, cGluIDIxMjkwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
63.69.169.175, cmVpdGVyYXRlIDMxMDI0IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
84.159.97.248, YXJ0aWN1bGF0ZSAyMDI2IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
57.150.73.164, cmV2ZWFsIDQ5MjIgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
94.207.15.249, cGx1Y2sgMjE4NDAgcGlncw==, OK
34.10.85.86, cGx1Y2sgMjM5NzUgZ2Vlc2U=, OK
66.251.74.113, Y29uY2VhbCA5NDU3IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
55.196.129.42, YXJ0aWN1bGF0ZSAyMzc5NCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
222.220.54.229, Y29uY2VhbCAzMDA5IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
165.251.5.108, cmVpdGVyYXRlIDEyNTg1IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
47.89.152.15, cmV2ZWFsIDI3MDcyIHNtYWxsLWJpcmRz, OK
51.123.105.13, cmV0cmVhdCAyOTczNSBzbWFsbC1iaXJkcw==, OK
205.172.120.159, cGljayAzMjIzNCBhbmdyeS1nZWVzZQ==, OK
24.169.27.44, cmV2ZWFsIDg2MDMgZ2Vlc2U=, OK
5.39.159.163, cmVpdGVyYXRlIDg5OCBkdWNrcw==, OK
72.247.208.192, cGx1Y2sgMTk5NjIgc21hbGwtYmlyZHM=, OK
110.29.38.145, Y29uY2VhbCAxMDI3IGZsaWVz, OK
53.167.113.171, aW50ZWdyYXRlIDI5MTIzIG1pbm90YXVycw==, my-socket-is-on-fire!
84.143.235.17, Y29uY2VhbCAyOTM2MiBnZWVzZQ==, OK
19.59.220.47, cGx1Y2sgOTYwMSBwaWdz, OK
65.253.21.146, cGljayAxMzQ1OCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
156.99.52.119, ZGVtb2xpc2ggMTQ2MDYgZmxpZXM=, OK
33.33.127.73, ZGVzdHJveSAyNDYwMSBiaWctYmlyZHM=, OK
145.178.26.187, Y29udnVsc2UgMjc5MDAgbWVkaXVtLXNpemVkLWJpcmRz, OK
11.4.206.59, cmV2ZWFsIDIwMjMyIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
93.210.194.87, cGx1Y2sgNDU5MiBhbmdyeS1nZWVzZQ==, OK
44.187.69.122, cmVpdGVyYXRlIDE4NzAwIHNtYWxsLWJpcmRz, OK
26.67.117.151, cmV0cmVhdCAxMjE5MCBkdWNrcw==, OK
132.97.96.120, YXJ0aWN1bGF0ZSA3Njg5IGNoaWNrZW5z, OK
119.30.16.224, YXJ0aWN1bGF0ZSA3NDI3IGR1Y2tz, OK
132.131.110.230, Y29uY2VhbCAzMDU1NyBmbGllcw==, OK
76.195.197.159, cmVpdGVyYXRlIDI0NiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
98.119.71.187, YXJ0aWN1bGF0ZSAxODUgYmlnLWJpcmRz, OK
12.220.73.92, cmVpdGVyYXRlIDI5MDQ2IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
5.237.235.172, ZGVzdHJveSAzMjQwMCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
152.86.175.152, ZGVtb2xpc2ggMTA2MTMgZ2Vlc2U=, OK
86.218.17.15, cGljayAxNTY1NSBjaGlja2Vucw==, OK
11.207.166.41, ZGVzdHJveSAxMzc1MiBhbmdyeS1nZWVzZQ==, OK
97.221.59.87, cGljayAxMDE5IGFuZ3J5LWdlZXNl, OK
121.108.153.63, cGljayAyODk5IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
30.19.1.172, cmV0cmVhdCA5NDU5IGZsaWVz, OK
62.182.175.148, ZGVtb2xpc2ggMjA4MCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
123.81.80.160, ZXhwbGFpbiAzMDk2OCBkaW5vc2F1cnM=, why-did-this-have-to-happen
