202.82.241.179, cGljayAyODUyMyBkdWNrcw==, OK
111.107.111.92, cGx1Y2sgMTU5NzQgcGlncw==, OK
94.68.24.243, cmV2ZWFsIDI2MzYgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
66.147.133.216, ZGVzdHJveSA1NDggZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
148.153.164.44, cGljayAxOTM0NyBzbWFsbC1iaXJkcw==, OK
160.187.242.47, cGluIDMyMDE1IGR1Y2tz, OK
142.5.234.13, Y29udnVsc2UgOTI1NiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
183.225.165.240, Y29udnVsc2UgMjUyODkgZHVja3M=, OK
77.248.111.76, cGljayA1NzA4IGdlZXNl, OK
173.111.42.175, Y29udnVsc2UgMTQ0OSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
220.188.29.212, ZGVtb2xpc2ggMTAyNzUgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
190.39.174.239, Y29uY2VhbCAyNDM2MyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
2.145.214.193, ZGVtb2xpc2ggMjk0NDEgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
194.74.184.124, cmV0cmVhdCAyNzcxOCBkdWNrcw==, OK
31.140.39.210, ZGVtb2xpc2ggMjg2OTAgZHVja3M=, OK
77.206.49.204, cmV0cmVhdCA0Nzc3IGR1Y2tz, OK
195.57.148.211, Y29udnVsc2UgMzIyMjEgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
115.230.210.139, cGx1Y2sgMzA0OTggZ2Vlc2U=, OK
31.37.10.46, cGluIDEwNTU4IGZsaWVz, OK
150.227.34.71, dW5waW4gMzAzNzggcGVhY2UtbG92aW5nLWdlZXNl, ouch-that-hurt!
187.87.217.237, ZGVzdHJveSAyODY5MyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
7.131.74.141, cGx1Y2sgMzIyMSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
151.192.64.196, Y29uY2VhbCA0MzAzIGdlZXNl, OK
145.178.26.187, cmV2ZWFsIDE0NDU1IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
84.159.97.248, cmV2ZWFsIDExMTMyIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
180.210.114.96, ZGVtb2xpc2ggMTcxODYgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
110.3.171.167, YXJ0aWN1bGF0ZSAzMjA4NCBhbmdyeS1nZWVzZQ==, OK
106.24.232.102, cmV2ZWFsIDI1MzYwIGdlZXNl, OK
96.217.226.144, ZGVzdHJveSA3Mzc2IGZsaWVz, OK
103.155.241.241, cGx1Y2sgMTEwOTIgZ2Vlc2U=, OK
91.74.8.103, cGljayAyMTEzMiBjaGlja2Vucw==, OK
196.221.84.26, cmV2ZWFsIDI5ODg0IHBpZ3M=, OK
160.60.153.194, cGljayAyNjEyMiBjaGlja2Vucw==, OK
40.196.246.93, YXJ0aWN1bGF0ZSAxMjM3MyBjaGlja2Vucw==, OK
22.133.173.111, cmVpdGVyYXRlIDMyNzMgcGlncw==, OK
41.23.239.113, cGluIDEwODI3IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
42.81.73.43, Y29uY2VhbCAxNzkyNiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
157.152.248.114, Y29udnVsc2UgMTYxMCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
170.50.205.24, ZGVtb2xpc2ggMjgxMzAgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
171.39.16.136, cGljayAyNDY2NSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
