96.197.47.131, cGluIDEzMzUwIHNtYWxsLWJpcmRz, OK
186.179.1.8, ZGVtb2xpc2ggMjQ0MTAgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
103.67.118.23, cmV0cmVhdCAzMDA3MyBzbWFsbC1iaXJkcw==, OK
141.146.107.30, Y29udnVsc2UgMTg4NTAgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
98.27.205.206, cGluIDI3NTMxIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
174.216.79.0, cmVpdGVyYXRlIDI0Nzc0IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
187.87.217.237, cGljayAyODc0MSBhbmdyeS1nZWVzZQ==, OK
169.175.48.245, cGljayAyOTczOCBwaWdz, OK
110.29.38.145, cGljayAxODA5NiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
121.134.42.101, ZGVzdHJveSA1MjA5IGdlZXNl, OK
99.192.249.102, cGljayAyMTMxOSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
41.123.15.11, cmVpdGVyYXRlIDI1NTU0IGNoaWNrZW5z, OK
187.197.228.76, cmV0cmVhdCAzMzg4IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
132.131.110.230, YXJ0aWN1bGF0ZSAxMTA0MCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
38.143.9.126, cGx1Y2sgMjQyNDMgc21hbGwtYmlyZHM=, OK
123.142.33.85, Y29uY2VhbCAxMzg3NiBzbWFsbC1iaXJkcw==, OK
35.3.107.248, Y29uY2VhbCAyMDc4MyBnZWVzZQ==, OK
160.187.242.47, cGluIDI1OTE4IGFuZ3J5LWdlZXNl, OK
141.146.107.30, cmV2ZWFsIDM2OTQgYW5ncnktZ2Vlc2U=, OK
109.33.29.85, ZGVtb2xpc2ggMTAxMCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
85.235.230.238, Y29udnVsc2UgMzI0MjQgYW5ncnktZ2Vlc2U=, OK
33.33.127.73, cmVpdGVyYXRlIDIzOTYzIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
114.104.56.66, cmVpdGVyYXRlIDI0NzAwIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
112.116.176.70, cGx1Y2sgNDY0MyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
110.29.38.145, cGx1Y2sgMjcxNjEgZ2Vlc2U=, OK
191.64.227.252, cmVpdGVyYXRlIDMyMjUyIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
21.160.202.54, cmV2ZWFsIDU3OTkgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
156.99.52.119, cmV0cmVhdCAxOTA0NiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
215.72.153.2, cGx1Y2sgMTQyNzEgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
118.207.222.57, Y29uY2VhbCAxMTcxMyBnZWVzZQ==, OK
107.232.94.170, ZGVzdHJveSAyMTA4MyBwaWdz, OK
194.74.184.124, Y29uY2VhbCAyMTAwNCBjaGlja2Vucw==, OK
20.16.112.47, cmV0cmVhdCAxNTY0OSBiaWctYmlyZHM=, OK
40.123.179.185, ZGVtb2xpc2ggMzA1OTcgc21hbGwtYmlyZHM=, OK
148.153.164.44, Y29udnVsc2UgMjEzMzAgcGlncw==, OK
36.228.177.188, Y29uY2VhbCAxMDYwNyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
55.19.10.106, cmVpdGVyYXRlIDQ4OTMgcGlncw==, OK
45.34.234.145, ZGVzdHJveSA3NjExIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
24.229.6.71, Y29uY2VhbCAxNjY4NSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
158.171.131.147, Y29uY2VhbCAxOTUwOCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
159.206.139.232, ZGVtb2xpc2ggMzI2NTIgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
200.220.249.24, cmV0cmVhdCA0NzQ0IGR1Y2tz, OK
166.215.144.58, ZGVzdHJveSA4NDYyIGNoaWNrZW5z, OK
178.79.100.120, ZGVzdHJveSA4NDEwIGFuZ3J5LWdlZXNl, OK
103.155.241.241, ZGVtb2xpc2ggODkxNSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
139.36.156.243, cmV2ZWFsIDI5MTIwIHBpZ3M=, OK
33.115.72.245, cGx1Y2sgMjE0NiBhbmdyeS1nZWVzZQ==, OK
194.63.91.226, ZGVzdHJveSA5MjA0IGJpZy1iaXJkcw==, OK
205.192.24.230, Y29uY2VhbCAyODQ0NyBiaWctYmlyZHM=, OK
112.174.164.209, Y29udnVsc2UgMTg2NDggc21hbGwtYmlyZHM=, OK
125.34.6.39, cmV2ZWFsIDgwOTIgcGlncw==, OK
194.63.91.226, cGluIDE1ODQ3IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
1.102.54.93, cGluIDcwODAgYmlnLWJpcmRz, OK
166.145.170.121, cmV0cmVhdCA3MjMwIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
66.249.163.254, cmV0cmVhdCA5MDQgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
123.245.42.67, YXJ0aWN1bGF0ZSAyNTEwOSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
73.106.30.204, cmVpdGVyYXRlIDI3MjMxIHBpZ3M=, OK
125.34.6.39, ZGVzdHJveSAyNjY3MiBzbWFsbC1iaXJkcw==, OK
86.253.92.193, cGx1Y2sgOTg5MyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
108.184.235.241, cmVpdGVyYXRlIDE4OTQ3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
152.142.231.49, cmVpdGVyYXRlIDI3NDMxIGR1Y2tz, OK
219.75.94.127, cGljayAxNTQ3NCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
72.255.208.229, Y29udnVsc2UgMTMxODggZ2Vlc2U=, OK
108.228.51.175, ZGVtb2xpc2ggMjE1MjcgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
37.235.107.138, cmVpdGVyYXRlIDE5NDYxIHNtYWxsLWJpcmRz, OK
170.212.132.239, cmV0cmVhdCAxNzY1OCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
89.98.201.70, YXJ0aWN1bGF0ZSAxNTIyNyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
68.223.17.224, cmV0cmVhdCAyOTc3MCBmbGllcw==, OK
184.37.94.136, dW5waW4gMjc2MTEgZGlub3NhdXJz, i-can't-even-comprehend-what-you-are-saying
