185.112.236.111, cGljayAyMzYxMiBkdWNrcw==, OK
22.177.40.26, cmV2ZWFsIDQ0MzggZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
13.141.4.30, ZGVtb2xpc2ggMTM3NjIgYmlnLWJpcmRz, OK
86.231.11.213, cGluIDE1NTA2IGJpZy1iaXJkcw==, OK
162.89.46.165, cGx1Y2sgMzAzNyBkdWNrcw==, OK
37.235.107.138, cGx1Y2sgOTcyIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
2.168.43.74, cmVpdGVyYXRlIDMyMzU1IGFuZ3J5LWdlZXNl, OK
7.89.147.240, cmV2ZWFsIDMxODg4IGJpZy1iaXJkcw==, OK
103.193.207.104, Y29udnVsc2UgMTgzMTIgZ2Vlc2U=, OK
145.141.241.88, dW5kZXJzdGFuZCAzMTQ4NSBkaW5vc2F1cnM=, why-did-this-have-to-happen
21.3.112.225, cmVpdGVyYXRlIDMwMDE5IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
129.54.11.77, cmV2ZWFsIDE5NjY1IHBpZ3M=, OK
121.217.238.54, ZGVzdHJveSAyMDQxMyBiaWctYmlyZHM=, OK
38.143.9.126, Y29uY2VhbCAxODM3NSBjaGlja2Vucw==, OK
145.178.26.187, cGx1Y2sgMzAxMDAgZmxpZXM=, OK
28.38.110.118, Y29udnVsc2UgNzUyIHNtYWxsLWJpcmRz, OK
175.36.51.26, cGx1Y2sgMjkwMjkgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
89.59.227.195, cmVpdGVyYXRlIDEzMjEzIGJpZy1iaXJkcw==, OK
194.84.7.254, ZGVzdHJveSA5MzcyIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
84.130.208.220, cGx1Y2sgMTEyNTQgc21hbGwtYmlyZHM=, OK
191.64.227.252, Y29udnVsc2UgMTI3NjcgZmxpZXM=, OK
155.174.251.221, cmV2ZWFsIDEyMDM3IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
94.101.65.75, ZGVtb2xpc2ggODI0MCBnZWVzZQ==, OK
173.17.13.115, cmV0cmVhdCAyODc0MCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
12.248.76.29, Y29uY2VhbCAxNDE1IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
205.114.97.7, cGluIDIwNTUxIHBpZ3M=, OK
150.227.34.71, cGljayA0OTQ4IHBpZ3M=, OK
56.150.110.224, YXJ0aWN1bGF0ZSAxODk2MSBwaWdz, OK
133.236.20.28, cGljayA4MzE4IGNoaWNrZW5z, OK
86.253.92.193, ZGVtb2xpc2ggNjAyNyBmbGllcw==, OK
87.75.155.245, ZGVtb2xpc2ggNzU0NSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
117.204.20.171, cmV2ZWFsIDg3NTIgc21hbGwtYmlyZHM=, OK
98.199.198.28, Y29udnVsc2UgODcwMiBkdWNrcw==, OK
28.5.135.93, Y29uY2VhbCAzMDMyOCBjaGlja2Vucw==, OK
55.25.215.34, dW5kZXJzdGFuZCAxOTgxNSBkaW5vc2F1cnM=, please-make-it-stop
