112.125.102.212, ZGVzdHJveSAxMzQzOCBnZWVzZQ==, OK
6.128.90.155, cGx1Y2sgMTgyODEgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
123.126.202.63, ZGVtb2xpc2ggMTg2MjIgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
122.79.46.242, ZGVzdHJveSAxMjY4NyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
66.251.74.113, cmVpdGVyYXRlIDQyNDEgZmxpZXM=, OK
88.233.226.191, ZGVtb2xpc2ggMTAxNTUgZmxpZXM=, OK
4.73.166.72, cGljayAyNDAyNCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
13.202.58.234, Y29uY2VhbCAxNTQ5NCBzbWFsbC1iaXJkcw==, OK
155.185.39.116, YXJ0aWN1bGF0ZSA3MTg5IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
75.121.86.104, cmV0cmVhdCAxNjIwMCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
216.155.137.94, cGx1Y2sgMzAzNTQgY2hpY2tlbnM=, OK
37.150.85.158, ZGVtb2xpc2ggOTE4NiBhbmdyeS1nZWVzZQ==, OK
157.176.97.9, cGluIDg3NzEgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
87.69.250.11, Y29udnVsc2UgMTk0MjggZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
11.4.206.59, ZGVzdHJveSAxMzUyMyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
88.1.240.178, cmV0cmVhdCAyNjE5MiBmbGllcw==, OK
35.3.107.248, ZGVzdHJveSAxODk2OCBnZWVzZQ==, OK
42.58.54.6, cGljayA4NTA5IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
76.171.74.40, cmV2ZWFsIDIwMzI5IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
199.224.63.67, cGljayA2MDk0IGNoaWNrZW5z, OK
113.25.7.248, Y29udnVsc2UgMzE4MDUgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
178.79.100.120, ZGVtb2xpc2ggMzE3NyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
1.0.169.69, YXJ0aWN1bGF0ZSAyMjM1MCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
41.237.57.137, cGluIDE5MTkzIGJpZy1iaXJkcw==, OK
212.213.208.246, cGx1Y2sgMTA1NjkgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
194.33.75.65, cmVpdGVyYXRlIDIyODQgcGlncw==, OK
88.229.26.95, cmV2ZWFsIDE3OTc5IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
15.238.32.162, Y29udnVsc2UgMTY3NCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
136.127.113.206, ZGVtb2xpc2ggNjk3IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
174.102.225.238, cmVpdGVyYXRlIDE4Nzg5IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
143.179.239.37, YXJ0aWN1bGF0ZSA5NDE1IHNtYWxsLWJpcmRz, OK
172.153.224.112, ZGVtb2xpc2ggNTY4MiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
72.255.208.229, cmV0cmVhdCAxNjE2MiBzbWFsbC1iaXJkcw==, OK
139.166.23.156, cmV0cmVhdCAxODMyNiBzbWFsbC1iaXJkcw==, OK
215.125.118.121, cmV0cmVhdCAxOTc1NyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
84.74.101.239, cGx1Y2sgMTI5NTAgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
210.134.220.87, YXJ0aWN1bGF0ZSAyMDI5MiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
80.97.180.7, cGx1Y2sgMTM4MTUgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
174.15.144.46, Y29uY2VhbCAyMjgzIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
132.131.110.230, cmV2ZWFsIDEyOTkzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
193.222.40.164, ZGVtb2xpc2ggNDYxOCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
58.43.141.197, cmVpdGVyYXRlIDE0NTgyIGR1Y2tz, OK
103.155.241.241, YXJ0aWN1bGF0ZSAyMjY3MSBkdWNrcw==, OK
203.14.64.195, ZGVzdHJveSAxOTMwNyBwaWdz, OK
3.199.90.63, cmVpdGVyYXRlIDE2MDc4IGZsaWVz, OK
58.142.147.119, cGx1Y2sgMjMyMjkgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
23.53.32.49, cGluIDU4ODYgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
73.199.58.144, Y29uY2VhbCAzMDQ0NSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
57.1.49.218, Y29udnVsc2UgMTE2NzcgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
65.44.5.45, ZGVzdHJveSAyMTc2MyBnZWVzZQ==, OK
54.43.32.140, ZGVzdHJveSAyNzY1OCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
209.83.156.130, cGx1Y2sgMTQyMDkgZmxpZXM=, OK
28.5.135.93, cGx1Y2sgMjA1NjcgcGlncw==, OK
20.69.94.150, YXJ0aWN1bGF0ZSA1NDI0IHNtYWxsLWJpcmRz, OK
217.245.162.54, cGx1Y2sgMTcxOTIgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
200.29.175.189, ZGVzdHJveSAxNjgzMyBjaGlja2Vucw==, OK
132.131.110.230, cmV0cmVhdCAxODk2MyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
89.98.201.70, cmVpdGVyYXRlIDEzNjAxIHNtYWxsLWJpcmRz, OK
84.231.185.26, cmVpdGVyYXRlIDE3MjAgZ2Vlc2U=, OK
179.195.108.126, cmV0cmVhdCAyMTkyIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
89.241.196.237, cGljayAzMDMwNyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
201.105.148.137, cmV0cmVhdCAyNTMxNyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
190.185.233.63, cmV2ZWFsIDEyMjkgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
191.52.203.199, cGljayAzMjIxNiBmbGllcw==, OK
63.132.173.121, cmV0cmVhdCAzNTk1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
17.248.248.252, Y29uY2VhbCAxNTY5MCBkdWNrcw==, OK
19.59.220.47, cGljayAxMDQwOCBjaGlja2Vucw==, OK
39.252.132.115, cGljayA5NzQxIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
217.245.162.54, cmV0cmVhdCAxMzExMCBwaWdz, OK
159.197.26.7, cGx1Y2sgMTEwOTAgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
117.204.20.171, cGx1Y2sgMjQ4NjEgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
21.79.191.172, Y29udnVsc2UgMTgyMDcgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
112.116.176.70, cmVpdGVyYXRlIDI2Njc3IGR1Y2tz, OK
3.254.161.211, dW5kZXJzdGFuZCAyMDk1MSBwZWFjZS1sb3ZpbmctZ2Vlc2U=, i-can't-even-comprehend-what-you-are-saying
