163.103.66.40, cGljayAyMTgzMiBnZWVzZQ==, OK
196.221.84.26, cGx1Y2sgMTI4MzkgYmlnLWJpcmRz, OK
3.254.161.211, Y29udnVsc2UgMTkxMiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
134.108.99.215, ZGVzdHJveSAxOTk2NiBwaWdz, OK
19.59.220.47, cGx1Y2sgMTg4ODUgcGlncw==, OK
63.184.127.127, Y29udnVsc2UgMjg2MTUgbWVkaXVtLXNpemVkLWJpcmRz, OK
196.20.191.194, cmV0cmVhdCAxODMxMyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
21.79.191.172, cmV0cmVhdCAxNTMzIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
194.63.91.226, ZGVzdHJveSAzMDE4MCBnZWVzZQ==, OK
94.101.65.75, cmV2ZWFsIDE1MDU0IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
57.135.21.110, YXJ0aWN1bGF0ZSAxMTI3MiBmbGllcw==, OK
87.75.155.245, cmV2ZWFsIDMyMTgxIGdlZXNl, OK
13.202.58.234, cGljayAyMzEyMyBjaGlja2Vucw==, OK
36.244.31.251, cmV2ZWFsIDI4OTE5IHNtYWxsLWJpcmRz, OK
128.118.29.181, cGx1Y2sgMjA3MDMgZHVja3M=, OK
157.33.133.180, cGx1Y2sgMzQ2NyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
203.14.64.195, cGluIDEzNDA5IGFuZ3J5LWdlZXNl, OK
173.111.42.175, cmVpdGVyYXRlIDI2OTIzIHBpZ3M=, OK
28.68.43.239, Y29udnVsc2UgNDU5IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
110.29.38.145, cmVpdGVyYXRlIDIxMzAwIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
54.219.20.106, dW5kZXJzdGFuZCAyNjA1MyBtaW5vdGF1cnM=, please-make-it-stop
37.76.224.113, cmV0cmVhdCAyNDE0MSBhbmdyeS1nZWVzZQ==, OK
187.197.228.76, cmVpdGVyYXRlIDIwMTkyIGZsaWVz, OK
73.199.58.144, cGx1Y2sgNjkzIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
151.25.196.252, cGljayAyNzgyOCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
20.16.112.47, cGljayAzMjA5OSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
83.57.49.118, cmV0cmVhdCAyNjg5NiBkdWNrcw==, OK
222.136.32.209, cGx1Y2sgMzI3MDEgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
79.94.31.22, cGljayAxNTA1OCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
126.23.255.218, cmV0cmVhdCAzMDk3MSBiaWctYmlyZHM=, OK
21.79.191.172, cGljayA1OTA3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
178.79.100.120, ZGVzdHJveSAyMTk3MyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
91.124.190.109, cGluIDEwMzYwIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
33.165.254.175, cGx1Y2sgMTQ0MTAgYW5ncnktZ2Vlc2U=, OK
121.16.193.21, Y29udnVsc2UgNjMyMCBmbGllcw==, OK
98.159.136.149, cmV0cmVhdCAxNTM3OSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
13.202.58.234, ZGVtb2xpc2ggNTcwMyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
69.61.212.135, cmVpdGVyYXRlIDE5NzM0IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
33.33.127.73, cmVpdGVyYXRlIDI0ODAxIGZsaWVz, OK
156.75.44.78, YXJ0aWN1bGF0ZSA4MDg2IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
168.130.217.218, dW5kZXJzdGFuZCAxMDg4MiBwZWFjZS1sb3ZpbmctZ2Vlc2U=, i-can't-even-comprehend-what-you-are-saying
28.160.225.55, cmVpdGVyYXRlIDI2NDA3IGNoaWNrZW5z, OK
79.219.208.224, cmV2ZWFsIDIyODM0IGR1Y2tz, OK
188.8.17.28, cmV2ZWFsIDI0NzI4IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
140.189.112.178, ZGVzdHJveSA5NzYzIGZsaWVz, OK
168.93.12.26, Y29udnVsc2UgNTk5NyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
84.130.208.220, cmV0cmVhdCAxNDIyOSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
45.34.234.145, cmV0cmVhdCAxMzkwMSBzbWFsbC1iaXJkcw==, OK
77.206.49.204, Y29udnVsc2UgMjE4OCBzbWFsbC1iaXJkcw==, OK
66.210.170.112, YXJ0aWN1bGF0ZSAzMDI5NCBjaGlja2Vucw==, OK
90.139.220.113, cmVpdGVyYXRlIDM5MyBiaWctYmlyZHM=, OK
215.72.153.2, cmVpdGVyYXRlIDI1NTY4IGZsaWVz, OK
73.149.109.44, Y29udnVsc2UgMjQ4MDAgZmxpZXM=, OK
165.251.5.108, cmV2ZWFsIDEwOTk5IGFuZ3J5LWdlZXNl, OK
220.188.29.212, cGljayAyNzEwMSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
2.167.7.113, ZGVtb2xpc2ggMjgzMDQgZHVja3M=, OK
84.130.208.220, ZGVtb2xpc2ggMTU1OTQgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
57.238.42.249, cGluIDIzNzA2IHBpZ3M=, OK
28.68.43.239, cGluIDEzMzQyIGFuZ3J5LWdlZXNl, OK
211.72.245.20, ZGVtb2xpc2ggMjQ1MTIgcGlncw==, OK
57.135.21.110, aW50ZWdyYXRlIDMxNzMgZGlub3NhdXJz, ouch-that-hurt!
148.153.164.44, cGluIDMwMTkyIGR1Y2tz, OK
180.193.241.23, YXJ0aWN1bGF0ZSAxNDc4OCBjaGlja2Vucw==, OK
205.114.97.7, Y29udnVsc2UgMTU1MzMgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
120.132.252.171, YXJ0aWN1bGF0ZSAzMDQ3NiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
62.237.86.128, Y29udnVsc2UgMzIwNjYgbWVkaXVtLXNpemVkLWJpcmRz, OK
223.7.173.155, cGluIDIxMDEwIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
187.87.217.237, cGluIDQwOTUgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
50.127.209.0, ZGVtb2xpc2ggMjU0ODUgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
207.242.106.204, ZGVtb2xpc2ggMTIwNzEgbWVkaXVtLXNpemVkLWJpcmRz, OK
188.205.12.225, ZGVzdHJveSAxNzUwMSBwaWdz, OK
131.255.185.165, cGljayAxNjQwOCBjaGlja2Vucw==, OK
99.114.207.121, YXJ0aWN1bGF0ZSAyMjUwMyBjaGlja2Vucw==, OK
216.194.121.101, ZGVtb2xpc2ggMjA0ODUgbWVkaXVtLXNpemVkLWJpcmRz, OK
88.198.160.11, cmV0cmVhdCAzMDcwMyBwaWdz, OK
182.63.34.138, cGljayAxODI3IGdlZXNl, OK
40.123.179.185, cmV0cmVhdCA0MDYzIHBpZ3M=, OK
151.96.0.150, cmVpdGVyYXRlIDE2MjI2IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
69.82.55.102, cGluIDE3OTkgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
35.3.107.248, ZGVzdHJveSAxNzIzMCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
16.133.233.120, ZXhwbGFpbiAxMTI1OSBkaW5vc2F1cnM=, ouch-that-hurt!
