48.61.180.178, cGljayAxMTczOSBiaWctYmlyZHM=, OK
100.220.174.255, cGluIDg4MTQgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
80.117.97.217, YXJ0aWN1bGF0ZSAxMjQyMSBkdWNrcw==, OK
137.56.77.160, cmV0cmVhdCAyNzk1MyBmbGllcw==, OK
125.34.6.39, cmV0cmVhdCAzMjYwMSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
177.29.34.133, ZGVzdHJveSAxNDIwNiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
115.230.210.139, ZGVtb2xpc2ggODMyOCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
175.36.51.26, ZGVtb2xpc2ggMjUxNTQgc21hbGwtYmlyZHM=, OK
98.119.71.187, ZGVtb2xpc2ggMzE3NTUgZHVja3M=, OK
153.98.193.155, cmV2ZWFsIDIyMDcxIGNoaWNrZW5z, OK
123.126.202.63, cmV0cmVhdCAzMDE0IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
133.13.240.200, cGx1Y2sgMTQ5MzQgZHVja3M=, OK
63.184.127.127, Y29udnVsc2UgMzIyMjkgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
69.82.55.102, Y29udnVsc2UgMTM3NzggZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
172.5.102.13, ZGVtb2xpc2ggMjE1MiBzbWFsbC1iaXJkcw==, OK
162.27.96.135, cmV2ZWFsIDE3ODgyIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
92.111.49.117, ZGVtb2xpc2ggMjg2NTggZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
47.89.152.15, ZGVtb2xpc2ggMTM2OTUgZmxpZXM=, OK
194.74.53.75, ZGVtb2xpc2ggODYxNSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
84.210.29.161, cGx1Y2sgMzE5IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
194.236.252.197, YXJ0aWN1bGF0ZSAyNTM5NyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
208.163.4.254, cGljayAyNDQ2NyBnZWVzZQ==, OK
131.255.185.165, cmV0cmVhdCAzMTU4MiBwaWdz, OK
148.204.235.218, cGljayAxNDUzIGR1Y2tz, OK
53.167.113.171, ZXhwbGFpbiAyNzkwIHJhbXM=, ouch-that-hurt!
62.42.183.171, cGljayA5MjM5IGdlZXNl, OK
216.176.90.137, cGljayAzMjUxMSBwaWdz, OK
216.194.121.101, ZGVtb2xpc2ggMTAzODMgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
121.250.42.171, Y29uY2VhbCAyMzE4MyBwaWdz, OK
175.18.14.188, ZGVzdHJveSAxODQ3NiBkdWNrcw==, OK
222.136.32.209, cGx1Y2sgMTY4NDMgZ2Vlc2U=, OK
31.9.94.134, Y29uY2VhbCA3NjA4IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
47.43.97.11, cGx1Y2sgMTY1MDYgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
139.200.123.74, ZGVzdHJveSAyNDYxOSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
121.134.42.101, cGluIDMxOTExIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
153.98.193.155, Y29udnVsc2UgODc0IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
171.39.16.136, ZGVtb2xpc2ggNjQ1NiBiaWctYmlyZHM=, OK
55.25.215.34, Y29uY2VhbCA1OTE0IGR1Y2tz, OK
112.116.176.70, ZGVzdHJveSAxMDIxOCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
75.121.86.104, cmV0cmVhdCA4MjM3IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
16.240.137.80, cGx1Y2sgMjUzNjggY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
117.15.93.64, Y29udnVsc2UgMjYwNDUgZmxpZXM=, OK
27.128.19.219, cGx1Y2sgMTQ0NzQgbWVkaXVtLXNpemVkLWJpcmRz, OK
125.34.6.39, Y29uY2VhbCAyNTMzMyBkdWNrcw==, OK
111.107.111.92, cmV0cmVhdCAxNTUzOCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
193.108.227.203, cmV2ZWFsIDI2MzcxIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
86.253.92.193, cGljayA0MzI0IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
96.237.50.30, Y29udnVsc2UgMjc3IGR1Y2tz, OK
130.65.15.183, ZGVzdHJveSAyMDgwMCBwaWdz, OK
3.195.171.141, Y29udnVsc2UgMjA5ODIgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
29.163.177.72, cGluIDQwMiBnZWVzZQ==, OK
137.56.77.160, cGx1Y2sgMTA5MTcgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
172.153.224.112, Y29udnVsc2UgMTk5NTAgc21hbGwtYmlyZHM=, OK
110.133.161.71, ZGVtb2xpc2ggMjU1ODQgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
126.205.155.227, Y29uY2VhbCAyODY3OSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
26.241.177.205, cmV0cmVhdCAxMzEwNyBmbGllcw==, OK
69.82.55.102, cGljayAyNTcyOSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
180.126.41.181, Y29uY2VhbCAxNDU2MiBhbmdyeS1nZWVzZQ==, OK
173.24.251.179, ZGVtb2xpc2ggMjg3ODMgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
182.63.34.138, ZGVzdHJveSAxMzU0MCBzbWFsbC1iaXJkcw==, OK
149.47.231.39, Y29udnVsc2UgMjU4NSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
142.5.234.13, ZGVzdHJveSAyNzUwMSBwaWdz, OK
165.251.5.108, cGljayAyODU1MiBiaWctYmlyZHM=, OK
41.237.57.137, cmVpdGVyYXRlIDE3Nzk2IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
66.249.163.254, ZGVzdHJveSAxODUxIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
38.143.9.126, ZGVtb2xpc2ggNTIxOSBzbWFsbC1iaXJkcw==, OK
152.142.231.49, cGljayAxODM1IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
84.36.78.65, ZGVzdHJveSAyNjkxMyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
44.104.97.235, Y29uY2VhbCAzMDQ5MyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
121.250.42.171, cGluIDUzODUgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
47.43.97.11, cGluIDI1NjU3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
209.83.156.130, YXJ0aWN1bGF0ZSA1MTIzIGR1Y2tz, OK
161.234.217.106, ZGVtb2xpc2ggMzEyIGNoaWNrZW5z, OK
181.40.121.156, Y29uY2VhbCAzMDU3MSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
153.98.193.155, dW5waW4gMjY0NjYgbWlub3RhdXJz, why-did-this-have-to-happen
